DATETIME,price
2019-09-13,165.58
2019-09-16,166.12
2019-09-17,166.01000000000002
2019-09-18,166.51000000000002
2019-09-19,166.44000000000003
2019-09-20,166.61
2019-09-23,167.68
2019-09-24,167.87
2019-09-25,167.50000000000003
2019-09-26,167.46
2019-09-27,167.35000000000002
2019-09-30,167.39000000000001
2019-10-01,167.34
2019-10-02,166.93
2019-10-03,167.60000000000002
2019-10-04,167.63000000000002
2019-10-07,167.45000000000002
2019-10-08,167.81
2019-10-09,167.19000000000003
2019-10-10,166.14000000000001
2019-10-11,165.53
2019-10-14,165.72000000000003
2019-10-15,165.03
2019-10-16,164.72000000000003
2019-10-17,164.86
2019-10-18,164.63000000000002
2019-10-21,164.03
2019-10-22,164.56
2019-10-23,164.81
2019-10-24,164.97000000000003
2019-10-25,164.49
2019-10-28,163.84
2019-10-29,164.18
2019-10-30,164.20000000000002
2019-10-31,164.9
2019-11-01,164.56
2019-11-04,164.13000000000002
2019-11-05,163.67000000000002
2019-11-06,163.81
2019-11-07,162.71
2019-11-08,162.83
2019-11-11,162.70000000000002
2019-11-12,162.68
2019-11-13,163.50000000000003
2019-11-14,164.13000000000002
2019-11-15,163.99
2019-11-18,163.98000000000002
2019-11-19,164.05
2019-11-20,164.23000000000002
2019-11-21,163.89000000000001
2019-11-22,164.38000000000002
2019-11-25,164.23000000000002
2019-11-26,164.59
2019-11-27,164.49
2019-11-28,164.4
2019-11-29,164.21
2019-12-02,163.06
2019-12-03,164.25
2019-12-04,163.88
2019-12-05,163.44
2019-12-06,163.35
2019-12-09,163.63
2019-12-10,163.48999999999998
2019-12-11,163.89
2019-12-12,163.01
2019-12-13,163.35999999999999
2019-12-16,163.17999999999998
2019-12-17,163.39
2019-12-18,162.73999999999998
2019-12-19,162.54
2019-12-20,162.79999999999998
2019-12-23,162.69
2019-12-27,162.87
2019-12-30,161.75
2020-01-02,162.51999999999998
2020-01-03,163.38
2020-01-06,163.5
2020-01-07,163.38
2020-01-08,163.04
2020-01-09,162.39999999999998
2020-01-10,162.60999999999999
2020-01-13,162.01999999999998
2020-01-14,162.26999999999998
2020-01-15,162.72
2020-01-16,162.98
2020-01-17,162.87
2020-01-20,162.92999999999998
2020-01-21,163.47
2020-01-22,163.59
2020-01-23,164.29
2020-01-24,164.54
2020-01-27,165.48999999999998
2020-01-28,164.94
2020-01-29,165.32
2020-01-30,165.82999999999998
2020-01-31,166.29999999999998
2020-02-03,166.14
2020-02-04,165.79
2020-02-05,165.17999999999998
2020-02-06,165.07999999999998
2020-02-07,165.44
2020-02-10,165.82999999999998
2020-02-11,165.51999999999998
2020-02-12,165.28
2020-02-13,165.53
2020-02-14,165.73999999999998
2020-02-17,165.70999999999998
2020-02-18,165.79
2020-02-19,165.92
2020-02-20,166.22
2020-02-21,166.19
2020-02-24,166.84
2020-02-25,167.28
2020-02-26,167.09
2020-02-27,167.84
2020-02-28,168.72
2020-03-02,169.09
2020-03-03,168.98
2020-03-04,169.14000000000001
2020-03-05,169.81
2020-03-06,170.58
2020-03-09,172.29
2020-03-10,171.65
2020-03-11,170.83
2020-03-12,170.56
2020-03-13,168.23
2020-03-16,166.23
2020-03-17,165.99
2020-03-18,162.85
2020-03-19,162.0
2020-03-20,164.48
2020-03-23,165.18
2020-03-24,164.33
2020-03-25,163.68
2020-03-26,165.13
2020-03-27,166.62
2020-03-30,167.66
2020-03-31,166.57
2020-04-01,166.63
2020-04-02,165.98
2020-04-03,166.12
2020-04-06,165.88
2020-04-07,164.55
2020-04-08,164.52
2020-04-09,164.96
2020-04-14,165.6
2020-04-15,166.74
2020-04-16,166.73
2020-04-17,166.91
2020-04-20,166.47
2020-04-21,166.97
2020-04-22,166.06
2020-04-23,166.16
2020-04-24,166.82
2020-04-27,166.51
2020-04-28,166.81
2020-04-29,167.12
2020-04-30,168.49
2020-05-04,168.1
2020-05-05,168.47
2020-05-06,167.36
2020-05-07,167.95
2020-05-08,167.83
2020-05-11,167.59
2020-05-12,167.43
2020-05-13,167.69
2020-05-14,167.71
2020-05-15,167.8
2020-05-18,167.22
2020-05-19,166.76
2020-05-20,166.78
2020-05-21,167.21
2020-05-22,167.18
2020-05-25,167.12
2020-05-26,166.22
2020-05-27,166.13
2020-05-28,166.11
2020-05-29,166.52
2020-06-01,165.63
2020-06-02,165.84
2020-06-03,164.85
2020-06-04,164.37
2020-06-05,163.63
2020-06-08,164.38
2020-06-09,164.33
2020-06-10,164.68
2020-06-11,166.11
2020-06-12,166.44
2020-06-15,166.39000000000001
2020-06-16,166.27
2020-06-17,166.27
2020-06-18,166.46
2020-06-19,166.55
2020-06-22,166.98000000000002
2020-06-23,166.48000000000002
2020-06-24,166.88
2020-06-25,167.42000000000002
2020-06-26,167.57
2020-06-29,167.53
2020-06-30,167.39000000000001
2020-07-01,166.16
2020-07-02,166.88
2020-07-03,166.89000000000001
2020-07-06,166.83
2020-07-07,166.75
2020-07-08,167.0
2020-07-09,167.39000000000001
2020-07-10,167.5
2020-07-13,166.5
2020-07-14,167.07
2020-07-15,166.99
2020-07-16,167.49
2020-07-17,167.14000000000001
2020-07-20,167.24
2020-07-21,167.24
2020-07-22,167.8
2020-07-23,167.59
2020-07-24,166.96
2020-07-27,167.67000000000002
2020-07-28,168.0
2020-07-29,167.82
2020-07-30,168.56
2020-07-31,168.39000000000001
2020-08-03,168.18
2020-08-04,168.68
2020-08-05,167.97
2020-08-06,168.47
2020-08-07,168.04
2020-08-10,168.37
2020-08-11,167.53
2020-08-12,167.11
2020-08-13,166.43
2020-08-14,166.63
2020-08-17,167.08
2020-08-18,167.3
2020-08-19,167.44
2020-08-20,167.82
2020-08-21,167.97
2020-08-24,167.89000000000001
2020-08-25,166.76
2020-08-26,166.53
2020-08-27,166.31
2020-08-28,166.55
2020-08-31,166.43
2020-09-01,166.59
2020-09-02,167.54
2020-09-03,167.94
2020-09-04,167.65
2020-09-07,167.43
2020-09-08,167.97
2020-09-09,167.4
2020-09-10,166.83
2020-09-11,167.68
2020-09-14,167.72
2020-09-15,167.72
2020-09-16,167.64
2020-09-17,167.98
2020-09-18,167.79
2020-09-21,168.37
2020-09-22,168.09
2020-09-23,167.93
2020-09-24,168.16
2020-09-25,168.39
2020-09-28,168.34
2020-09-29,168.59
2020-09-30,168.24
2020-10-01,168.38
2020-10-02,168.38
2020-10-05,168.14
2020-10-06,167.99
2020-10-07,167.85
2020-10-08,168.2
2020-10-09,168.4
2020-10-12,168.53
2020-10-13,168.78
2020-10-14,169.07
2020-10-15,169.62
2020-10-16,169.79
2020-10-19,169.83
2020-10-20,169.53
2020-10-21,169.43
2020-10-22,168.91
2020-10-23,168.98
2020-10-26,169.02
2020-10-27,169.66
2020-10-28,169.79
2020-10-29,170.03
2020-10-30,169.87
2020-11-02,169.96
2020-11-03,169.74
2020-11-04,170.12
2020-11-05,170.05
2020-11-06,169.75
2020-11-09,168.08
2020-11-10,167.74
2020-11-11,168.02
2020-11-12,168.46
2020-11-13,168.66
2020-11-16,168.65
2020-11-17,168.9
2020-11-18,168.84
2020-11-19,169.05
2020-11-20,169.25
2020-11-23,169.13
2020-11-24,168.98
2020-11-25,169.05
2020-11-26,169.23
2020-11-27,169.22
2020-11-30,168.97
2020-12-01,168.28
2020-12-02,168.2
2020-12-03,168.66
2020-12-04,168.54
2020-12-07,169.13
2020-12-08,169.56
2020-12-09,169.47
2020-12-10,169.36
2020-12-11,169.96
2020-12-14,169.7
2020-12-15,169.55
2020-12-16,168.83
2020-12-17,168.97
2020-12-18,168.94
2020-12-21,169.14000000000001
2020-12-22,169.21
2020-12-23,168.35
2020-12-28,168.67
2020-12-29,168.98
2020-12-30,168.92
2021-01-04,169.4
2021-01-05,169.18
2021-01-06,168.65
2021-01-07,168.53
2021-01-08,168.58
2021-01-11,168.21
2021-01-12,167.72
2021-01-13,168.64000000000001
2021-01-14,169.12
2021-01-15,168.94
2021-01-18,168.65
2021-01-19,168.68
2021-01-20,168.73
2021-01-21,168.08
2021-01-22,168.44
2021-01-25,169.11
2021-01-26,168.8
