DATETIME,price
2019-09-13,3108.5
2019-09-16,3080.5
2019-09-17,3076.5
2019-09-18,3087.5
2019-09-19,3106.5
2019-09-20,3124.5
2019-09-23,3094.5
2019-09-24,3088.5
2019-09-25,3063.5
2019-09-26,3087.5
2019-09-27,3100.5
2019-09-30,3125.5
2019-10-01,3082.5
2019-10-02,2978.5
2019-10-03,2976.5
2019-10-04,2998.5
2019-10-07,3025.5
2019-10-08,2995.5
2019-10-09,3017.5
2019-10-10,3055.5
2019-10-11,3126.5
2019-10-14,3114.5
2019-10-15,3162.5
2019-10-16,3163.5
2019-10-17,3158.5
2019-10-18,3142.5
2019-10-21,3162.5
2019-10-22,3163.5
2019-10-23,3168.5
2019-10-24,3181.5
2019-10-25,3184.5
2019-10-28,3191.5
2019-10-29,3181.5
2019-10-30,3180.5
2019-10-31,3179.5
2019-11-01,3184.5
2019-11-04,3227.5
2019-11-05,3239.5
2019-11-06,3249.5
2019-11-07,3267.5
2019-11-08,3259.5
2019-11-11,3264.5
2019-11-12,3281.5
2019-11-13,3263.5
2019-11-14,3254.5
2019-11-15,3274.5
2019-11-18,3264.5
2019-11-19,3261.5
2019-11-20,3252.5
2019-11-21,3252.5
2019-11-22,3250.5
2019-11-25,3275.5
2019-11-26,3274.5
2019-11-27,3276.5
2019-11-28,3270.5
2019-11-29,3272.5
2019-12-02,3197.5
2019-12-03,3179.5
2019-12-04,3226.5
2019-12-05,3222.5
2019-12-06,3260.5
2019-12-09,3239.5
2019-12-10,3237.5
2019-12-11,3259.5
2019-12-12,3279.5
2019-12-13,3297.5
2019-12-16,3342.5
2019-12-17,3315.5
2019-12-18,3313.5
2019-12-19,3309.5
2019-12-20,3344.5
2019-12-23,3349.5
2019-12-27,3353.5
2019-12-30,3312.5
2020-01-02,3365.5
2020-01-03,3337.5
2020-01-06,3322.5
2020-01-07,3333.5
2020-01-08,3344.5
2020-01-09,3365.5
2020-01-10,3363.5
2020-01-13,3347.5
2020-01-14,3345.5
2020-01-15,3339.5
2020-01-16,3345.5
2020-01-17,3378.5
2020-01-20,3373.5
2020-01-21,3361.5
2020-01-22,3342.5
2020-01-23,3310.5
2020-01-24,3350.5
2020-01-27,3254.5
2020-01-28,3292.5
2020-01-29,3313.5
2020-01-30,3262.5
2020-01-31,3222.5
2020-02-03,3237.5
2020-02-04,3305.5
