DATETIME,price
2021-11-18,
2021-11-19,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-29,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-24,
2021-12-28,
2021-12-29,
2021-12-30,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-31,
2022-02-04,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-03-01,
2022-03-02,
2022-03-03,
2022-03-04,
2022-03-07,
2022-03-08,
2022-03-09,
2022-03-10,
2022-03-11,
2022-03-14,
2022-03-15,
2022-03-16,
2022-03-17,
2022-03-18,
2022-03-21,
2022-03-22,
2022-03-23,
2022-03-24,
2022-03-25,
2022-03-28,
2022-03-29,
2022-03-30,
2022-04-01,
2022-04-04,
2022-04-05,
2022-04-06,
2022-04-07,
2022-04-08,
2022-04-11,
2022-04-12,
2022-04-13,
2022-04-14,
2022-04-15,
2022-04-19,
2022-04-20,
2022-04-21,
2022-04-22,
2022-04-25,
2022-04-26,
2022-04-27,
2022-04-28,
2022-04-29,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-09,
2022-05-10,
2022-05-11,
2022-05-12,
2022-05-13,
2022-05-16,
2022-05-17,
2022-05-18,
2022-05-19,
2022-05-20,
2022-05-23,
2022-05-24,
2022-05-25,
2022-05-26,
2022-05-27,
2022-05-30,
2022-06-01,21451.0
2022-06-02,21296.0
2022-06-06,21950.0
2022-06-07,21717.0
2022-06-08,22201.0
2022-06-09,22143.0
2022-06-10,22047.0
2022-06-13,21239.0
2022-06-14,21257.0
2022-06-15,21561.0
2022-06-16,21097.0
2022-06-17,21347.0
2022-06-20,21466.0
2022-06-21,21826.0
2022-06-22,21332.0
2022-06-23,21579.0
2022-06-24,21948.0
2022-06-27,22548.0
2022-06-28,22723.0
2022-06-29,22283.0
2022-06-30,22172.0
2022-07-01,22172.0
2022-07-04,22243.0
2022-07-05,22133.0
2022-07-06,21934.0
2022-07-07,22137.0
2022-07-08,22154.0
2022-07-11,21583.0
2022-07-12,21264.0
2022-07-13,21253.0
2022-07-14,21142.0
2022-07-15,20710.0
2022-07-18,21274.0
2022-07-19,21086.0
2022-07-20,21324.0
2022-07-21,21001.0
2022-07-22,21046.0
2022-07-25,20989.0
2022-07-26,21313.0
2022-07-27,21091.0
2022-07-28,21059.0
2022-07-29,20549.0
2022-08-01,20590.0
2022-08-02,20052.0
2022-08-03,20183.0
2022-08-04,20596.0
2022-08-05,20576.0
2022-08-08,20462.0
2022-08-09,20455.0
2022-08-10,20021.0
2022-08-11,20482.0
2022-08-12,20584.0
2022-08-15,20489.0
2022-08-16,20268.0
2022-08-17,20361.0
2022-08-18,20189.0
2022-08-19,20176.0
2022-08-22,20047.0
2022-08-23,19922.0
2022-08-24,19694.0
2022-08-25,20373.0
2022-08-26,20581.0
2022-08-29,20483.0
2022-08-30,20413.0
2022-08-31,20365.0
2022-09-01,20041.0
2022-09-02,19932.0
2022-09-05,19691.0
2022-09-06,19678.0
2022-09-07,19541.0
2022-09-08,19392.0
2022-09-09,19904.0
2022-09-12,19904.0
2022-09-13,19857.0
2022-09-14,19349.0
2022-09-15,19403.0
2022-09-16,19255.0
2022-09-19,19115.0
2022-09-20,19297.0
2022-09-21,18988.0
2022-09-22,18713.0
2022-09-23,18440.0
2022-09-26,18418.0
2022-09-27,18370.0
2022-09-28,17789.0
2022-09-29,17709.0
2022-09-30,17751.0
2022-10-03,17621.0
2022-10-04,17621.0
2022-10-05,18624.0
2022-10-06,18536.0
2022-10-07,18277.0
2022-10-10,17762.0
2022-10-11,17390.0
2022-10-12,17266.0
2022-10-13,16949.0
2022-10-14,17141.0
2022-10-17,17108.0
2022-10-18,17421.0
2022-10-19,17052.0
2022-10-20,16791.0
2022-10-21,16726.0
2022-10-24,15675.0
2022-10-25,15720.0
2022-10-26,15870.0
2022-10-27,16008.0
2022-10-28,15407.0
2022-10-31,15153.0
2022-11-01,15972.0
2022-11-02,16346.0
2022-11-03,15838.0
2022-11-04,16707.0
2022-11-07,17173.0
2022-11-08,17096.0
2022-11-09,16927.0
2022-11-10,16592.0
2022-11-11,17876.0
2022-11-14,18202.0
2022-11-15,18840.0
2022-11-16,18749.0
2022-11-17,18561.0
2022-11-18,18509.0
2022-11-21,18180.0
2022-11-22,17991.0
2022-11-23,18077.0
2022-11-24,18172.0
2022-11-25,18087.0
2022-11-28,17836.0
2022-11-29,18779.0
2022-11-30,19062.0
2022-12-01,19241.0
2022-12-02,19215.0
2022-12-05,19975.0
2022-12-06,19955.0
2022-12-07,19357.0
2022-12-08,19944.0
2022-12-09,20391.0
2022-12-12,19887.0
2022-12-13,20134.0
2022-12-14,20170.0
2022-12-15,19838.0
2022-12-16,19830.0
2022-12-19,19885.0
2022-12-20,19569.0
2022-12-21,19626.0
2022-12-22,20125.0
2022-12-23,20003.0
2022-12-26,20003.0
2022-12-27,20003.0
2022-12-28,20468.0
2022-12-29,20167.0
2022-12-30,20251.0
2023-01-03,20574.0
2023-01-04,21268.0
2023-01-05,21553.0
2023-01-06,21406.0
2023-01-09,21828.0
2023-01-10,21766.0
2023-01-11,21874.0
2023-01-12,21925.0
2023-01-13,22118.0
2023-01-16,22062.0
2023-01-17,21967.0
2023-01-18,22046.0
2023-01-19,21991.0
2023-01-20,22321.0
2023-01-23,22321.0
2023-01-24,22321.0
2023-01-25,22321.0
2023-01-26,22916.0
2023-01-27,23003.0
2023-01-30,22400.0
2023-01-31,22156.0
2023-02-01,22343.0
2023-02-02,22344.0
2023-02-03,21897.0
2023-02-06,21497.0
2023-02-07,21593.0
2023-02-08,21513.0
2023-02-09,21935.0
2023-02-10,21486.0
2023-02-13,21430.0
2023-02-14,21353.0
2023-02-15,21075.0
2023-02-16,21261.0
2023-02-17,20894.0
2023-02-20,21133.0
2023-02-21,20800.0
2023-02-22,20603.0
2023-02-23,20604.0
2023-02-24,20199.0
2023-02-27,20166.0
2023-02-28,19992.0
2023-03-01,20840.0
2023-03-02,20706.0
2023-03-03,20824.0
2023-03-06,20867.0
2023-03-07,20834.0
2023-03-08,20281.0
2023-03-09,20185.0
2023-03-10,19551.0
2023-03-13,19877.0
2023-03-14,19514.0
2023-03-15,19852.0
2023-03-16,19397.0
2023-03-17,19822.0
2023-03-20,19174.0
2023-03-21,19520.0
2023-03-22,19852.0
2023-03-23,20288.0
2023-03-24,20150.0
2023-03-27,19853.0
2023-03-28,20036.0
2023-03-29,20483.0
2023-03-30,20545.0
2023-03-31,20676.0
2023-04-03,20654.0
2023-04-04,20497.0
2023-04-05,20497.0
2023-04-06,20507.0
2023-04-07,20507.0
2023-04-10,20507.0
2023-04-11,20745.0
2023-04-12,20561.0
2023-04-13,20569.0
2023-04-14,20638.0
2023-04-17,20979.0
2023-04-18,20851.0
2023-04-19,20515.0
2023-04-20,20589.0
2023-04-21,20224.0
2023-04-24,20119.0
2023-04-25,19771.0
2023-04-26,19938.0
2023-04-27,19988.0
2023-04-28,20030.0
2023-05-01,20030.0
2023-05-02,20066.0
2023-05-03,19821.0
2023-05-04,20152.0
2023-05-05,20214.0
2023-05-08,20490.0
2023-05-09,20015.0
2023-05-10,19929.0
2023-05-11,19937.0
2023-05-12,19829.0
2023-05-15,20189.0
2023-05-16,20142.0
2023-05-17,19719.0
2023-05-18,19908.0
2023-05-19,19620.0
2023-05-22,19913.0
2023-05-23,19666.0
2023-05-24,19301.0
2023-05-25,18925.0
2023-05-26,18925.0
2023-05-29,18752.0
2023-05-30,18800.0
2023-05-31,18502.0
2023-06-01,18452.0
2023-06-02,19189.0
2023-06-05,19323.0
2023-06-06,19291.0
2023-06-07,19519.0
2023-06-08,19552.0
2023-06-09,19663.0
2023-06-12,19704.0
2023-06-13,19817.0
2023-06-14,19725.0
2023-06-15,20115.0
2023-06-16,20429.0
2023-06-19,20198.0
2023-06-20,19885.0
2023-06-21,19552.0
2023-06-22,19552.0
2023-06-23,19177.0
2023-06-26,19098.0
2023-06-27,19440.0
