DATETIME,price
2019-09-13,2924.5
2019-09-16,2917.5
2019-09-17,2924.0
2019-09-18,2924.5
2019-09-19,2924.0
2019-09-20,2905.5
2019-09-23,2913.0
2019-09-24,2886.25
2019-09-25,2902.25
2019-09-26,2896.5
2019-09-27,2879.75
2019-09-30,2894.5
2019-10-01,2853.75
2019-10-02,2796.5
2019-10-03,2827.75
2019-10-04,2867.0
2019-10-07,2853.5
2019-10-08,2808.5
2019-10-09,2835.0
2019-10-10,2857.0
2019-10-11,2886.75
2019-10-14,2881.5
2019-10-15,2913.75
2019-10-16,2907.5
2019-10-17,2914.0
2019-10-18,2904.25
2019-10-21,2922.5
2019-10-22,2910.5
2019-10-23,2921.75
2019-10-24,2920.25
2019-10-25,2936.25
2019-10-28,2952.25
2019-10-29,2951.75
2019-10-30,2963.75
2019-10-31,2951.75
2019-11-01,2979.25
2019-11-04,2991.75
2019-11-05,2988.0
2019-11-06,2991.5
2019-11-07,3002.0
2019-11-08,3006.5
2019-11-11,3003.5
2019-11-12,3008.0
2019-11-13,3011.5
2019-11-14,3013.0
2019-11-15,3034.25
2019-11-18,3037.75
2019-11-19,3034.5
2019-11-20,3025.0
2019-11-21,3020.0
2019-11-22,3027.5
2019-11-25,3048.75
2019-11-26,3059.75
2019-11-27,3069.75
2019-11-29,3059.75
2019-12-02,3030.25
2019-12-03,3007.0
2019-12-04,3027.0
2019-12-05,3033.75
2019-12-06,3062.0
2019-12-09,3050.5
2019-12-10,3052.0
2019-12-11,3059.5
2019-12-12,3084.75
2019-12-13,3089.0
2019-12-16,3112.25
2019-12-17,3109.25
2019-12-18,3113.0
2019-12-19,3125.5
2019-12-20,3139.5
2019-12-23,3141.0
2019-12-24,3139.5
2019-12-26,3158.25
2019-12-27,3151.25
2019-12-30,3137.25
2019-12-31,3144.75
2020-01-02,3172.75
2020-01-03,3149.25
2020-01-06,3157.25
2020-01-07,3149.0
2020-01-08,3174.0
2020-01-09,3189.75
2020-01-10,3178.5
2020-01-13,3203.5
2020-01-14,3201.75
2020-01-15,3207.5
2020-01-16,3230.25
2020-01-17,3238.75
2020-01-21,3233.25
2020-01-22,3233.5
2020-01-23,3239.75
2020-01-24,3207.25
2020-01-27,3153.25
2020-01-28,3192.0
2020-01-29,3186.25
2020-01-30,3203.5
2020-01-31,3137.75
2020-02-03,3159.25
2020-02-04,3213.25
2020-02-05,3248.75
2020-02-06,3259.0
2020-02-07,3239.25
2020-02-10,3266.75
2020-02-11,3271.25
2020-02-12,3294.25
2020-02-13,3291.25
2020-02-14,3294.75
2020-02-18,3283.0
2020-02-19,3301.0
2020-02-20,3283.0
2020-02-21,3253.0
2020-02-24,3140.0
2020-02-25,3046.25
2020-02-26,3024.0
2020-02-27,2870.75
2020-02-28,2864.75
2020-03-02,2978.75
2020-03-03,2910.75
2020-03-04,3028.5
2020-03-05,2929.25
2020-03-06,2877.75
2020-03-09,2661.5
2020-03-10,2779.5
2020-03-11,2654.25
2020-03-12,2381.25
2020-03-13,2609.25
2020-03-16,2330.5
2020-03-17,2410.75
2020-03-18,2326.75
2020-03-19,2314.25
2020-03-20,2213.75
2020-03-23,2145.75
2020-03-24,2363.25
2020-03-25,2392.25
2020-03-26,2533.25
2020-03-27,2449.25
2020-03-30,2536.5
2020-03-31,2495.0
2020-04-01,2373.25
2020-04-02,2441.75
2020-04-03,2408.0
2020-04-06,2569.75
2020-04-07,2567.25
2020-04-08,2660.25
2020-04-09,2705.0
2020-04-13,2684.5
2020-04-14,2768.25
2020-04-15,2700.25
2020-04-16,2712.75
2020-04-17,2795.25
2020-04-20,2731.75
2020-04-21,2657.25
2020-04-22,2713.75
2020-04-23,2706.0
2020-04-24,2754.75
2020-04-27,2794.25
2020-04-28,2792.5
2020-04-29,2866.25
2020-04-30,2827.75
2020-05-01,2747.0
2020-05-04,2750.5
2020-05-05,2783.5
2020-05-06,2758.75
2020-05-07,2805.25
2020-05-08,2853.75
2020-05-11,2848.0
2020-05-12,2777.75
2020-05-13,2738.25
2020-05-14,2772.25
2020-05-15,2771.75
2020-05-18,2873.25
2020-05-19,2844.0
2020-05-20,2893.75
2020-05-21,2862.25
2020-05-22,2878.25
2020-05-26,2919.75
2020-05-27,2960.75
2020-05-28,2963.25
2020-05-29,2967.25
2020-06-01,2979.25
2020-06-02,3002.25
2020-06-03,3043.0
2020-06-04,3035.75
2020-06-05,3112.0
2020-06-08,3152.75
2020-06-09,3130.75
2020-06-10,3111.25
2020-06-11,2935.5
2020-06-12,2959.75
2020-06-15,2998.0
2020-06-16,3054.25
2020-06-17,3043.0
2020-06-18,3034.0
2020-06-19,2995.5
2020-06-22,3046.75
2020-06-23,3054.5
2020-06-24,2985.0
2020-06-25,3006.75
2020-06-26,2943.0
2020-06-29,2983.75
2020-06-30,3026.25
2020-07-01,3039.0
2020-07-02,3065.0
2020-07-06,3108.0
2020-07-07,3072.5
2020-07-08,3099.5
2020-07-09,3077.0
2020-07-10,3114.5
2020-07-13,3084.25
2020-07-14,3119.5
2020-07-15,3155.5
2020-07-16,3130.5
2020-07-17,3150.0
2020-07-20,3181.25
2020-07-21,3187.25
2020-07-22,3201.5
2020-07-23,3163.5
2020-07-24,3140.0
2020-07-27,3168.25
2020-07-28,3149.0
2020-07-29,3188.5
2020-07-30,3184.75
2020-07-31,3199.5
2020-08-03,3224.5
2020-08-04,3236.0
2020-08-05,3252.0
2020-08-06,3280.25
2020-08-07,3280.75
2020-08-10,3288.75
2020-08-11,3266.0
2020-08-12,3306.0
2020-08-13,3303.75
2020-08-14,3297.5
2020-08-17,3315.75
2020-08-18,3323.0
2020-08-19,3308.75
2020-08-20,3316.75
2020-08-21,3328.5
2020-08-24,3363.5
2020-08-25,3379.0
2020-08-26,3416.25
2020-08-27,3421.25
2020-08-28,3440.5
2020-08-31,3435.0
2020-09-01,3463.0
2020-09-02,3515.25
2020-09-03,3397.5
2020-09-04,3353.5
2020-09-08,3271.25
2020-09-09,3336.25
2020-09-10,3276.25
2020-09-11,3269.5
2020-09-14,3318.5
2020-09-15,3341.25
2020-09-16,3325.75
2020-09-17,3297.25
2020-09-18,3262.5
2020-09-21,3221.25
2020-09-22,3245.5
2020-09-23,3177.5
2020-09-24,3184.25
2020-09-25,3233.5
2020-09-28,3292.25
2020-09-29,3280.0
2020-09-30,3298.25
2020-10-01,3314.0
2020-10-02,3285.5
2020-10-05,3339.25
2020-10-06,3299.5
2020-10-07,3353.0
2020-10-08,3383.75
2020-10-09,3419.5
2020-10-12,3479.0
2020-10-13,3451.0
2020-10-14,3427.25
2020-10-15,3421.75
2020-10-16,3408.5
2020-10-19,3369.0
2020-10-20,3378.5
2020-10-21,3378.75
2020-10-22,3395.5
2020-10-23,3398.0
2020-10-26,3339.75
2020-10-27,3329.25
2020-10-28,3209.75
2020-10-29,3248.5
2020-10-30,3211.0
2020-11-02,3246.75
2020-11-03,3307.75
2020-11-04,3381.25
2020-11-05,3451.0
2020-11-06,3447.0
2020-11-09,3490.25
2020-11-10,3487.25
2020-11-11,3514.25
2020-11-12,3478.75
2020-11-13,3528.25
2020-11-16,3569.25
2020-11-17,3553.0
2020-11-18,3511.25
2020-11-19,3526.25
2020-11-20,3500.5
2020-11-23,3522.25
2020-11-24,3579.0
2020-11-25,3573.5
2020-11-27,3582.75
2020-11-30,3569.5
2020-12-01,3606.75
2020-12-02,3613.5
2020-12-03,3610.75
2020-12-04,3644.25
2020-12-07,3637.0
2020-12-08,3648.25
2020-12-09,3618.75
2020-12-10,3614.75
2020-12-11,3607.5
2020-12-14,3594.0
2020-12-15,3641.0
2020-12-16,3647.75
2020-12-17,3666.75
2020-12-18,3660.25
2020-12-21,3639.75
2020-12-22,3631.25
2020-12-23,3635.5
2020-12-24,3649.0
2020-12-28,3681.5
2020-12-29,3674.0
2020-12-30,3678.25
2020-12-31,3702.75
2021-01-04,3646.25
2021-01-05,3672.25
2021-01-06,3694.5
2021-01-07,3749.5
2021-01-08,3771.5
2021-01-11,3746.0
2021-01-12,3748.5
2021-01-13,3757.75
2021-01-14,3745.25
2021-01-15,3716.25
2021-01-19,3744.5
2021-01-20,3799.0
2021-01-21,3800.0
2021-01-22,3788.25
2021-01-25,3802.5
2021-01-26,3796.5
2021-01-27,3698.25
2021-01-28,3733.25
2021-01-29,3659.25
2021-02-01,3719.75
2021-02-02,3772.25
2021-02-03,3777.5
2021-02-04,3818.5
2021-02-05,3834.25
2021-02-08,3862.0
2021-02-09,3859.5
2021-02-10,3857.0
2021-02-11,3866.0
2021-02-12,3885.0
2021-02-16,3881.75
2021-02-17,3882.0
2021-02-18,3863.5
2021-02-19,3857.0
2021-02-22,3827.5
2021-02-23,3832.0
2021-02-24,3876.5
2021-02-25,3782.0
2021-02-26,3763.25
2021-03-01,3852.75
2021-03-02,3821.5
2021-03-03,3770.75
2021-03-04,3719.5
2021-03-05,3793.0
2021-03-08,3773.25
2021-03-09,3827.25
2021-03-10,3850.5
2021-03-11,3890.75
2021-03-12,3896.25
2021-03-15,3921.75
2021-03-16,3916.0
2021-03-17,3927.0
2021-03-18,3869.5
2021-03-19,3863.25
2021-03-22,3893.5
2021-03-23,3863.25
2021-03-24,3844.25
2021-03-25,3864.0
2021-03-26,3928.25
2021-03-29,3922.5
2021-03-30,3911.25
2021-03-31,3931.0
2021-04-01,3973.5
2021-04-05,4031.25
2021-04-06,4027.5
2021-04-07,4033.5
2021-04-08,4052.5
2021-04-09,4083.0
2021-04-12,4083.75
2021-04-13,4096.25
2021-04-14,4081.5
2021-04-15,4126.0
2021-04-16,4139.75
2021-04-19,4119.0
2021-04-20,4090.0
2021-04-21,4128.25
2021-04-22,4091.25
2021-04-23,4135.0
2021-04-26,4143.0
2021-04-27,4142.5
2021-04-28,4139.75
2021-04-29,4167.0
2021-04-30,4138.0
2021-05-03,4149.25
2021-05-04,4121.75
2021-05-05,4123.5
2021-05-06,4157.75
2021-05-07,4188.75
2021-05-10,4147.0
2021-05-11,4109.75
2021-05-12,4022.25
2021-05-13,4070.5
2021-05-14,4132.5
2021-05-17,4121.25
2021-05-18,4086.5
2021-05-19,4075.0
2021-05-20,4117.75
2021-05-21,4115.25
2021-05-24,4157.25
2021-05-25,4149.0
2021-05-26,4156.5
2021-05-27,4162.5
2021-05-28,4166.0
2021-06-01,4162.0
2021-06-02,4169.75
2021-06-03,4154.75
2021-06-04,4191.75
2021-06-07,4189.0
2021-06-08,4189.25
2021-06-09,4182.0
2021-06-10,4201.5
2021-06-11,4209.25
2021-06-14,4218.5
2021-06-15,4209.25
2021-06-16,4185.75
2021-06-17,4185.0
2021-06-18,4126.25
2021-06-21,4186.5
2021-06-22,4209.0
2021-06-23,4204.25
2021-06-24,4228.75
2021-06-25,4244.0
2021-06-28,4253.25
2021-06-29,4254.75
2021-06-30,4261.25
2021-07-01,4283.5
2021-07-02,4315.5
2021-07-06,4306.75
2021-07-07,4322.5
2021-07-08,4285.75
2021-07-09,4332.75
2021-07-12,4349.25
2021-07-13,4334.0
2021-07-14,4340.5
2021-07-15,4324.75
2021-07-16,4291.25
2021-07-19,4224.0
2021-07-20,4288.25
2021-07-21,4323.25
2021-07-22,4332.25
2021-07-23,4375.75
2021-07-26,4387.0
2021-07-27,4367.25
2021-07-28,4366.5
2021-07-29,4384.5
2021-07-30,4362.25
2021-08-02,4352.5
2021-08-03,4387.75
2021-08-04,4367.5
2021-08-05,4394.25
2021-08-06,4402.25
2021-08-09,4398.5
2021-08-10,4402.75
2021-08-11,4413.25
2021-08-12,4427.25
2021-08-13,4435.25
2021-08-16,4446.75
2021-08-17,4416.25
2021-08-18,4367.25
2021-08-19,4374.25
2021-08-20,4409.75
2021-08-23,4448.25
2021-08-24,4455.25
2021-08-25,4465.75
2021-08-26,4439.25
2021-08-27,4478.25
2021-08-30,4498.0
2021-08-31,4493.25
2021-09-01,4494.0
2021-09-02,4508.0
2021-09-03,4507.25
2021-09-07,4492.0
2021-09-08,4485.25
2021-09-09,4465.0
2021-09-10,4431.0
2021-09-13,4441.5
2021-09-14,4416.75
2021-09-15,4454.0
2021-09-16,4446.25
2021-09-17,4403.75
2021-09-20,4330.25
2021-09-21,4325.25
2021-09-22,4366.0
2021-09-23,4420.0
2021-09-24,4427.75
2021-09-27,4415.0
2021-09-28,4325.5
2021-09-29,4331.75
2021-09-30,4279.75
2021-10-01,4325.75
2021-10-04,4273.25
2021-10-05,4316.0
2021-10-06,4336.0
2021-10-07,4372.0
2021-10-08,4364.25
2021-10-11,4333.0
2021-10-12,4322.75
2021-10-13,4337.0
2021-10-14,4411.0
2021-10-15,4444.5
2021-10-18,4459.5
2021-10-19,4493.25
2021-10-20,4510.0
2021-10-21,4523.75
2021-10-22,4518.5
2021-10-25,4540.0
2021-10-26,4547.25
2021-10-27,4526.5
2021-10-28,4569.5
2021-10-29,4579.0
2021-11-01,4587.75
2021-11-02,4605.5
2021-11-03,4634.25
2021-11-04,4655.25
2021-11-05,4672.25
2021-11-08,4676.0
2021-11-09,4660.25
2021-11-10,4624.0
2021-11-11,4625.0
2021-11-12,4660.25
2021-11-15,4661.0
2021-11-16,4678.0
2021-11-17,4668.25
2021-11-18,4683.5
2021-11-19,4676.5
2021-11-22,4661.75
2021-11-23,4670.5
2021-11-24,4681.0
2021-11-26,4577.75
2021-11-29,4633.0
2021-11-30,4548.25
2021-12-01,4490.5
2021-12-02,4557.75
2021-12-03,4519.5
2021-12-06,4572.0
2021-12-07,4667.0
2021-12-08,4681.0
2021-12-09,4649.0
2021-12-10,4693.0
2021-12-13,4650.75
2021-12-14,4619.0
2021-12-15,4691.5
2021-12-16,4650.25
2021-12-17,4601.0
2021-12-20,4549.5
2021-12-21,4631.75
2021-12-22,4677.0
2021-12-23,4706.75
2021-12-27,4773.25
2021-12-28,4769.5
2021-12-29,4775.5
2021-12-30,4763.25
2021-12-31,4749.5
2022-01-03,4777.0
2022-01-04,4775.25
2022-01-05,4683.5
2022-01-06,4678.5
2022-01-07,4658.75
2022-01-10,4653.25
2022-01-11,4696.0
2022-01-12,4707.25
2022-01-13,4643.0
2022-01-14,4645.75
2022-01-18,4562.25
2022-01-19,4515.25
2022-01-20,4465.75
2022-01-21,4381.0
2022-01-24,4394.75
2022-01-25,4340.0
2022-01-26,4332.5
2022-01-27,4308.75
2022-01-28,4414.25
2022-01-31,4495.25
2022-02-01,4526.0
2022-02-02,4568.25
2022-02-03,4460.0
2022-02-04,4483.5
2022-02-07,4466.75
2022-02-08,4503.5
2022-02-09,4568.75
2022-02-10,4488.5
2022-02-11,4400.5
2022-02-14,4385.0
2022-02-15,4455.5
2022-02-16,4461.0
2022-02-17,4365.5
2022-02-18,4334.5
2022-02-22,4291.0
2022-02-23,4213.0
2022-02-24,4275.0
2022-02-25,4371.0
2022-02-28,4359.0
2022-03-01,4294.75
2022-03-02,4372.75
2022-03-03,4350.25
2022-03-04,4318.25
2022-03-07,4189.5
2022-03-08,4159.75
2022-03-09,4266.25
2022-03-10,4248.25
2022-03-11,4192.5
2022-03-14,4163.5
2022-03-15,4253.75
2022-03-16,4349.5
2022-03-17,4402.0
2022-03-18,4453.5
2022-03-21,4452.25
2022-03-22,4505.0
2022-03-23,4447.5
2022-03-24,4512.5
2022-03-25,4536.5
2022-03-28,4568.0
2022-03-29,4625.5
2022-03-30,4596.0
2022-03-31,4530.75
2022-04-01,4539.25
2022-04-04,4577.75
2022-04-05,4520.25
2022-04-06,4475.75
2022-04-07,4496.25
2022-04-08,4483.5
2022-04-11,4409.0
2022-04-12,4393.0
2022-04-13,4442.25
2022-04-14,4387.5
2022-04-18,4386.75
2022-04-19,4459.25
2022-04-20,4455.5
2022-04-21,4390.5
2022-04-22,4267.25
2022-04-25,4292.75
2022-04-26,4170.5
2022-04-27,4180.25
2022-04-28,4283.5
2022-04-29,4127.5
2022-05-02,4151.0
2022-05-03,4169.25
2022-05-04,4295.25
2022-05-05,4143.25
2022-05-06,4119.5
2022-05-09,3987.5
2022-05-10,3996.75
2022-05-11,3930.25
2022-05-12,3927.25
