DATETIME,price
2019-09-13,576.5
2019-09-16,581.75
2019-09-17,577.25
2019-09-18,582.5
2019-09-19,581.0
2019-09-20,577.25
2019-09-23,576.0
2019-09-24,574.75
2019-09-25,570.25
2019-09-26,577.25
2019-09-27,580.25
2019-09-30,588.75
2019-10-01,591.75
2019-10-02,582.0
2019-10-03,581.75
2019-10-04,583.5
2019-10-07,582.25
2019-10-08,593.25
2019-10-09,593.25
2019-10-10,586.0
2019-10-11,601.0
2019-10-14,604.0
2019-10-15,600.0
2019-10-16,606.25
2019-10-17,618.5
2019-10-18,625.25
2019-10-21,616.5
2019-10-22,611.0
2019-10-23,613.75
2019-10-24,609.0
2019-10-25,610.75
2019-10-28,604.75
2019-10-29,604.5
2019-10-30,602.25
2019-10-31,601.75
2019-11-01,609.0
2019-11-04,602.75
2019-11-05,608.25
2019-11-06,609.75
2019-11-07,605.5
2019-11-08,603.25
2019-11-11,598.75
2019-11-12,610.0
2019-11-13,602.0
2019-11-14,600.75
2019-11-15,595.75
2019-11-18,600.25
2019-11-19,605.0
2019-11-20,608.5
2019-11-21,602.0
2019-11-22,608.25
2019-11-25,624.0
2019-11-26,623.25
2019-11-27,621.5
2019-11-29,640.5
2019-12-02,636.25
2019-12-03,626.25
2019-12-04,628.5
2019-12-05,624.75
2019-12-06,625.5
2019-12-09,623.75
2019-12-10,624.75
2019-12-11,620.25
2019-12-12,631.25
2019-12-13,633.5
2019-12-16,650.75
2019-12-17,657.25
2019-12-18,649.25
2019-12-19,646.25
2019-12-20,643.25
2019-12-23,640.5
2019-12-24,642.0
2019-12-26,650.0
2019-12-27,657.25
2019-12-30,657.0
2019-12-31,659.75
2020-01-02,661.25
2020-01-03,655.5
2020-01-06,651.0
2020-01-07,651.25
2020-01-08,653.75
2020-01-09,663.25
2020-01-10,665.5
2020-01-13,663.25
2020-01-14,669.5
2020-01-15,674.25
2020-01-16,666.25
2020-01-17,671.5
2020-01-21,682.5
2020-01-22,678.75
2020-01-23,681.5
2020-01-24,674.5
2020-01-27,673.25
2020-01-28,670.75
2020-01-29,663.25
2020-01-30,661.5
2020-01-31,654.75
2020-02-03,656.5
2020-02-04,658.25
2020-02-05,663.0
2020-02-06,657.25
2020-02-07,659.75
2020-02-10,653.0
2020-02-11,643.0
2020-02-12,648.5
2020-02-13,645.25
2020-02-14,643.75
2020-02-18,667.75
2020-02-19,666.25
2020-02-20,661.0
2020-02-21,652.0
2020-02-24,637.25
2020-02-25,640.0
2020-02-26,641.25
2020-02-27,630.25
2020-02-28,630.0
2020-03-02,627.25
2020-03-03,631.25
2020-03-04,622.25
2020-03-05,622.75
2020-03-06,619.75
2020-03-09,622.75
2020-03-10,626.25
2020-03-11,616.75
2020-03-12,609.5
2020-03-13,610.0
2020-03-16,602.0
2020-03-17,603.25
2020-03-18,612.25
2020-03-19,639.0
2020-03-20,643.25
2020-03-23,666.5
2020-03-24,665.5
2020-03-25,684.0
2020-03-26,673.0
2020-03-27,675.25
2020-03-30,673.5
2020-03-31,672.75
2020-04-01,654.25
2020-04-02,645.75
2020-04-03,653.25
2020-04-06,659.75
2020-04-07,653.25
2020-04-08,652.25
2020-04-09,660.5
2020-04-13,659.0
2020-04-14,652.75
2020-04-15,644.25
2020-04-16,633.75
2020-04-17,637.5
2020-04-20,652.75
2020-04-21,650.75
2020-04-22,647.0
2020-04-23,651.0
2020-04-24,630.75
2020-04-27,625.0
2020-04-28,630.75
2020-04-29,623.5
2020-04-30,633.75
2020-05-01,625.5
2020-05-04,628.5
2020-05-05,629.75
2020-05-06,626.5
2020-05-07,631.5
2020-05-08,631.0
2020-05-11,626.25
2020-05-12,623.5
2020-05-13,610.75
2020-05-14,611.25
2020-05-15,609.25
2020-05-18,606.0
2020-05-19,607.75
2020-05-20,622.75
2020-05-21,625.0
2020-05-22,617.75
2020-05-26,615.75
2020-05-27,613.5
2020-05-28,623.5
2020-05-29,629.75
2020-06-01,624.25
2020-06-02,617.0
2020-06-03,621.0
2020-06-04,632.75
2020-06-05,624.25
2020-06-08,620.5
2020-06-09,613.5
2020-06-10,615.25
2020-06-11,608.25
2020-06-12,611.0
2020-06-15,613.75
2020-06-16,605.0
2020-06-17,597.75
2020-06-18,592.5
2020-06-19,590.25
2020-06-22,594.0
2020-06-23,595.0
2020-06-24,590.25
2020-06-25,595.75
2020-06-26,583.0
2020-06-29,594.5
2020-06-30,599.0
2020-07-01,607.75
2020-07-02,601.0
2020-07-06,602.25
2020-07-07,604.25
2020-07-08,625.5
2020-07-09,634.0
2020-07-10,643.0
2020-07-13,633.75
2020-07-14,635.75
2020-07-15,659.75
2020-07-16,644.25
2020-07-17,643.75
2020-07-20,631.0
2020-07-21,636.75
2020-07-22,643.5
2020-07-23,638.5
2020-07-24,648.5
2020-07-27,636.75
2020-07-28,632.5
2020-07-29,641.75
2020-07-30,638.5
2020-07-31,640.25
2020-08-03,630.0
2020-08-04,617.25
2020-08-05,619.75
2020-08-06,610.25
2020-08-07,604.5
2020-08-10,600.0
2020-08-11,604.0
2020-08-12,600.25
2020-08-13,605.75
2020-08-14,609.0
2020-08-17,625.5
2020-08-18,616.5
2020-08-19,621.0
2020-08-20,628.5
2020-08-21,636.25
2020-08-24,629.75
2020-08-25,636.25
2020-08-26,641.0
2020-08-27,651.5
2020-08-28,648.25
2020-08-31,653.25
2020-09-01,664.75
2020-09-02,659.0
2020-09-03,654.0
2020-09-04,651.0
2020-09-08,645.0
2020-09-09,644.5
2020-09-10,649.0
2020-09-11,642.75
2020-09-14,646.5
2020-09-15,639.0
2020-09-16,642.75
2020-09-17,657.0
2020-09-18,675.75
2020-09-21,655.5
2020-09-22,658.75
2020-09-23,649.75
2020-09-24,650.5
2020-09-25,645.0
2020-09-28,651.0
2020-09-29,650.25
2020-09-30,678.75
2020-10-01,671.0
2020-10-02,674.0
2020-10-05,685.0
2020-10-06,693.5
2020-10-07,708.25
2020-10-08,696.0
2020-10-09,694.5
2020-10-12,695.0
2020-10-13,694.75
2020-10-14,697.5
2020-10-15,719.0
2020-10-16,726.0
2020-10-19,727.75
2020-10-20,732.75
2020-10-21,730.5
2020-10-22,723.5
2020-10-23,733.5
2020-10-26,720.75
2020-10-27,716.5
2020-10-28,709.5
2020-10-29,704.5
2020-10-30,699.25
2020-11-02,708.25
2020-11-03,708.75
2020-11-04,706.75
2020-11-05,710.0
2020-11-06,702.75
2020-11-09,698.25
2020-11-10,709.25
2020-11-11,698.75
2020-11-12,689.0
2020-11-13,694.25
2020-11-16,698.75
2020-11-17,696.0
2020-11-18,698.5
2020-11-19,692.5
2020-11-20,694.0
2020-11-23,699.5
2020-11-24,712.0
2020-11-25,689.0
2020-11-27,697.25
2020-11-30,681.0
2020-12-01,666.25
2020-12-02,677.5
2020-12-03,673.5
2020-12-04,664.5
2020-12-07,666.5
2020-12-08,659.0
2020-12-09,672.25
2020-12-10,685.5
2020-12-11,703.5
2020-12-14,685.5
2020-12-15,688.75
2020-12-16,687.5
2020-12-17,697.75
2020-12-18,697.25
2020-12-21,700.25
2020-12-22,706.0
2020-12-23,718.75
2020-12-24,716.0
2020-12-28,703.25
2020-12-29,707.5
2020-12-30,729.75
2020-12-31,729.5
2021-01-04,731.0
2021-01-05,743.0
2021-01-06,736.5
2021-01-07,731.25
2021-01-08,727.75
2021-01-11,723.75
2021-01-12,754.0
2021-01-13,749.5
2021-01-14,759.0
2021-01-15,764.5
2021-01-19,761.25
2021-01-20,756.75
2021-01-21,749.75
2021-01-22,723.5
2021-01-25,737.5
2021-01-26,754.25
2021-01-27,747.25
2021-01-28,736.0
2021-01-29,752.0
2021-02-01,740.0
2021-02-02,733.75
2021-02-03,737.25
2021-02-04,726.5
2021-02-05,730.25
2021-02-08,744.75
2021-02-09,738.5
2021-02-10,724.5
2021-02-11,722.5
2021-02-12,725.75
2021-02-16,746.5
2021-02-17,733.0
2021-02-18,751.5
2021-02-19,739.75
2021-02-22,753.0
2021-02-23,754.75
2021-02-24,769.25
2021-02-25,760.75
2021-02-26,744.0
2021-03-01,732.75
2021-03-02,748.75
2021-03-03,738.5
2021-03-04,733.5
2021-03-05,735.5
2021-03-08,729.0
2021-03-09,739.0
2021-03-10,735.0
2021-03-11,725.0
2021-03-12,721.0
2021-03-15,727.5
2021-03-16,729.5
2021-03-17,722.5
2021-03-18,713.0
2021-03-19,709.5
2021-03-22,709.75
2021-03-23,717.25
2021-03-24,707.25
2021-03-25,695.0
2021-03-26,695.75
2021-03-29,699.25
2021-03-30,684.25
2021-03-31,700.5
2021-04-01,693.5
2021-04-05,700.5
2021-04-06,698.0
2021-04-07,698.75
2021-04-08,711.25
2021-04-09,721.25
2021-04-12,710.5
2021-04-13,712.25
2021-04-14,730.5
2021-04-15,736.25
2021-04-16,735.0
2021-04-19,734.75
2021-04-20,742.25
2021-04-21,755.75
2021-04-22,792.75
2021-04-23,792.75
2021-04-26,822.0
2021-04-27,816.25
2021-04-28,807.75
2021-04-29,820.0
2021-04-30,825.0
2021-05-03,808.25
2021-05-04,817.0
2021-05-05,834.75
2021-05-06,843.5
2021-05-07,852.0
2021-05-10,820.75
2021-05-11,832.0
2021-05-12,820.0
2021-05-13,791.75
2021-05-14,797.5
2021-05-17,790.0
2021-05-18,788.25
2021-05-19,769.5
2021-05-20,765.5
2021-05-21,764.5
2021-05-24,752.5
2021-05-25,746.75
2021-05-26,738.75
2021-05-27,766.5
2021-05-28,753.75
2021-06-01,783.75
2021-06-02,777.75
2021-06-03,766.5
2021-06-04,778.0
2021-06-07,770.25
