tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
11/03/2024,133.75,20241200,GGZ24,0,0,0,0
12/03/2024,133.4,20241200,GGZ24,0,0,0,0
13/03/2024,133.2,20241200,GGZ24,0,0,0,0
14/03/2024,132.56,20241200,GGZ24,0,0,0,0
15/03/2024,132.38,20241200,GGZ24,0,0,0,0
18/03/2024,132.2,20241200,GGZ24,0,0,0,0
19/03/2024,132.39,20241200,GGZ24,0,0,0,0
20/03/2024,132.37,20241200,GGZ24,0,0,0,0
21/03/2024,132.69,20241200,GGZ24,0,0,0,0
22/03/2024,133.5,20241200,GGZ24,0,0,0,0
25/03/2024,132.91,20241200,GGZ24,0,0,0,0
26/03/2024,132.99,20241200,GGZ24,0,0,0,0
27/03/2024,133.71,20241200,GGZ24,0,0,0,0
28/03/2024,133.71,20241200,GGZ24,0,0,0,0
02/04/2024,132.63,20241200,GGZ24,0,0,0,0
03/04/2024,132.51,20241200,GGZ24,0,0,0,0
04/04/2024,133.04,20241200,GGZ24,0,0,0,0
05/04/2024,132.6,20241200,GGZ24,0,0,0,0
08/04/2024,132.17,20241200,GGZ24,0,0,0,0
09/04/2024,132.84,20241200,GGZ24,0,0,0,0
10/04/2024,132.09,20241200,GGZ24,0,0,0,0
11/04/2024,131.87,20241200,GGZ24,0,0,0,0
12/04/2024,133.03,20241200,GGZ24,0,0,0,0
15/04/2024,132.05,20241200,GGZ24,0,0,0,0
16/04/2024,131.87,20241200,GGZ24,0,0,0,0
17/04/2024,131.6,20241200,GGZ24,0,0,0,0
18/04/2024,131.44,20241200,GGZ24,0,0,0,0
19/04/2024,131.39,20241200,GGZ24,0,0,0,0
22/04/2024,131.54,20241200,GGZ24,0,0,0,0
23/04/2024,131.54,20241200,GGZ24,0,0,0,0
24/04/2024,130.43,20241200,GGZ24,0,0,0,0
25/04/2024,129.95,20241200,GGZ24,0,0,0,0
26/04/2024,130.67,20241200,GGZ24,0,0,0,0
29/04/2024,130.67,20241200,GGZ24,0,0,0,0
30/04/2024,130.46,20241200,GGZ24,0,0,0,0
02/05/2024,130.75,20241200,GGZ24,0,0,0,0
03/05/2024,131.11,20241200,GGZ24,0,0,0,0
06/05/2024,131.64,20241200,GGZ24,0,0,0,0
07/05/2024,132.12,20241200,GGZ24,0,0,0,0
08/05/2024,131.77,20241200,GGZ24,0,0,0,0
09/05/2024,131.36,20241200,GGZ24,0,0,0,0
10/05/2024,131.13,20241200,GGZ24,0,0,0,0
13/05/2024,131.38,20241200,GGZ24,0,0,0,0
14/05/2024,130.95,20241200,GGZ24,0,0,0,0
15/05/2024,131.98,20241200,GGZ24,0,0,0,0
16/05/2024,131.97,20241200,GGZ24,0,0,0,0
17/05/2024,131.31,20241200,GGZ24,0,0,0,0
20/05/2024,130.94,20241200,GGZ24,0,0,0,0
21/05/2024,131.14,20241200,GGZ24,0,0,0,0
22/05/2024,131.03,20241200,GGZ24,0,0,0,0
23/05/2024,130.16,20241200,GGZ24,9,0,0,0
24/05/2024,130.63,20241200,GGZ24,8,0,0,0
27/05/2024,130.77,20241200,GGZ24,1,0,0,0
28/05/2024,130.1,20241200,GGZ24,10,0,0,0
29/05/2024,129.46,20241200,GGZ24,21,0,0,0
30/05/2024,129.35,20241200,GGZ24,120,0,0,0
31/05/2024,129.62,20241200,GGZ24,0,0,0,0
03/06/2024,130.25,20241200,GGZ24,5,0,0,0
04/06/2024,130.79,20241200,GGZ24,11,0,0,0
05/06/2024,131.08,20241200,GGZ24,3,0,0,0
06/06/2024,130.54,20241200,GGZ24,44,0,0,0
07/06/2024,129.78,20241200,GGZ24,26,0,0,0
10/06/2024,129.18,20241200,GGZ24,5,0,0,0
11/06/2024,129.7,20241200,GGZ24,7,0,0,0
12/06/2024,130.64,20241200,GGZ24,1,0,0,0
13/06/2024,130.88,20241200,GGZ24,15,0,0,0
14/06/2024,132.6,20241200,GGZ24,35,0,0,0
17/06/2024,131.97,20241200,GGZ24,15,0,0,0
18/06/2024,132.15,20241200,GGZ24,6,0,0,0
19/06/2024,132.1,20241200,GGZ24,3,0,0,0
20/06/2024,131.78,20241200,GGZ24,14,0,0,0
21/06/2024,132.08,20241200,GGZ24,10,0,0,0
24/06/2024,131.93,20241200,GGZ24,4,0,0,0
25/06/2024,132.09,20241200,GGZ24,1336,0,0,0
26/06/2024,131.58,20241200,GGZ24,13,0,0,0
27/06/2024,131.6,20241200,GGZ24,3,0,0,0
28/06/2024,131.18,20241200,GGZ24,7,0,0,0
01/07/2024,129.97,20241200,GGZ24,69,0,0,0
02/07/2024,129.94,20241200,GGZ24,14,0,0,0
03/07/2024,130.51,20241200,GGZ24,15,0,0,0
04/07/2024,130.13,20241200,GGZ24,6,0,0,0
05/07/2024,130.65,20241200,GGZ24,44,0,0,0
08/07/2024,130.83,20241200,GGZ24,2,0,0,0
09/07/2024,130.42,20241200,GGZ24,73,0,0,0
10/07/2024,130.85,20241200,GGZ24,43,0,0,0
11/07/2024,131.61,20241200,GGZ24,63,0,0,0
12/07/2024,131.28,20241200,GGZ24,34,0,0,0
15/07/2024,131.51,20241200,GGZ24,12,0,0,0
16/07/2024,131.93,20241200,GGZ24,479,0,0,0
17/07/2024,132.03,20241200,GGZ24,23,0,0,0
18/07/2024,132.17,20241200,GGZ24,66,0,0,0
19/07/2024,131.64,20241200,GGZ24,22,0,0,0
22/07/2024,131.47,20241200,GGZ24,20,0,0,0
23/07/2024,131.84,20241200,GGZ24,258,0,0,0
24/07/2024,131.89,20241200,GGZ24,129,0,0,0
25/07/2024,132.16,20241200,GGZ24,3164,0,0,0
26/07/2024,132.24,20241200,GGZ24,26,0,0,0
29/07/2024,132.68,20241200,GGZ24,132,0,0,0
30/07/2024,132.88,20241200,GGZ24,145,0,0,0
31/07/2024,133.23,20241200,GGZ24,75,0,0,0
01/08/2024,133.96,20241200,GGZ24,217,0,0,0
02/08/2024,134.71,20241200,GGZ24,4727,0,0,0
05/08/2024,134.68,20241200,GGZ24,5412,0,0,0
06/08/2024,134.53,20241200,GGZ24,731,0,0,0
07/08/2024,133.62,20241200,GGZ24,1527,0,0,0
08/08/2024,133.62,20241200,GGZ24,394,0,0,0
09/08/2024,134.09,20241200,GGZ24,620,0,0,0
12/08/2024,133.91,20241200,GGZ24,538,0,0,0
13/08/2024,134.56,20241200,GGZ24,5232,0,0,0
14/08/2024,134.6,20241200,GGZ24,910,0,0,0
15/08/2024,133.64,20241200,GGZ24,379,0,0,0
16/08/2024,133.76,20241200,GGZ24,4389,0,0,0
19/08/2024,133.65,20241200,GGZ24,610,0,0,0
