tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
14/03/2019,2.928,20210700,HGN21,0,0,0,0
15/03/2019,2.9485,20210700,HGN21,0,0,0,0
18/03/2019,2.9525,20210700,HGN21,0,0,0,0
19/03/2019,2.9665,20210700,HGN21,0,0,0,0
20/03/2019,2.9695,20210700,HGN21,0,0,0,0
21/03/2019,2.9555,20210700,HGN21,0,0,0,0
22/03/2019,2.897,20210700,HGN21,0,0,0,0
25/03/2019,2.911,20210700,HGN21,0,0,0,0
26/03/2019,2.901,20210700,HGN21,0,0,0,0
27/03/2019,2.907,20210700,HGN21,0,0,0,0
28/03/2019,2.9165,20210700,HGN21,0,0,0,0
29/03/2019,2.975,20210700,HGN21,0,0,0,0
01/04/2019,2.966,20210700,HGN21,0,0,0,0
02/04/2019,2.953,20210700,HGN21,0,0,0,0
03/04/2019,2.9915,20210700,HGN21,0,0,0,0
04/04/2019,2.9565,20210700,HGN21,0,0,0,0
05/04/2019,2.9455,20210700,HGN21,0,0,0,0
08/04/2019,2.9875,20210700,HGN21,0,0,0,0
09/04/2019,2.994,20210700,HGN21,0,0,0,0
10/04/2019,2.992,20210700,HGN21,0,0,0,0
11/04/2019,2.955,20210700,HGN21,2,0,0,0
12/04/2019,3.005,20210700,HGN21,2,0,0,0
15/04/2019,3.001,20210700,HGN21,0,0,0,0
16/04/2019,2.997,20210700,HGN21,0,0,0,0
17/04/2019,3.026,20210700,HGN21,0,0,0,0
18/04/2019,2.982,20210700,HGN21,0,0,0,0
22/04/2019,2.9655,20210700,HGN21,0,0,0,0
23/04/2019,2.96,20210700,HGN21,0,0,0,0
24/04/2019,2.973,20210700,HGN21,0,0,0,0
25/04/2019,2.9285,20210700,HGN21,0,0,0,0
26/04/2019,2.957,20210700,HGN21,0,0,0,0
29/04/2019,2.9645,20210700,HGN21,0,0,0,0
30/04/2019,2.972,20210700,HGN21,0,0,0,0
01/05/2019,2.8755,20210700,HGN21,0,0,0,0
02/05/2019,2.847,20210700,HGN21,0,0,0,0
03/05/2019,2.882,20210700,HGN21,0,0,0,0
06/05/2019,2.8995,20210700,HGN21,0,0,0,0
07/05/2019,2.8575,20210700,HGN21,0,0,0,0
08/05/2019,2.839,20210700,HGN21,0,0,0,0
09/05/2019,2.8315,20210700,HGN21,0,0,0,0
10/05/2019,2.835,20210700,HGN21,0,0,0,0
13/05/2019,2.7815,20210700,HGN21,0,0,0,0
14/05/2019,2.788,20210700,HGN21,0,0,0,0
15/05/2019,2.796,20210700,HGN21,0,0,0,0
16/05/2019,2.806,20210700,HGN21,0,0,0,0
17/05/2019,2.7975,20210700,HGN21,3,0,0,0
20/05/2019,2.783,20210700,HGN21,0,0,0,0
21/05/2019,2.779,20210700,HGN21,0,0,0,0
22/05/2019,2.75,20210700,HGN21,0,0,0,0
23/05/2019,2.748,20210700,HGN21,0,0,0,0
24/05/2019,2.7645,20210700,HGN21,0,0,0,0
28/05/2019,2.7585,20210700,HGN21,0,0,0,0
29/05/2019,2.7335,20210700,HGN21,0,0,0,0
30/05/2019,2.7205,20210700,HGN21,0,0,0,0
31/05/2019,2.695,20210700,HGN21,0,0,0,0
03/06/2019,2.709,20210700,HGN21,0,0,0,0
04/06/2019,2.728,20210700,HGN21,0,0,0,0
05/06/2019,2.683,20210700,HGN21,0,0,0,0
06/06/2019,2.7085,20210700,HGN21,0,0,0,0
07/06/2019,2.683,20210700,HGN21,0,0,0,0
10/06/2019,2.716,20210700,HGN21,0,0,0,0
11/06/2019,2.7295,20210700,HGN21,0,0,0,0
12/06/2019,2.7125,20210700,HGN21,0,0,0,0
13/06/2019,2.7125,20210700,HGN21,0,0,0,0
14/06/2019,2.682,20210700,HGN21,0,0,0,0
17/06/2019,2.6885,20210700,HGN21,0,0,0,0
18/06/2019,2.7395,20210700,HGN21,0,0,0,0
19/06/2019,2.7235,20210700,HGN21,0,0,0,0
20/06/2019,2.755,20210700,HGN21,0,0,0,0
21/06/2019,2.756,20210700,HGN21,0,0,0,0
24/06/2019,2.759,20210700,HGN21,0,0,0,0
25/06/2019,2.792,20210700,HGN21,0,0,0,0
26/06/2019,2.7775,20210700,HGN21,0,0,0,0
27/06/2019,2.778,20210700,HGN21,0,0,0,0
28/06/2019,2.7775,20210700,HGN21,0,0,0,0
01/07/2019,2.753,20210700,HGN21,0,0,0,0
02/07/2019,2.7335,20210700,HGN21,0,0,0,0
03/07/2019,2.7445,20210700,HGN21,0,0,0,0
05/07/2019,2.7285,20210700,HGN21,0,0,0,0
08/07/2019,2.7285,20210700,HGN21,0,0,0,0
09/07/2019,2.6935,20210700,HGN21,0,0,0,0
10/07/2019,2.7585,20210700,HGN21,0,0,0,0
11/07/2019,2.755,20210700,HGN21,0,0,0,0
12/07/2019,2.761,20210700,HGN21,0,0,0,0
15/07/2019,2.774,20210700,HGN21,0,0,0,0
16/07/2019,2.763,20210700,HGN21,0,0,0,0
17/07/2019,2.7775,20210700,HGN21,0,0,0,0
18/07/2019,2.7705,20210700,HGN21,0,0,0,0
19/07/2019,2.815,20210700,HGN21,0,0,0,0
22/07/2019,2.792,20210700,HGN21,0,0,0,0
23/07/2019,2.7655,20210700,HGN21,0,0,0,0
24/07/2019,2.78,20210700,HGN21,0,0,0,0
25/07/2019,2.7745,20210700,HGN21,0,0,0,0
26/07/2019,2.7555,20210700,HGN21,0,0,0,0
29/07/2019,2.784,20210700,HGN21,0,0,0,0
30/07/2019,2.748,20210700,HGN21,0,0,0,0
31/07/2019,2.7385,20210700,HGN21,0,0,0,0
01/08/2019,2.739,20210700,HGN21,0,0,0,0
02/08/2019,2.646,20210700,HGN21,0,0,0,0
05/08/2019,2.6195,20210700,HGN21,0,0,0,0
06/08/2019,2.631,20210700,HGN21,0,0,0,0
07/08/2019,2.6445,20210700,HGN21,0,0,0,0
08/08/2019,2.677,20210700,HGN21,0,0,0,0
09/08/2019,2.659,20210700,HGN21,0,0,0,0
12/08/2019,2.6555,20210700,HGN21,0,0,0,0
13/08/2019,2.699,20210700,HGN21,0,0,0,0
14/08/2019,2.661,20210700,HGN21,0,0,0,0
15/08/2019,2.6655,20210700,HGN21,0,0,0,0
16/08/2019,2.664,20210700,HGN21,0,0,0,0
19/08/2019,2.67,20210700,HGN21,0,0,0,0
20/08/2019,2.6465,20210700,HGN21,0,0,0,0
21/08/2019,2.6535,20210700,HGN21,0,0,0,0
22/08/2019,2.6305,20210700,HGN21,0,0,0,0
23/08/2019,2.6005,20210700,HGN21,0,0,0,0
26/08/2019,2.6125,20210700,HGN21,0,0,0,0
27/08/2019,2.614,20210700,HGN21,0,0,0,0
28/08/2019,2.6245,20210700,HGN21,0,0,0,0
29/08/2019,2.636,20210700,HGN21,0,0,0,0
30/08/2019,2.612,20210700,HGN21,0,0,0,0
03/09/2019,2.5885,20210700,HGN21,0,0,0,0
04/09/2019,2.6535,20210700,HGN21,0,0,0,0
05/09/2019,2.7025,20210700,HGN21,0,0,0,0
06/09/2019,2.694,20210700,HGN21,0,0,0,0
09/09/2019,2.685,20210700,HGN21,0,0,0,0
10/09/2019,2.686,20210700,HGN21,0,0,0,0
11/09/2019,2.6765,20210700,HGN21,0,0,0,0
12/09/2019,2.7005,20210700,HGN21,0,0,0,0
13/09/2019,2.758,20210700,HGN21,0,0,0,0
16/09/2019,2.7085,20210700,HGN21,0,0,0,0
17/09/2019,2.692,20210700,HGN21,0,0,0,0
18/09/2019,2.676,20210700,HGN21,0,0,0,0
19/09/2019,2.672,20210700,HGN21,0,0,0,0
20/09/2019,2.668,20210700,HGN21,0,0,0,0
23/09/2019,2.672,20210700,HGN21,0,0,0,0
24/09/2019,2.6655,20210700,HGN21,0,0,0,0
25/09/2019,2.671,20210700,HGN21,0,0,0,0
26/09/2019,2.6395,20210700,HGN21,0,0,0,0
27/09/2019,2.6595,20210700,HGN21,0,0,0,0
30/09/2019,2.641,20210700,HGN21,0,0,0,0
01/10/2019,2.6225,20210700,HGN21,0,0,0,0
02/10/2019,2.628,20210700,HGN21,0,0,0,0
03/10/2019,2.612,20210700,HGN21,0,0,0,0
04/10/2019,2.6195,20210700,HGN21,0,0,0,0
