tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
26/07/2018,77.23,20201200,CTZ20,0,0,0,0
27/07/2018,77.16,20201200,CTZ20,0,0,0,0
30/07/2018,77.46,20201200,CTZ20,0,0,0,0
31/07/2018,77.87,20201200,CTZ20,0,0,0,0
01/08/2018,77.55,20201200,CTZ20,0,0,0,0
02/08/2018,78.11,20201200,CTZ20,0,0,0,0
03/08/2018,78.04,20201200,CTZ20,0,0,0,0
06/08/2018,77.96,20201200,CTZ20,0,0,0,0
07/08/2018,77.66,20201200,CTZ20,0,0,0,0
08/08/2018,77.31,20201200,CTZ20,0,0,0,0
09/08/2018,77.45,20201200,CTZ20,0,0,0,0
10/08/2018,76.62,20201200,CTZ20,0,0,0,0
13/08/2018,75.2,20201200,CTZ20,0,0,0,0
14/08/2018,75.09,20201200,CTZ20,0,0,0,0
15/08/2018,74.76,20201200,CTZ20,0,0,0,0
16/08/2018,75.48,20201200,CTZ20,0,0,0,0
17/08/2018,75.49,20201200,CTZ20,1,0,0,0
20/08/2018,76.08,20201200,CTZ20,0,0,0,0
21/08/2018,76.26,20201200,CTZ20,11,0,0,0
22/08/2018,75.98,20201200,CTZ20,13,0,0,0
23/08/2018,76.03,20201200,CTZ20,0,0,0,0
24/08/2018,75.16,20201200,CTZ20,290,0,0,0
27/08/2018,75.16,20201200,CTZ20,44,0,0,0
28/08/2018,75.24,20201200,CTZ20,0,0,0,0
29/08/2018,74.6,20201200,CTZ20,44,0,0,0
30/08/2018,74.92,20201200,CTZ20,0,0,0,0
31/08/2018,75.05,20201200,CTZ20,0,0,0,0
04/09/2018,75.0,20201200,CTZ20,0,0,0,0
05/09/2018,74.69,20201200,CTZ20,0,0,0,0
06/09/2018,74.56,20201200,CTZ20,8,0,0,0
07/09/2018,74.83,20201200,CTZ20,0,0,0,0
10/09/2018,75.89,20201200,CTZ20,0,0,0,0
11/09/2018,75.21,20201200,CTZ20,0,0,0,0
12/09/2018,75.04,20201200,CTZ20,0,0,0,0
13/09/2018,76.22,20201200,CTZ20,1,0,0,0
14/09/2018,74.94,20201200,CTZ20,13,0,0,0
17/09/2018,74.55,20201200,CTZ20,0,0,0,0
18/09/2018,74.01,20201200,CTZ20,21,0,0,0
19/09/2018,74.51,20201200,CTZ20,0,0,0,0
20/09/2018,73.81,20201200,CTZ20,0,0,0,0
21/09/2018,74.23,20201200,CTZ20,0,0,0,0
24/09/2018,73.94,20201200,CTZ20,0,0,0,0
25/09/2018,74.25,20201200,CTZ20,0,0,0,0
26/09/2018,73.88,20201200,CTZ20,0,0,0,0
27/09/2018,74.13,20201200,CTZ20,0,0,0,0
28/09/2018,74.01,20201200,CTZ20,0,0,0,0
01/10/2018,74.45,20201200,CTZ20,1,0,0,0
02/10/2018,74.17,20201200,CTZ20,0,0,0,0
03/10/2018,74.01,20201200,CTZ20,0,0,0,0
04/10/2018,73.85,20201200,CTZ20,17,0,0,0
05/10/2018,73.85,20201200,CTZ20,1,0,0,0
08/10/2018,74.22,20201200,CTZ20,11,0,0,0
09/10/2018,74.02,20201200,CTZ20,0,0,0,0
10/10/2018,74.09,20201200,CTZ20,0,0,0,0
11/10/2018,74.23,20201200,CTZ20,0,0,0,0
