tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
05/03/2018,10.47,20200600,CKM20,0,0,0,0
06/03/2018,10.58,20200600,CKM20,0,0,0,0
07/03/2018,10.75,20200600,CKM20,0,0,0,0
08/03/2018,11.23,20200600,CKM20,0,0,0,0
09/03/2018,11.23,20200600,CKM20,0,0,0,0
12/03/2018,11.2,20200600,CKM20,0,0,0,0
13/03/2018,11.52,20200600,CKM20,0,0,0,0
14/03/2018,11.29,20200600,CKM20,0,0,0,0
15/03/2018,11.3,20200600,CKM20,0,0,0,0
16/03/2018,11.29,20200600,CKM20,0,0,0,0
19/03/2018,11.18,20200600,CKM20,0,0,0,0
20/03/2018,11.66,20200600,CKM20,0,0,0,0
21/03/2018,12.78,20200600,CKM20,0,0,0,0
22/03/2018,12.47,20200600,CKM20,0,0,0,0
23/03/2018,12.74,20200600,CKM20,0,0,0,0
26/03/2018,13.12,20200600,CKM20,0,0,0,0
27/03/2018,13.82,20200600,CKM20,0,0,0,0
28/03/2018,13.13,20200600,CKM20,0,0,0,0
29/03/2018,13.42,20200600,CKM20,0,0,0,0
02/04/2018,13.42,20200600,CKM20,0,0,0,0
03/04/2018,13.43,20200600,CKM20,0,0,0,0
04/04/2018,13.2,20200600,CKM20,0,0,0,0
05/04/2018,12.78,20200600,CKM20,0,0,0,0
06/04/2018,13.13,20200600,CKM20,0,0,0,0
09/04/2018,13.48,20200600,CKM20,0,0,0,0
10/04/2018,13.53,20200600,CKM20,0,0,0,0
11/04/2018,13.61,20200600,CKM20,0,0,0,0
12/04/2018,13.8,20200600,CKM20,0,0,0,0
13/04/2018,14.18,20200600,CKM20,0,0,0,0
16/04/2018,14.25,20200600,CKM20,0,0,0,0
17/04/2018,13.99,20200600,CKM20,0,0,0,0
18/04/2018,14.14,20200600,CKM20,0,0,0,0
19/04/2018,13.72,20200600,CKM20,0,0,0,0
20/04/2018,13.3,20200600,CKM20,0,0,0,0
23/04/2018,13.14,20200600,CKM20,0,0,0,0
24/04/2018,13.49,20200600,CKM20,0,0,0,0
25/04/2018,13.52,20200600,CKM20,0,0,0,0
26/04/2018,13.76,20200600,CKM20,0,0,0,0
27/04/2018,13.83,20200600,CKM20,0,0,0,0
30/04/2018,13.85,20200600,CKM20,0,0,0,0
01/05/2018,13.65,20200600,CKM20,0,0,0,0
02/05/2018,13.32,20200600,CKM20,0,0,0,0
03/05/2018,13.22,20200600,CKM20,0,0,0,0
04/05/2018,13.28,20200600,CKM20,0,0,0,0
07/05/2018,13.88,20200600,CKM20,0,0,0,0
08/05/2018,13.86,20200600,CKM20,0,0,0,0
09/05/2018,14.28,20200600,CKM20,0,0,0,0
10/05/2018,14.89,20200600,CKM20,0,0,0,0
11/05/2018,14.91,20200600,CKM20,0,0,0,0
14/05/2018,14.92,20200600,CKM20,0,0,0,0
15/05/2018,14.6,20200600,CKM20,0,0,0,0
16/05/2018,15.47,20200600,CKM20,0,0,0,0
17/05/2018,15.61,20200600,CKM20,0,0,0,0
18/05/2018,15.57,20200600,CKM20,0,0,0,0
21/05/2018,15.87,20200600,CKM20,0,0,0,0
22/05/2018,16.27,20200600,CKM20,0,0,0,0
23/05/2018,16.34,20200600,CKM20,0,0,0,0
24/05/2018,16.63,20200600,CKM20,0,0,0,0
25/05/2018,16.34,20200600,CKM20,0,0,0,0
28/05/2018,16.65,20200600,CKM20,0,0,0,0
29/05/2018,16.63,20200600,CKM20,0,0,0,0
30/05/2018,16.17,20200600,CKM20,0,0,0,0
31/05/2018,15.24,20200600,CKM20,0,0,0,0
01/06/2018,15.63,20200600,CKM20,0,0,0,0
04/06/2018,16.48,20200600,CKM20,0,0,0,0
05/06/2018,16.11,20200600,CKM20,0,0,0,0
06/06/2018,16.29,20200600,CKM20,0,0,0,0
07/06/2018,16.35,20200600,CKM20,0,0,0,0
08/06/2018,16.18,20200600,CKM20,0,0,0,0
11/06/2018,15.87,20200600,CKM20,0,0,0,0
12/06/2018,15.54,20200600,CKM20,0,0,0,0
13/06/2018,15.71,20200600,CKM20,0,0,0,0
14/06/2018,15.31,20200600,CKM20,0,0,0,0
15/06/2018,14.94,20200600,CKM20,0,0,0,0
18/06/2018,15.01,20200600,CKM20,0,0,0,0
19/06/2018,14.64,20200600,CKM20,0,0,0,0
20/06/2018,14.88,20200600,CKM20,0,0,0,0
21/06/2018,15.21,20200600,CKM20,0,0,0,0
22/06/2018,15.5,20200600,CKM20,0,0,0,0
25/06/2018,15.42,20200600,CKM20,0,0,0,0
26/06/2018,15.42,20200600,CKM20,0,0,0,0
27/06/2018,15.64,20200600,CKM20,0,0,0,0
28/06/2018,15.39,20200600,CKM20,0,0,0,0
29/06/2018,15.37,20200600,CKM20,0,0,0,0
02/07/2018,15.46,20200600,CKM20,0,0,0,0
03/07/2018,15.49,20200600,CKM20,0,0,0,0
04/07/2018,15.91,20200600,CKM20,0,0,0,0
05/07/2018,16.09,20200600,CKM20,0,0,0,0
06/07/2018,16.12,20200600,CKM20,0,0,0,0
09/07/2018,16.41,20200600,CKM20,0,0,0,0
10/07/2018,16.47,20200600,CKM20,0,0,0,0
11/07/2018,16.74,20200600,CKM20,0,0,0,0
12/07/2018,16.51,20200600,CKM20,0,0,0,0
13/07/2018,16.48,20200600,CKM20,0,0,0,0
16/07/2018,16.36,20200600,CKM20,0,0,0,0
17/07/2018,16.5,20200600,CKM20,0,0,0,0
18/07/2018,16.83,20200600,CKM20,0,0,0,0
19/07/2018,17.29,20200600,CKM20,0,0,0,0
20/07/2018,17.52,20200600,CKM20,0,0,0,0
23/07/2018,17.85,20200600,CKM20,0,0,0,0
24/07/2018,17.6,20200600,CKM20,0,0,0,0
25/07/2018,17.86,20200600,CKM20,0,0,0,0
26/07/2018,17.81,20200600,CKM20,0,0,0,0
27/07/2018,17.65,20200600,CKM20,0,0,0,0
30/07/2018,17.56,20200600,CKM20,0,0,0,0
31/07/2018,17.93,20200600,CKM20,0,0,0,0
01/08/2018,18.31,20200600,CKM20,0,0,0,0
02/08/2018,18.15,20200600,CKM20,0,0,0,0
03/08/2018,18.2,20200600,CKM20,0,0,0,0
06/08/2018,18.08,20200600,CKM20,0,0,0,0
07/08/2018,18.02,20200600,CKM20,0,0,0,0
08/08/2018,17.88,20200600,CKM20,0,0,0,0
09/08/2018,18.08,20200600,CKM20,0,0,0,0
10/08/2018,18.36,20200600,CKM20,0,0,0,0
