tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
20/09/2018,3267.0,20200300,FXH20,0,0,0,0
21/09/2018,3293.0,20200300,FXH20,0,0,0,0
24/09/2018,3272.0,20200300,FXH20,0,0,0,0
25/09/2018,3274.0,20200300,FXH20,0,0,0,0
26/09/2018,3291.0,20200300,FXH20,0,0,0,0
27/09/2018,3306.0,20200300,FXH20,0,0,0,0
28/09/2018,3257.0,20200300,FXH20,0,0,0,0
01/10/2018,3271.0,20200300,FXH20,0,0,0,0
02/10/2018,3245.0,20200300,FXH20,0,0,0,0
03/10/2018,3272.0,20200300,FXH20,0,0,0,0
04/10/2018,3235.0,20200300,FXH20,0,0,0,0
05/10/2018,3203.0,20200300,FXH20,0,0,0,0
08/10/2018,3168.0,20200300,FXH20,0,0,0,0
09/10/2018,3185.0,20200300,FXH20,0,0,0,0
10/10/2018,3133.0,20200300,FXH20,0,0,0,0
11/10/2018,3082.0,20200300,FXH20,0,0,0,0
12/10/2018,3063.0,20200300,FXH20,0,0,0,0
15/10/2018,3082.0,20200300,FXH20,0,0,0,0
16/10/2018,3128.0,20200300,FXH20,0,0,0,0
17/10/2018,3114.0,20200300,FXH20,0,0,0,0
18/10/2018,3084.0,20200300,FXH20,0,0,0,0
19/10/2018,3083.0,20200300,FXH20,0,0,0,0
22/10/2018,3063.0,20200300,FXH20,0,0,0,0
23/10/2018,3020.0,20200300,FXH20,0,0,0,0
24/10/2018,3004.0,20200300,FXH20,0,0,0,0
25/10/2018,3039.0,20200300,FXH20,0,0,0,0
26/10/2018,2992.0,20200300,FXH20,0,0,0,0
29/10/2018,3030.0,20200300,FXH20,0,0,0,0
30/10/2018,3023.0,20200300,FXH20,0,0,0,0
31/10/2018,3075.0,20200300,FXH20,0,0,0,0
01/11/2018,3069.0,20200300,FXH20,0,0,0,0
02/11/2018,3091.0,20200300,FXH20,0,0,0,0
05/11/2018,3090.0,20200300,FXH20,0,0,0,0
06/11/2018,3084.0,20200300,FXH20,0,0,0,0
07/11/2018,3116.0,20200300,FXH20,0,0,0,0
08/11/2018,3106.0,20200300,FXH20,0,0,0,0
09/11/2018,3102.0,20200300,FXH20,0,0,0,0
12/11/2018,3066.0,20200300,FXH20,0,0,0,0
13/11/2018,3100.0,20200300,FXH20,0,0,0,0
14/11/2018,3079.0,20200300,FXH20,0,0,0,0
15/11/2018,3064.0,20200300,FXH20,0,0,0,0
16/11/2018,3058.0,20200300,FXH20,0,0,0,0
19/11/2018,3033.0,20200300,FXH20,0,0,0,0
20/11/2018,2979.0,20200300,FXH20,0,0,0,0
21/11/2018,3019.0,20200300,FXH20,0,0,0,0
22/11/2018,2987.0,20200300,FXH20,0,0,0,0
23/11/2018,2999.0,20200300,FXH20,0,0,0,0
26/11/2018,3038.0,20200300,FXH20,0,0,0,0
27/11/2018,3031.0,20200300,FXH20,0,0,0,0
28/11/2018,3033.0,20200300,FXH20,0,0,0,0
29/11/2018,3043.0,20200300,FXH20,0,0,0,0
30/11/2018,3032.0,20200300,FXH20,0,0,0,0
03/12/2018,3080.0,20200300,FXH20,0,0,0,0
04/12/2018,3053.0,20200300,FXH20,0,0,0,0
05/12/2018,3014.0,20200300,FXH20,0,0,0,0
06/12/2018,2899.0,20200300,FXH20,0,0,0,0
07/12/2018,2930.0,20200300,FXH20,0,0,0,0
10/12/2018,2876.0,20200300,FXH20,0,0,0,0
11/12/2018,2930.0,20200300,FXH20,0,0,0,0
12/12/2018,2978.0,20200300,FXH20,0,0,0,0
13/12/2018,2973.0,20200300,FXH20,0,0,0,0
14/12/2018,2951.0,20200300,FXH20,0,0,0,0
17/12/2018,2929.0,20200300,FXH20,0,0,0,0
18/12/2018,2913.0,20200300,FXH20,0,0,0,0
19/12/2018,2923.0,20200300,FXH20,0,0,0,0
20/12/2018,2869.0,20200300,FXH20,0,0,0,0
21/12/2018,2862.0,20200300,FXH20,0,0,0,0
27/12/2018,2804.0,20200300,FXH20,0,0,0,0
28/12/2018,2854.0,20200300,FXH20,0,0,0,0
02/01/2019,2858.0,20200300,FXH20,0,0,0,0
03/01/2019,2827.0,20200300,FXH20,0,0,0,0
04/01/2019,2907.0,20200300,FXH20,0,0,0,0
07/01/2019,2897.0,20200300,FXH20,0,0,0,0
08/01/2019,2928.0,20200300,FXH20,0,0,0,0
09/01/2019,2942.0,20200300,FXH20,0,0,0,0
10/01/2019,2937.0,20200300,FXH20,0,0,0,0
11/01/2019,2934.0,20200300,FXH20,0,0,0,0
14/01/2019,2920.0,20200300,FXH20,0,0,0,0
15/01/2019,2935.0,20200300,FXH20,0,0,0,0
16/01/2019,2942.0,20200300,FXH20,0,0,0,0
17/01/2019,2936.0,20200300,FXH20,0,0,0,0
18/01/2019,3005.0,20200300,FXH20,0,0,0,0
21/01/2019,2990.0,20200300,FXH20,0,0,0,0
22/01/2019,2978.0,20200300,FXH20,0,0,0,0
23/01/2019,2981.0,20200300,FXH20,0,0,0,0
24/01/2019,2996.0,20200300,FXH20,0,0,0,0
25/01/2019,3033.0,20200300,FXH20,0,0,0,0
28/01/2019,3006.0,20200300,FXH20,0,0,0,0
29/01/2019,3023.0,20200300,FXH20,0,0,0,0
30/01/2019,3026.0,20200300,FXH20,0,0,0,0
31/01/2019,3031.0,20200300,FXH20,0,0,0,0
01/02/2019,3046.0,20200300,FXH20,0,0,0,0
04/02/2019,3031.0,20200300,FXH20,0,0,0,0
05/02/2019,3086.0,20200300,FXH20,0,0,0,0
06/02/2019,3084.0,20200300,FXH20,0,0,0,0
07/02/2019,3030.0,20200300,FXH20,0,0,0,0
08/02/2019,3011.0,20200300,FXH20,0,0,0,0
11/02/2019,3042.0,20200300,FXH20,0,0,0,0
12/02/2019,3070.0,20200300,FXH20,0,0,0,0
13/02/2019,3080.0,20200300,FXH20,0,0,0,0
14/02/2019,3061.0,20200300,FXH20,0,0,0,0
15/02/2019,3117.0,20200300,FXH20,0,0,0,0
18/02/2019,3120.0,20200300,FXH20,0,0,0,0
19/02/2019,3113.0,20200300,FXH20,0,0,0,0
20/02/2019,3135.0,20200300,FXH20,0,0,0,0
21/02/2019,3137.0,20200300,FXH20,0,0,0,0
22/02/2019,3146.0,20200300,FXH20,0,0,0,0
25/02/2019,3156.0,20200300,FXH20,0,0,0,0
26/02/2019,3168.0,20200300,FXH20,0,0,0,0
27/02/2019,3156.0,20200300,FXH20,0,0,0,0
28/02/2019,3175.0,20200300,FXH20,0,0,0,0
01/03/2019,3189.0,20200300,FXH20,0,0,0,0
04/03/2019,3192.0,20200300,FXH20,0,0,0,0
05/03/2019,3203.0,20200300,FXH20,0,0,0,0
06/03/2019,3202.0,20200300,FXH20,0,0,0,0
07/03/2019,3183.0,20200300,FXH20,0,0,0,0
08/03/2019,3165.0,20200300,FXH20,0,0,0,0
11/03/2019,3181.0,20200300,FXH20,0,0,0,0
12/03/2019,3184.0,20200300,FXH20,0,0,0,0
13/03/2019,3201.0,20200300,FXH20,0,0,0,0
14/03/2019,3223.0,20200300,FXH20,0,0,0,0
15/03/2019,3263.0,20200300,FXH20,0,0,0,0
18/03/2019,3264.0,20200300,FXH20,0,0,0,0
19/03/2019,3287.0,20200300,FXH20,0,0,0,0
20/03/2019,3253.0,20200300,FXH20,0,0,0,0
21/03/2019,3247.0,20200300,FXH20,0,0,0,0
22/03/2019,3180.0,20200300,FXH20,0,0,0,0
25/03/2019,3181.0,20200300,FXH20,0,0,0,0
26/03/2019,3199.0,20200300,FXH20,0,0,0,0
27/03/2019,3202.0,20200300,FXH20,0,0,0,0
28/03/2019,3201.0,20200300,FXH20,0,0,0,0
29/03/2019,3232.0,20200300,FXH20,0,0,0,0
01/04/2019,3271.0,20200300,FXH20,0,0,0,0
02/04/2019,3281.0,20200300,FXH20,0,0,0,0
03/04/2019,3318.0,20200300,FXH20,0,0,0,0
04/04/2019,3328.0,20200300,FXH20,0,0,0,0
05/04/2019,3333.0,20200300,FXH20,0,0,0,0
08/04/2019,3318.0,20200300,FXH20,0,0,0,0
09/04/2019,3309.0,20200300,FXH20,0,0,0,0
10/04/2019,3309.0,20200300,FXH20,0,0,0,0
11/04/2019,3325.0,20200300,FXH20,0,0,0,0
12/04/2019,3335.0,20200300,FXH20,0,0,0,0
15/04/2019,3338.0,20200300,FXH20,0,0,0,0
16/04/2019,3354.0,20200300,FXH20,0,0,0,0
17/04/2019,3367.0,20200300,FXH20,0,0,0,0
18/04/2019,3385.0,20200300,FXH20,0,0,0,0
23/04/2019,3396.0,20200300,FXH20,0,0,0,0
24/04/2019,3391.0,20200300,FXH20,0,0,0,0
25/04/2019,3385.0,20200300,FXH20,0,0,0,0
26/04/2019,3395.0,20200300,FXH20,0,0,0,0
29/04/2019,3400.0,20200300,FXH20,0,0,0,0
30/04/2019,3412.0,20200300,FXH20,0,0,0,0
02/05/2019,3397.0,20200300,FXH20,0,0,0,0
03/05/2019,3408.0,20200300,FXH20,0,0,0,0
06/05/2019,3379.0,20200300,FXH20,0,0,0,0
07/05/2019,3313.0,20200300,FXH20,0,0,0,0
08/05/2019,3334.0,20200300,FXH20,0,0,0,0
09/05/2019,3270.0,20200300,FXH20,0,0,0,0
10/05/2019,3292.0,20200300,FXH20,0,0,0,0
13/05/2019,3247.0,20200300,FXH20,0,0,0,0
14/05/2019,3285.0,20200300,FXH20,0,0,0,0
15/05/2019,3310.0,20200300,FXH20,0,0,0,0
16/05/2019,3366.0,20200300,FXH20,0,0,0,0
17/05/2019,3359.0,20200300,FXH20,0,0,0,0
20/05/2019,3304.0,20200300,FXH20,0,0,0,0
21/05/2019,3325.0,20200300,FXH20,0,0,0,0
22/05/2019,3327.0,20200300,FXH20,0,0,0,0
23/05/2019,3272.0,20200300,FXH20,0,0,0,0
24/05/2019,3292.0,20200300,FXH20,0,0,0,0
27/05/2019,3309.0,20200300,FXH20,0,0,0,0
28/05/2019,3297.0,20200300,FXH20,0,0,0,0
29/05/2019,3245.0,20200300,FXH20,0,0,0,0
30/05/2019,3270.0,20200300,FXH20,0,0,0,0
31/05/2019,3232.0,20200300,FXH20,0,0,0,0
03/06/2019,3249.0,20200300,FXH20,0,0,0,0
04/06/2019,3291.0,20200300,FXH20,0,0,0,0
05/06/2019,3293.0,20200300,FXH20,0,0,0,0
06/06/2019,3288.0,20200300,FXH20,0,0,0,0
07/06/2019,3329.0,20200300,FXH20,0,0,0,0
10/06/2019,3342.0,20200300,FXH20,0,0,0,0
11/06/2019,3358.0,20200300,FXH20,0,0,0,0
12/06/2019,3343.0,20200300,FXH20,0,0,0,0
13/06/2019,3346.0,20200300,FXH20,0,0,0,0
14/06/2019,3334.0,20200300,FXH20,400,0,0,0
17/06/2019,3345.0,20200300,FXH20,0,0,0,0
18/06/2019,3413.0,20200300,FXH20,0,0,0,0
19/06/2019,3411.0,20200300,FXH20,0,0,0,0
20/06/2019,3427.0,20200300,FXH20,0,0,0,0
21/06/2019,3416.0,20200300,FXH20,11,0,0,0
24/06/2019,3409.0,20200300,FXH20,502,0,0,0
25/06/2019,3404.0,20200300,FXH20,102,0,0,0
26/06/2019,3397.0,20200300,FXH20,1,0,0,0
27/06/2019,3399.0,20200300,FXH20,1,0,0,0
28/06/2019,3433.0,20200300,FXH20,1,0,0,0
01/07/2019,3453.0,20200300,FXH20,2,0,0,0
02/07/2019,3466.0,20200300,FXH20,0,0,0,0
03/07/2019,3495.0,20200300,FXH20,3,0,0,0
04/07/2019,3500.0,20200300,FXH20,1,0,0,0
05/07/2019,3485.0,20200300,FXH20,0,0,0,0
08/07/2019,3482.0,20200300,FXH20,1,0,0,0
09/07/2019,3469.0,20200300,FXH20,0,0,0,0
10/07/2019,3462.0,20200300,FXH20,1,0,0,0
11/07/2019,3458.0,20200300,FXH20,2,0,0,0
12/07/2019,3457.0,20200300,FXH20,1,0,0,0
15/07/2019,3467.0,20200300,FXH20,2,0,0,0
16/07/2019,3479.0,20200300,FXH20,12651,0,0,0
17/07/2019,3462.0,20200300,FXH20,5003,0,0,0
18/07/2019,3446.0,20200300,FXH20,102395,0,0,0
19/07/2019,3439.0,20200300,FXH20,4,0,0,0
22/07/2019,3450.0,20200300,FXH20,9,0,0,0
23/07/2019,3499.0,20200300,FXH20,3,0,0,0
24/07/2019,3496.0,20200300,FXH20,6,0,0,0
25/07/2019,3476.0,20200300,FXH20,2,0,0,0
26/07/2019,3489.0,20200300,FXH20,1,0,0,0
29/07/2019,3492.0,20200300,FXH20,2,0,0,0
30/07/2019,3427.0,20200300,FXH20,9,0,0,0
31/07/2019,3430.0,20200300,FXH20,1,0,0,0
01/08/2019,3449.0,20200300,FXH20,2,0,0,0
02/08/2019,3345.0,20200300,FXH20,4,0,0,0
05/08/2019,3278.0,20200300,FXH20,13,0,0,0
06/08/2019,3259.0,20200300,FXH20,1,0,0,0
07/08/2019,3268.0,20200300,FXH20,40,0,0,0
08/08/2019,3325.0,20200300,FXH20,3,0,0,0
09/08/2019,3291.0,20200300,FXH20,1,0,0,0
12/08/2019,3292.0,20200300,FXH20,7,0,0,0
13/08/2019,3326.0,20200300,FXH20,2,0,0,0
14/08/2019,3248.0,20200300,FXH20,5,0,0,0
15/08/2019,3248.0,20200300,FXH20,13,0,0,0
16/08/2019,3292.0,20200300,FXH20,5,0,0,0
19/08/2019,3334.0,20200300,FXH20,3,0,0,0
20/08/2019,3313.0,20200300,FXH20,3,0,0,0
21/08/2019,3356.0,20200300,FXH20,1,0,0,0
22/08/2019,3334.0,20200300,FXH20,6,0,0,0
23/08/2019,3307.0,20200300,FXH20,2,0,0,0
26/08/2019,3315.0,20200300,FXH20,0,0,0,0
27/08/2019,3328.0,20200300,FXH20,5,0,0,0
28/08/2019,3334.0,20200300,FXH20,0,0,0,0
29/08/2019,3378.0,20200300,FXH20,4,0,0,0
30/08/2019,3386.0,20200300,FXH20,5,0,0,0
02/09/2019,3397.0,20200300,FXH20,7,0,0,0
03/09/2019,3381.0,20200300,FXH20,46,0,0,0
04/09/2019,3416.0,20200300,FXH20,2339,0,0,0
05/09/2019,3449.0,20200300,FXH20,8007,0,0,0
06/09/2019,3458.0,20200300,FXH20,8,0,0,0
09/09/2019,3460.0,20200300,FXH20,4986,0,0,0
10/09/2019,3467.0,20200300,FXH20,2161,0,0,0
11/09/2019,3481.0,20200300,FXH20,20,0,0,0
12/09/2019,3508.0,20200300,FXH20,15623,0,0,0
13/09/2019,3522.0,20200300,FXH20,3136,0,0,0
16/09/2019,3495.0,20200300,FXH20,5232,0,0,0
17/09/2019,3490.0,20200300,FXH20,2446,0,0,0
18/09/2019,3501.0,20200300,FXH20,10652,0,0,0
19/09/2019,3520.0,20200300,FXH20,2846,0,0,0
20/09/2019,3539.0,20200300,FXH20,2923,0,0,0
23/09/2019,3509.0,20200300,FXH20,1079,0,0,0
