tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
28/03/2023,3.168,20231100,NGX23,4395,0,0,0
29/03/2023,3.222,20231100,NGX23,3326,0,0,0
30/03/2023,3.139,20231100,NGX23,6118,0,0,0
31/03/2023,3.238,20231100,NGX23,5335,0,0,0
03/04/2023,3.111,20231100,NGX23,8795,0,0,0
04/04/2023,3.121,20231100,NGX23,6262,0,0,0
05/04/2023,3.127,20231100,NGX23,7604,0,0,0
06/04/2023,3.012,20231100,NGX23,7604,0,0,0
10/04/2023,3.096,20231100,NGX23,6759,0,0,0
11/04/2023,3.077,20231100,NGX23,9576,0,0,0
12/04/2023,3.017,20231100,NGX23,8176,0,0,0
13/04/2023,2.952,20231100,NGX23,8241,0,0,0
14/04/2023,3.043,20231100,NGX23,7651,0,0,0
17/04/2023,3.167,20231100,NGX23,10640,0,0,0
18/04/2023,3.229,20231100,NGX23,7166,0,0,0
19/04/2023,3.135,20231100,NGX23,9901,0,0,0
20/04/2023,3.196,20231100,NGX23,8051,0,0,0
21/04/2023,3.168,20231100,NGX23,6559,0,0,0
24/04/2023,3.242,20231100,NGX23,6060,0,0,0
25/04/2023,3.216,20231100,NGX23,5957,0,0,0
26/04/2023,3.099,20231100,NGX23,10610,0,0,0
27/04/2023,3.139,20231100,NGX23,4904,0,0,0
28/04/2023,3.178,20231100,NGX23,10228,0,0,0
01/05/2023,3.106,20231100,NGX23,7591,0,0,0
02/05/2023,3.054,20231100,NGX23,14226,0,0,0
03/05/2023,3.004,20231100,NGX23,9412,0,0,0
04/05/2023,2.965,20231100,NGX23,9161,0,0,0
05/05/2023,2.992,20231100,NGX23,11343,0,0,0
08/05/2023,3.047,20231100,NGX23,10801,0,0,0
09/05/2023,3.051,20231100,NGX23,14525,0,0,0
10/05/2023,2.974,20231100,NGX23,11717,0,0,0
11/05/2023,2.968,20231100,NGX23,13210,0,0,0
12/05/2023,3.068,20231100,NGX23,17605,0,0,0
15/05/2023,3.157,20231100,NGX23,14840,0,0,0
16/05/2023,3.133,20231100,NGX23,12819,0,0,0
17/05/2023,3.1,20231100,NGX23,10412,0,0,0
18/05/2023,3.264,20231100,NGX23,14638,0,0,0
19/05/2023,3.23,20231100,NGX23,14814,0,0,0
22/05/2023,3.126,20231100,NGX23,12817,0,0,0
23/05/2023,3.084,20231100,NGX23,11297,0,0,0
24/05/2023,3.157,20231100,NGX23,7003,0,0,0
25/05/2023,3.086,20231100,NGX23,7455,0,0,0
26/05/2023,3.073,20231100,NGX23,10983,0,0,0
30/05/2023,2.987,20231100,NGX23,11555,0,0,0
31/05/2023,2.926,20231100,NGX23,13971,0,0,0
01/06/2023,2.867,20231100,NGX23,13628,0,0,0
02/06/2023,2.921,20231100,NGX23,10616,0,0,0
05/06/2023,2.981,20231100,NGX23,14139,0,0,0
06/06/2023,2.987,20231100,NGX23,15238,0,0,0
07/06/2023,3.013,20231100,NGX23,16724,0,0,0
08/06/2023,3.001,20231100,NGX23,11107,0,0,0
09/06/2023,2.937,20231100,NGX23,15566,0,0,0
12/06/2023,2.953,20231100,NGX23,10929,0,0,0
13/06/2023,3.003,20231100,NGX23,13450,0,0,0
14/06/2023,2.999,20231100,NGX23,10696,0,0,0
15/06/2023,3.131,20231100,NGX23,24175,0,0,0
16/06/2023,3.217,20231100,NGX23,22075,0,0,0
20/06/2023,3.065,20231100,NGX23,18188,0,0,0
21/06/2023,3.144,20231100,NGX23,14573,0,0,0
22/06/2023,3.157,20231100,NGX23,21184,0,0,0
23/06/2023,3.229,20231100,NGX23,28132,0,0,0
26/06/2023,3.249,20231100,NGX23,21242,0,0,0
27/06/2023,3.155,20231100,NGX23,16951,0,0,0
28/06/2023,3.089,20231100,NGX23,14635,0,0,0
29/06/2023,3.129,20231100,NGX23,14722,0,0,0
30/06/2023,3.211,20231100,NGX23,18013,0,0,0
03/07/2023,3.169,20231100,NGX23,13699,0,0,0
05/07/2023,3.129,20231100,NGX23,20208,0,0,0
06/07/2023,3.099,20231100,NGX23,16513,0,0,0
07/07/2023,3.073,20231100,NGX23,18958,0,0,0
10/07/2023,3.149,20231100,NGX23,23121,0,0,0
11/07/2023,3.194,20231100,NGX23,26853,0,0,0
12/07/2023,3.105,20231100,NGX23,25856,0,0,0
13/07/2023,3.063,20231100,NGX23,30309,0,0,0
14/07/2023,3.075,20231100,NGX23,27131,0,0,0
17/07/2023,3.028,20231100,NGX23,19657,0,0,0
18/07/2023,3.107,20231100,NGX23,22928,0,0,0
19/07/2023,3.081,20231100,NGX23,18237,0,0,0
20/07/2023,3.19,20231100,NGX23,31817,0,0,0
21/07/2023,3.193,20231100,NGX23,17885,0,0,0
24/07/2023,3.194,20231100,NGX23,26358,0,0,0
25/07/2023,3.271,20231100,NGX23,37745,0,0,0
26/07/2023,3.235,20231100,NGX23,25536,0,0,0
27/07/2023,3.142,20231100,NGX23,27516,0,0,0
28/07/2023,3.176,20231100,NGX23,20691,0,0,0
31/07/2023,3.143,20231100,NGX23,29348,0,0,0
01/08/2023,3.075,20231100,NGX23,29272,0,0,0
02/08/2023,2.998,20231100,NGX23,30539,0,0,0
03/08/2023,3.063,20231100,NGX23,24165,0,0,0
04/08/2023,3.075,20231100,NGX23,22790,0,0,0
07/08/2023,3.177,20231100,NGX23,76522,0,0,0
08/08/2023,3.243,20231100,NGX23,78426,0,0,0
09/08/2023,3.445,20231100,NGX23,123078,0,0,0
10/08/2023,3.301,20231100,NGX23,92805,0,0,0
11/08/2023,3.344,20231100,NGX23,83392,0,0,0
14/08/2023,3.364,20231100,NGX23,42376,0,0,0
15/08/2023,3.287,20231100,NGX23,70618,0,0,0
16/08/2023,3.215,20231100,NGX23,42877,0,0,0
17/08/2023,3.243,20231100,NGX23,33315,0,0,0
18/08/2023,3.166,20231100,NGX23,35167,0,0,0
21/08/2023,3.193,20231100,NGX23,42678,0,0,0
22/08/2023,3.106,20231100,NGX23,39551,0,0,0
23/08/2023,3.044,20231100,NGX23,39311,0,0,0
24/08/2023,3.093,20231100,NGX23,56333,0,0,0
25/08/2023,3.135,20231100,NGX23,29074,0,0,0
28/08/2023,3.106,20231100,NGX23,54563,0,0,0
29/08/2023,3.062,20231100,NGX23,60786,0,0,0
30/08/2023,3.181,20231100,NGX23,60750,0,0,0
31/08/2023,3.147,20231100,NGX23,68867,0,0,0
01/09/2023,3.111,20231100,NGX23,55186,0,0,0
05/09/2023,2.991,20231100,NGX23,72209,0,0,0
06/09/2023,2.943,20231100,NGX23,55157,0,0,0
07/09/2023,2.958,20231100,NGX23,73220,0,0,0
08/09/2023,2.966,20231100,NGX23,68748,0,0,0
11/09/2023,2.937,20231100,NGX23,79983,0,0,0
12/09/2023,3.015,20231100,NGX23,135124,0,0,0
13/09/2023,2.987,20231100,NGX23,132252,0,0,0
14/09/2023,2.983,20231100,NGX23,112568,0,0,0
15/09/2023,2.932,20231100,NGX23,87637,0,0,0
18/09/2023,3.001,20231100,NGX23,115143,0,0,0
19/09/2023,3.026,20231100,NGX23,128380,0,0,0
20/09/2023,2.921,20231100,NGX23,145734,0,0,0
