tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
04/02/2022,23996,20220900,HSU22,84,0,0,0
07/02/2022,23912,20220900,HSU22,29,0,0,0
08/02/2022,23788,20220900,HSU22,120,0,0,0
09/02/2022,24286,20220900,HSU22,385,0,0,0
10/02/2022,24438,20220900,HSU22,207,0,0,0
11/02/2022,24319,20220900,HSU22,35,0,0,0
14/02/2022,23892,20220900,HSU22,58,0,0,0
15/02/2022,23944,20220900,HSU22,427,0,0,0
16/02/2022,24142,20220900,HSU22,128,0,0,0
17/02/2022,24136,20220900,HSU22,88,0,0,0
18/02/2022,23734,20220900,HSU22,76,0,0,0
21/02/2022,23587,20220900,HSU22,161,0,0,0
22/02/2022,23001,20220900,HSU22,138,0,0,0
23/02/2022,23078,20220900,HSU22,407,0,0,0
24/02/2022,22287,20220900,HSU22,364,0,0,0
25/02/2022,22136,20220900,HSU22,215,0,0,0
28/02/2022,22162,20220900,HSU22,37,0,0,0
01/03/2022,22056,20220900,HSU22,112,0,0,0
02/03/2022,21820,20220900,HSU22,105,0,0,0
03/03/2022,21868,20220900,HSU22,976,0,0,0
04/03/2022,21330,20220900,HSU22,217,0,0,0
07/03/2022,20402,20220900,HSU22,73,0,0,0
08/03/2022,20373,20220900,HSU22,257,0,0,0
09/03/2022,20060,20220900,HSU22,283,0,0,0
10/03/2022,20327,20220900,HSU22,341,0,0,0
11/03/2022,20043,20220900,HSU22,444,0,0,0
14/03/2022,19146,20220900,HSU22,663,0,0,0
15/03/2022,17885,20220900,HSU22,770,0,0,0
16/03/2022,19578,20220900,HSU22,349,0,0,0
17/03/2022,20983,20220900,HSU22,263,0,0,0
18/03/2022,20936,20220900,HSU22,627,0,0,0
21/03/2022,20747,20220900,HSU22,130,0,0,0
22/03/2022,21431,20220900,HSU22,115,0,0,0
23/03/2022,21602,20220900,HSU22,175,0,0,0
24/03/2022,21433,20220900,HSU22,128,0,0,0
25/03/2022,20863,20220900,HSU22,409,0,0,0
28/03/2022,21265,20220900,HSU22,50,0,0,0
29/03/2022,21461,20220900,HSU22,264,0,0,0
30/03/2022,21689,20220900,HSU22,66,0,0,0
31/03/2022,21499,20220900,HSU22,163,0,0,0
01/04/2022,21527,20220900,HSU22,90,0,0,0
04/04/2022,21974,20220900,HSU22,1152,0,0,0
