tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
15/05/2019,86.0,20201000,LHV20,0,0,0,0
16/05/2019,84.0,20201000,LHV20,0,0,0,0
17/05/2019,81.7,20201000,LHV20,0,0,0,0
20/05/2019,81.6,20201000,LHV20,0,0,0,0
21/05/2019,80.9,20201000,LHV20,0,0,0,0
22/05/2019,80.1,20201000,LHV20,0,0,0,0
23/05/2019,80.0,20201000,LHV20,1,0,0,0
24/05/2019,78.5,20201000,LHV20,2,0,0,0
28/05/2019,78.45,20201000,LHV20,10,0,0,0
29/05/2019,78.0,20201000,LHV20,6,0,0,0
30/05/2019,78.0,20201000,LHV20,48,0,0,0
31/05/2019,77.6,20201000,LHV20,11,0,0,0
03/06/2019,75.5,20201000,LHV20,11,0,0,0
04/06/2019,77.05,20201000,LHV20,27,0,0,0
05/06/2019,77.15,20201000,LHV20,4,0,0,0
06/06/2019,77.15,20201000,LHV20,25,0,0,0
07/06/2019,76.5,20201000,LHV20,4,0,0,0
10/06/2019,77.1,20201000,LHV20,4,0,0,0
11/06/2019,76.125,20201000,LHV20,37,0,0,0
12/06/2019,77.0,20201000,LHV20,0,0,0,0
13/06/2019,77.15,20201000,LHV20,12,0,0,0
14/06/2019,76.0,20201000,LHV20,7,0,0,0
17/06/2019,76.525,20201000,LHV20,10,0,0,0
18/06/2019,77.175,20201000,LHV20,19,0,0,0
19/06/2019,76.775,20201000,LHV20,5,0,0,0
20/06/2019,76.5,20201000,LHV20,2,0,0,0
21/06/2019,75.975,20201000,LHV20,0,0,0,0
24/06/2019,73.8,20201000,LHV20,2,0,0,0
25/06/2019,74.3,20201000,LHV20,26,0,0,0
26/06/2019,74.85,20201000,LHV20,5,0,0,0
27/06/2019,74.725,20201000,LHV20,9,0,0,0
28/06/2019,74.65,20201000,LHV20,40,0,0,0
01/07/2019,76.675,20201000,LHV20,31,0,0,0
02/07/2019,75.475,20201000,LHV20,53,0,0,0
03/07/2019,75.025,20201000,LHV20,115,0,0,0
05/07/2019,74.5,20201000,LHV20,50,0,0,0
08/07/2019,74.625,20201000,LHV20,83,0,0,0
09/07/2019,76.0,20201000,LHV20,40,0,0,0
10/07/2019,76.5,20201000,LHV20,16,0,0,0
11/07/2019,76.0,20201000,LHV20,8,0,0,0
12/07/2019,75.525,20201000,LHV20,5,0,0,0
15/07/2019,76.15,20201000,LHV20,100,0,0,0
16/07/2019,75.2,20201000,LHV20,124,0,0,0
17/07/2019,75.725,20201000,LHV20,128,0,0,0
18/07/2019,76.05,20201000,LHV20,72,0,0,0
19/07/2019,75.8,20201000,LHV20,441,0,0,0
22/07/2019,75.8,20201000,LHV20,46,0,0,0
23/07/2019,76.8,20201000,LHV20,43,0,0,0
24/07/2019,76.7,20201000,LHV20,95,0,0,0
25/07/2019,76.325,20201000,LHV20,307,0,0,0
26/07/2019,76.625,20201000,LHV20,122,0,0,0
29/07/2019,76.625,20201000,LHV20,199,0,0,0
30/07/2019,76.575,20201000,LHV20,247,0,0,0
31/07/2019,75.025,20201000,LHV20,371,0,0,0
01/08/2019,74.6,20201000,LHV20,532,0,0,0
02/08/2019,73.7,20201000,LHV20,525,0,0,0
05/08/2019,72.55,20201000,LHV20,293,0,0,0
06/08/2019,70.925,20201000,LHV20,32,0,0,0
