tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
17/06/2022,3857.0,20240900,ESU24,0,0,0,0
21/06/2022,3952.0,20240900,ESU24,0,0,0,0
22/06/2022,3931.0,20240900,ESU24,0,0,0,0
23/06/2022,3967.0,20240900,ESU24,0,0,0,0
24/06/2022,4084.0,20240900,ESU24,0,0,0,0
27/06/2022,4072.0,20240900,ESU24,0,0,0,0
28/06/2022,4003.0,20240900,ESU24,0,0,0,0
29/06/2022,3983.0,20240900,ESU24,0,0,0,0
30/06/2022,3939.0,20240900,ESU24,0,0,0,0
01/07/2022,3966.0,20240900,ESU24,0,0,0,0
05/07/2022,3968.0,20240900,ESU24,0,0,0,0
06/07/2022,3996.0,20240900,ESU24,0,0,0,0
07/07/2022,4061.5,20240900,ESU24,0,0,0,0
08/07/2022,4069.5,20240900,ESU24,0,0,0,0
11/07/2022,4011.0,20240900,ESU24,0,0,0,0
12/07/2022,3967.0,20240900,ESU24,0,0,0,0
13/07/2022,3953.0,20240900,ESU24,0,0,0,0
14/07/2022,3942.0,20240900,ESU24,0,0,0,0
15/07/2022,4024.0,20240900,ESU24,0,0,0,0
18/07/2022,3992.0,20240900,ESU24,0,0,0,0
19/07/2022,4108.0,20240900,ESU24,0,0,0,0
20/07/2022,4134.0,20240900,ESU24,0,0,0,0
21/07/2022,4172.0,20240900,ESU24,0,0,0,0
22/07/2022,4119.0,20240900,ESU24,0,0,0,0
25/07/2022,4125.0,20240900,ESU24,0,0,0,0
26/07/2022,4077.0,20240900,ESU24,0,0,0,0
27/07/2022,4177.0,20240900,ESU24,0,0,0,0
28/07/2022,4226.0,20240900,ESU24,0,0,0,0
29/07/2022,4287.0,20240900,ESU24,0,0,0,0
01/08/2022,4284.0,20240900,ESU24,0,0,0,0
02/08/2022,4274.0,20240900,ESU24,0,0,0,0
03/08/2022,4332.0,20240900,ESU24,0,0,0,0
04/08/2022,4327.0,20240900,ESU24,0,0,0,0
05/08/2022,4338.0,20240900,ESU24,0,0,0,0
08/08/2022,4333.0,20240900,ESU24,0,0,0,0
09/08/2022,4321.0,20240900,ESU24,0,0,0,0
10/08/2022,4401.0,20240900,ESU24,0,0,0,0
11/08/2022,4401.0,20240900,ESU24,0,0,0,0
12/08/2022,4481.0,20240900,ESU24,0,0,0,0
15/08/2022,4498.0,20240900,ESU24,0,0,0,0
16/08/2022,4508.0,20240900,ESU24,0,0,0,0
17/08/2022,4478.0,20240900,ESU24,0,0,0,0
18/08/2022,4487.0,20240900,ESU24,0,0,0,0
19/08/2022,4436.0,20240900,ESU24,0,0,0,0
22/08/2022,4346.0,20240900,ESU24,0,0,0,0
23/08/2022,4335.0,20240900,ESU24,0,0,0,0
24/08/2022,4348.0,20240900,ESU24,0,0,0,0
25/08/2022,4407.0,20240900,ESU24,0,0,0,0
26/08/2022,4263.0,20240900,ESU24,0,0,0,0
29/08/2022,4236.0,20240900,ESU24,0,0,0,0
30/08/2022,4187.0,20240900,ESU24,0,0,0,0
31/08/2022,4166.0,20240900,ESU24,0,0,0,0
01/09/2022,4178.0,20240900,ESU24,0,0,0,0
02/09/2022,4122.0,20240900,ESU24,0,0,0,0
06/09/2022,4109.0,20240900,ESU24,0,0,0,0
07/09/2022,4179.0,20240900,ESU24,0,0,0,0
08/09/2022,4210.0,20240900,ESU24,0,0,0,0
09/09/2022,4275.0,20240900,ESU24,0,0,0,0
12/09/2022,4320.0,20240900,ESU24,0,0,0,0
13/09/2022,4153.0,20240900,ESU24,0,0,0,0
14/09/2022,4169.0,20240900,ESU24,0,0,0,0
15/09/2022,4123.0,20240900,ESU24,0,0,0,0
16/09/2022,4094.0,20240900,ESU24,0,0,0,0
19/09/2022,4122.0,20240900,ESU24,0,0,0,0
20/09/2022,4077.0,20240900,ESU24,0,0,0,0
21/09/2022,4024.0,20240900,ESU24,0,0,0,0
22/09/2022,3990.0,20240900,ESU24,0,0,0,0
23/09/2022,3926.0,20240900,ESU24,0,0,0,0
26/09/2022,3886.0,20240900,ESU24,0,0,0,0
27/09/2022,3876.0,20240900,ESU24,0,0,0,0
28/09/2022,3936.0,20240900,ESU24,0,0,0,0
29/09/2022,3857.0,20240900,ESU24,0,0,0,0
30/09/2022,3804.0,20240900,ESU24,0,0,0,0
03/10/2022,3894.0,20240900,ESU24,0,0,0,0
04/10/2022,4011.0,20240900,ESU24,0,0,0,0
05/10/2022,4002.0,20240900,ESU24,0,0,0,0
06/10/2022,3965.0,20240900,ESU24,0,0,0,0
07/10/2022,3870.0,20240900,ESU24,0,0,0,0
10/10/2022,3841.0,20240900,ESU24,0,0,0,0
11/10/2022,3814.0,20240900,ESU24,0,0,0,0
12/10/2022,3803.0,20240900,ESU24,0,0,0,0
13/10/2022,3898.0,20240900,ESU24,0,0,0,0
14/10/2022,3823.0,20240900,ESU24,0,0,0,0
17/10/2022,3917.0,20240900,ESU24,0,0,0,0
18/10/2022,3961.0,20240900,ESU24,0,0,0,0
19/10/2022,3936.0,20240900,ESU24,0,0,0,0
20/10/2022,3904.0,20240900,ESU24,0,0,0,0
21/10/2022,3992.0,20240900,ESU24,0,0,0,0
24/10/2022,4038.0,20240900,ESU24,0,0,0,0
25/10/2022,4105.0,20240900,ESU24,0,0,0,0
26/10/2022,4076.0,20240900,ESU24,0,0,0,0
27/10/2022,4053.0,20240900,ESU24,0,0,0,0
28/10/2022,4146.0,20240900,ESU24,0,0,0,0
31/10/2022,4121.0,20240900,ESU24,0,0,0,0
01/11/2022,4113.5,20240900,ESU24,0,0,0,0
02/11/2022,4014.0,20240900,ESU24,0,0,0,0
03/11/2022,3973.0,20240900,ESU24,0,0,0,0
04/11/2022,4024.0,20240900,ESU24,0,0,0,0
07/11/2022,4060.0,20240900,ESU24,0,0,0,0
08/11/2022,4080.0,20240900,ESU24,0,0,0,0
09/11/2022,3999.0,20240900,ESU24,0,0,0,0
10/11/2022,4190.0,20240900,ESU24,0,0,0,0
11/11/2022,4239.0,20240900,ESU24,0,0,0,0
14/11/2022,4205.0,20240900,ESU24,0,0,0,0
15/11/2022,4239.0,20240900,ESU24,0,0,0,0
16/11/2022,4207.0,20240900,ESU24,0,0,0,0
