tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
01/05/2018,33.38,20200900,ZLU20,0,0,0,0
02/05/2018,33.68,20200900,ZLU20,0,0,0,0
03/05/2018,33.86,20200900,ZLU20,0,0,0,0
04/05/2018,33.78,20200900,ZLU20,0,0,0,0
07/05/2018,33.87,20200900,ZLU20,0,0,0,0
08/05/2018,33.72,20200900,ZLU20,0,0,0,0
09/05/2018,34.1,20200900,ZLU20,0,0,0,0
10/05/2018,34.18,20200900,ZLU20,0,0,0,0
11/05/2018,34.25,20200900,ZLU20,0,0,0,0
14/05/2018,34.21,20200900,ZLU20,0,0,0,0
15/05/2018,34.08,20200900,ZLU20,0,0,0,0
16/05/2018,33.69,20200900,ZLU20,0,0,0,0
17/05/2018,33.97,20200900,ZLU20,0,0,0,0
18/05/2018,34.0,20200900,ZLU20,0,0,0,0
21/05/2018,34.43,20200900,ZLU20,0,0,0,0
22/05/2018,34.54,20200900,ZLU20,0,0,0,0
23/05/2018,34.8,20200900,ZLU20,0,0,0,0
24/05/2018,34.8,20200900,ZLU20,0,0,0,0
25/05/2018,34.4,20200900,ZLU20,0,0,0,0
29/05/2018,34.29,20200900,ZLU20,0,0,0,0
30/05/2018,34.56,20200900,ZLU20,0,0,0,0
31/05/2018,34.17,20200900,ZLU20,0,0,0,0
01/06/2018,34.13,20200900,ZLU20,0,0,0,0
04/06/2018,33.82,20200900,ZLU20,0,0,0,0
05/06/2018,33.67,20200900,ZLU20,0,0,0,0
06/06/2018,33.49,20200900,ZLU20,0,0,0,0
07/06/2018,33.44,20200900,ZLU20,0,0,0,0
08/06/2018,33.37,20200900,ZLU20,0,0,0,0
11/06/2018,33.37,20200900,ZLU20,0,0,0,0
12/06/2018,33.03,20200900,ZLU20,11,0,0,0
13/06/2018,33.21,20200900,ZLU20,0,0,0,0
14/06/2018,33.32,20200900,ZLU20,0,0,0,0
15/06/2018,32.99,20200900,ZLU20,0,0,0,0
18/06/2018,32.96,20200900,ZLU20,27,0,0,0
19/06/2018,32.16,20200900,ZLU20,0,0,0,0
20/06/2018,32.48,20200900,ZLU20,0,0,0,0
