tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
15/03/2018,1.3935,B6Y00,B6Y00,0,0,0,0
16/03/2018,1.3939,B6Y00,B6Y00,0,0,0,0
19/03/2018,1.4022,B6Y00,B6Y00,0,0,0,0
20/03/2018,1.3996,B6Y00,B6Y00,0,0,0,0
21/03/2018,1.4139,B6Y00,B6Y00,0,0,0,0
22/03/2018,1.4094,B6Y00,B6Y00,0,0,0,0
23/03/2018,1.413,B6Y00,B6Y00,0,0,0,0
26/03/2018,1.4227,B6Y00,B6Y00,0,0,0,0
27/03/2018,1.4155,B6Y00,B6Y00,0,0,0,0
28/03/2018,1.4074,B6Y00,B6Y00,0,0,0,0
29/03/2018,1.4016,B6Y00,B6Y00,0,0,0,0
02/04/2018,1.4042,B6Y00,B6Y00,0,0,0,0
03/04/2018,1.4054,B6Y00,B6Y00,0,0,0,0
04/04/2018,1.4078,B6Y00,B6Y00,0,0,0,0
05/04/2018,1.4001,B6Y00,B6Y00,0,0,0,0
06/04/2018,1.4086,B6Y00,B6Y00,0,0,0,0
09/04/2018,1.413,B6Y00,B6Y00,0,0,0,0
10/04/2018,1.4175,B6Y00,B6Y00,0,0,0,0
11/04/2018,1.4174,B6Y00,B6Y00,0,0,0,0
12/04/2018,1.4225,B6Y00,B6Y00,0,0,0,0
13/04/2018,1.4231,B6Y00,B6Y00,0,0,0,0
16/04/2018,1.4336,B6Y00,B6Y00,0,0,0,0
17/04/2018,1.4286,B6Y00,B6Y00,0,0,0,0
18/04/2018,1.42,B6Y00,B6Y00,0,0,0,0
19/04/2018,1.4083,B6Y00,B6Y00,0,0,0,0
20/04/2018,1.3994,B6Y00,B6Y00,0,0,0,0
23/04/2018,1.3938,B6Y00,B6Y00,0,0,0,0
24/04/2018,1.3976,B6Y00,B6Y00,0,0,0,0
25/04/2018,1.3928,B6Y00,B6Y00,0,0,0,0
26/04/2018,1.3914,B6Y00,B6Y00,0,0,0,0
27/04/2018,1.3778,B6Y00,B6Y00,0,0,0,0
30/04/2018,1.3762,B6Y00,B6Y00,0,0,0,0
01/05/2018,1.3611,B6Y00,B6Y00,0,0,0,0
02/05/2018,1.3571,B6Y00,B6Y00,0,0,0,0
03/05/2018,1.3572,B6Y00,B6Y00,0,0,0,0
04/05/2018,1.3525,B6Y00,B6Y00,0,0,0,0
07/05/2018,1.3555,B6Y00,B6Y00,0,0,0,0
08/05/2018,1.3546,B6Y00,B6Y00,0,0,0,0
09/05/2018,1.3544,B6Y00,B6Y00,0,0,0,0
10/05/2018,1.3516,B6Y00,B6Y00,0,0,0,0
11/05/2018,1.3537,B6Y00,B6Y00,0,0,0,0
14/05/2018,1.3555,B6Y00,B6Y00,0,0,0,0
15/05/2018,1.3497,B6Y00,B6Y00,0,0,0,0
16/05/2018,1.3484,B6Y00,B6Y00,0,0,0,0
17/05/2018,1.3514,B6Y00,B6Y00,0,0,0,0
18/05/2018,1.346,B6Y00,B6Y00,0,0,0,0
21/05/2018,1.342,B6Y00,B6Y00,0,0,0,0
22/05/2018,1.3429,B6Y00,B6Y00,0,0,0,0
23/05/2018,1.3344,B6Y00,B6Y00,0,0,0,0
