tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
14/03/2018,1324.76,GCY00,GCY00,0,0,0,0
15/03/2018,1315.72,GCY00,GCY00,0,0,0,0
16/03/2018,1313.62,GCY00,GCY00,0,0,0,0
19/03/2018,1315.09,GCY00,GCY00,0,0,0,0
20/03/2018,1310.49,GCY00,GCY00,0,0,0,0
21/03/2018,1331.86,GCY00,GCY00,0,0,0,0
22/03/2018,1328.27,GCY00,GCY00,0,0,0,0
23/03/2018,1346.94,GCY00,GCY00,0,0,0,0
26/03/2018,1352.47,GCY00,GCY00,0,0,0,0
27/03/2018,1344.43,GCY00,GCY00,0,0,0,0
28/03/2018,1324.72,GCY00,GCY00,0,0,0,0
29/03/2018,1324.58,GCY00,GCY00,0,0,0,0
02/04/2018,1341.04,GCY00,GCY00,0,0,0,0
03/04/2018,1332.58,GCY00,GCY00,0,0,0,0
04/04/2018,1333.14,GCY00,GCY00,0,0,0,0
05/04/2018,1326.41,GCY00,GCY00,0,0,0,0
06/04/2018,1332.7,GCY00,GCY00,0,0,0,0
09/04/2018,1336.13,GCY00,GCY00,0,0,0,0
10/04/2018,1339.42,GCY00,GCY00,0,0,0,0
11/04/2018,1353.03,GCY00,GCY00,0,0,0,0
12/04/2018,1334.88,GCY00,GCY00,0,0,0,0
13/04/2018,1345.06,GCY00,GCY00,0,0,0,0
16/04/2018,1345.43,GCY00,GCY00,0,0,0,0
17/04/2018,1347.33,GCY00,GCY00,0,0,0,0
18/04/2018,1349.18,GCY00,GCY00,0,0,0,0
19/04/2018,1345.21,GCY00,GCY00,0,0,0,0
20/04/2018,1335.2,GCY00,GCY00,0,0,0,0
23/04/2018,1324.1,GCY00,GCY00,0,0,0,0
24/04/2018,1330.27,GCY00,GCY00,0,0,0,0
25/04/2018,1323.08,GCY00,GCY00,0,0,0,0
26/04/2018,1316.77,GCY00,GCY00,0,0,0,0
27/04/2018,1322.78,GCY00,GCY00,0,0,0,0
30/04/2018,1315.06,GCY00,GCY00,0,0,0,0
01/05/2018,1302.71,GCY00,GCY00,0,0,0,0
02/05/2018,1304.31,GCY00,GCY00,0,0,0,0
03/05/2018,1311.95,GCY00,GCY00,0,0,0,0
04/05/2018,1314.85,GCY00,GCY00,0,0,0,0
07/05/2018,1313.94,GCY00,GCY00,0,0,0,0
08/05/2018,1314.43,GCY00,GCY00,0,0,0,0
09/05/2018,1312.51,GCY00,GCY00,0,0,0,0
10/05/2018,1321.09,GCY00,GCY00,0,0,0,0
11/05/2018,1317.43,GCY00,GCY00,0,0,0,0
14/05/2018,1313.2,GCY00,GCY00,0,0,0,0
15/05/2018,1290.39,GCY00,GCY00,0,0,0,0
16/05/2018,1290.63,GCY00,GCY00,0,0,0,0
17/05/2018,1290.73,GCY00,GCY00,0,0,0,0
18/05/2018,1292.88,GCY00,GCY00,0,0,0,0
21/05/2018,1293.0,GCY00,GCY00,0,0,0,0
22/05/2018,1291.08,GCY00,GCY00,0,0,0,0
23/05/2018,1293.22,GCY00,GCY00,0,0,0,0
24/05/2018,1304.61,GCY00,GCY00,0,0,0,0
25/05/2018,1301.28,GCY00,GCY00,0,0,0,0
28/05/2018,1297.67,GCY00,GCY00,0,0,0,0
29/05/2018,1298.62,GCY00,GCY00,0,0,0,0
30/05/2018,1301.93,GCY00,GCY00,0,0,0,0
31/05/2018,1298.08,GCY00,GCY00,0,0,0,0
01/06/2018,1292.93,GCY00,GCY00,0,0,0,0
