tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
05/02/2018,2648.94,$INX,$INX,3544117504,0,0,0
06/02/2018,2695.14,$INX,$INX,4024143616,0,0,0
07/02/2018,2681.66,$INX,$INX,2838298880,0,0,0
08/02/2018,2581.0,$INX,$INX,3249463296,0,0,0
09/02/2018,2619.55,$INX,$INX,3731314688,0,0,0
12/02/2018,2656.0,$INX,$INX,2679600384,0,0,0
13/02/2018,2662.94,$INX,$INX,2093173248,0,0,0
14/02/2018,2698.63,$INX,$INX,2420069632,0,0,0
15/02/2018,2731.2,$INX,$INX,2296145920,0,0,0
16/02/2018,2732.22,$INX,$INX,2214918912,0,0,0
20/02/2018,2716.26,$INX,$INX,2135921664,0,0,0
21/02/2018,2701.33,$INX,$INX,2221587712,0,0,0
22/02/2018,2703.96,$INX,$INX,2099630336,0,0,0
23/02/2018,2747.3,$INX,$INX,1869037568,0,0,0
26/02/2018,2779.6,$INX,$INX,2112406400,0,0,0
27/02/2018,2744.28,$INX,$INX,2357084160,0,0,0
28/02/2018,2713.83,$INX,$INX,2606285568,0,0,0
01/03/2018,2677.67,$INX,$INX,2790764032,0,0,0
02/03/2018,2691.25,$INX,$INX,2445883904,0,0,0
05/03/2018,2720.94,$INX,$INX,2341946624,0,0,0
06/03/2018,2728.12,$INX,$INX,2080635392,0,0,0
07/03/2018,2726.8,$INX,$INX,2204997376,0,0,0
08/03/2018,2738.97,$INX,$INX,2047404416,0,0,0
09/03/2018,2786.57,$INX,$INX,2195651072,0,0,0
12/03/2018,2783.02,$INX,$INX,2157969152,0,0,0
13/03/2018,2765.31,$INX,$INX,2353889280,0,0,0
14/03/2018,2749.48,$INX,$INX,2179975680,0,0,0
15/03/2018,2747.33,$INX,$INX,1998737408,0,0,0
16/03/2018,2752.01,$INX,$INX,3459192832,0,0,0
19/03/2018,2712.92,$INX,$INX,2191394816,0,0,0
20/03/2018,2716.94,$INX,$INX,2088202368,0,0,0
21/03/2018,2711.93,$INX,$INX,2074883968,0,0,0
22/03/2018,2643.69,$INX,$INX,2492921088,0,0,0
23/03/2018,2588.26,$INX,$INX,2558217984,0,0,0
26/03/2018,2658.55,$INX,$INX,2434498048,0,0,0
27/03/2018,2612.62,$INX,$INX,2501316096,0,0,0
28/03/2018,2605.0,$INX,$INX,2574191616,0,0,0
29/03/2018,2640.87,$INX,$INX,2348028928,0,0,0
02/04/2018,2581.88,$INX,$INX,2468994048,0,0,0
03/04/2018,2614.45,$INX,$INX,2169555200,0,0,0
