tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
08/12/2020,3641.75,20220300,ESH22,0,0,0,0
09/12/2020,3616.5,20220300,ESH22,0,0,0,0
10/12/2020,3608.5,20220300,ESH22,0,0,0,0
11/12/2020,3603.0,20220300,ESH22,0,0,0,0
14/12/2020,3589.75,20220300,ESH22,0,0,0,0
15/12/2020,3634.5,20220300,ESH22,0,0,0,0
16/12/2020,3641.0,20220300,ESH22,0,0,0,0
17/12/2020,3661.5,20220300,ESH22,0,0,0,0
18/12/2020,3651.5,20220300,ESH22,0,0,0,0
21/12/2020,3636.0,20220300,ESH22,0,0,0,0
22/12/2020,3628.0,20220300,ESH22,0,0,0,0
23/12/2020,3633.0,20220300,ESH22,0,0,0,0
24/12/2020,3646.0,20220300,ESH22,0,0,0,0
28/12/2020,3677.5,20220300,ESH22,0,0,0,0
29/12/2020,3670.0,20220300,ESH22,0,0,0,0
30/12/2020,3674.25,20220300,ESH22,0,0,0,0
31/12/2020,3699.75,20220300,ESH22,0,0,0,0
04/01/2021,3642.25,20220300,ESH22,0,0,0,0
05/01/2021,3668.5,20220300,ESH22,0,0,0,0
06/01/2021,3690.75,20220300,ESH22,0,0,0,0
07/01/2021,3745.75,20220300,ESH22,0,0,0,0
08/01/2021,3767.5,20220300,ESH22,10,0,0,0
11/01/2021,3742.0,20220300,ESH22,0,0,0,0
12/01/2021,3746.75,20220300,ESH22,0,0,0,0
13/01/2021,3754.0,20220300,ESH22,0,0,0,0
14/01/2021,3741.25,20220300,ESH22,0,0,0,0
15/01/2021,3712.5,20220300,ESH22,0,0,0,0
19/01/2021,3741.5,20220300,ESH22,0,0,0,0
20/01/2021,3795.75,20220300,ESH22,0,0,0,0
21/01/2021,3797.25,20220300,ESH22,0,0,0,0
22/01/2021,3787.0,20220300,ESH22,5,0,0,0
25/01/2021,3799.75,20220300,ESH22,0,0,0,0
26/01/2021,3794.75,20220300,ESH22,0,0,0,0
27/01/2021,3696.25,20220300,ESH22,0,0,0,0
28/01/2021,3732.5,20220300,ESH22,0,0,0,0
29/01/2021,3660.0,20220300,ESH22,6,0,0,0
01/02/2021,3719.5,20220300,ESH22,1,0,0,0
02/02/2021,3772.25,20220300,ESH22,0,0,0,0
03/02/2021,3776.5,20220300,ESH22,0,0,0,0
04/02/2021,3816.75,20220300,ESH22,0,0,0,0
05/02/2021,3832.5,20220300,ESH22,0,0,0,0
08/02/2021,3860.25,20220300,ESH22,0,0,0,0
09/02/2021,3857.5,20220300,ESH22,0,0,0,0
10/02/2021,3855.0,20220300,ESH22,0,0,0,0
11/02/2021,3864.0,20220300,ESH22,0,0,0,0
12/02/2021,3883.25,20220300,ESH22,0,0,0,0
16/02/2021,3879.75,20220300,ESH22,0,0,0,0
17/02/2021,3880.0,20220300,ESH22,0,0,0,0
18/02/2021,3861.5,20220300,ESH22,0,0,0,0
19/02/2021,3855.0,20220300,ESH22,0,0,0,0
22/02/2021,3825.75,20220300,ESH22,0,0,0,0
23/02/2021,3830.0,20220300,ESH22,0,0,0,0
24/02/2021,3874.75,20220300,ESH22,0,0,0,0
25/02/2021,3780.5,20220300,ESH22,0,0,0,0
26/02/2021,3762.0,20220300,ESH22,0,0,0,0
01/03/2021,3851.5,20220300,ESH22,0,0,0,0
02/03/2021,3820.5,20220300,ESH22,0,0,0,0
03/03/2021,3769.5,20220300,ESH22,0,0,0,0
04/03/2021,3718.5,20220300,ESH22,0,0,0,0
05/03/2021,3792.0,20220300,ESH22,0,0,0,0
08/03/2021,3772.0,20220300,ESH22,0,0,0,0
09/03/2021,3826.25,20220300,ESH22,0,0,0,0
10/03/2021,3849.25,20220300,ESH22,0,0,0,0
11/03/2021,3889.5,20220300,ESH22,0,0,0,0
12/03/2021,3895.0,20220300,ESH22,0,0,0,0
15/03/2021,3920.5,20220300,ESH22,0,0,0,0
16/03/2021,3915.0,20220300,ESH22,0,0,0,0
17/03/2021,3926.5,20220300,ESH22,0,0,0,0
18/03/2021,3869.0,20220300,ESH22,0,0,0,0
19/03/2021,3862.25,20220300,ESH22,3,0,0,0
22/03/2021,3892.5,20220300,ESH22,0,0,0,0
23/03/2021,3872.25,20220300,ESH22,1000,0,0,0
24/03/2021,3851.25,20220300,ESH22,0,0,0,0
25/03/2021,3872.5,20220300,ESH22,0,0,0,0
26/03/2021,3938.5,20220300,ESH22,0,0,0,0
29/03/2021,3931.0,20220300,ESH22,0,0,0,0
30/03/2021,3914.5,20220300,ESH22,0,0,0,0
31/03/2021,3937.5,20220300,ESH22,0,0,0,0
01/04/2021,3981.5,20220300,ESH22,0,0,0,0
05/04/2021,4041.0,20220300,ESH22,0,0,0,0
06/04/2021,4034.25,20220300,ESH22,0,0,0,0
07/04/2021,4041.25,20220300,ESH22,0,0,0,0
08/04/2021,4058.5,20220300,ESH22,0,0,0,0
09/04/2021,4090.25,20220300,ESH22,0,0,0,0
12/04/2021,4090.0,20220300,ESH22,0,0,0,0
13/04/2021,4104.0,20220300,ESH22,0,0,0,0
14/04/2021,4087.75,20220300,ESH22,0,0,0,0
15/04/2021,4131.75,20220300,ESH22,0,0,0,0
16/04/2021,4146.75,20220300,ESH22,0,0,0,0
19/04/2021,4124.0,20220300,ESH22,0,0,0,0
20/04/2021,4097.5,20220300,ESH22,0,0,0,0
21/04/2021,4135.5,20220300,ESH22,0,0,0,0
22/04/2021,4098.75,20220300,ESH22,0,0,0,0
23/04/2021,4143.25,20220300,ESH22,0,0,0,0
26/04/2021,4150.25,20220300,ESH22,0,0,0,0
27/04/2021,4153.25,20220300,ESH22,0,0,0,0
28/04/2021,4146.5,20220300,ESH22,0,0,0,0
29/04/2021,4174.0,20220300,ESH22,0,0,0,0
30/04/2021,4143.5,20220300,ESH22,0,0,0,0
03/05/2021,4155.75,20220300,ESH22,0,0,0,0
04/05/2021,4128.0,20220300,ESH22,1,0,0,0
