tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
22/03/2021,59.22,20211100,CLX21,7432,0,0,0
23/03/2021,56.27,20211100,CLX21,15791,0,0,0
24/03/2021,59.1,20211100,CLX21,14178,0,0,0
25/03/2021,56.79,20211100,CLX21,11397,0,0,0
26/03/2021,58.92,20211100,CLX21,11075,0,0,0
29/03/2021,59.21,20211100,CLX21,7765,0,0,0
30/03/2021,58.35,20211100,CLX21,11558,0,0,0
31/03/2021,57.29,20211100,CLX21,13408,0,0,0
01/04/2021,59.72,20211100,CLX21,19726,0,0,0
05/04/2021,57.4,20211100,CLX21,16644,0,0,0
06/04/2021,58.18,20211100,CLX21,9454,0,0,0
07/04/2021,58.48,20211100,CLX21,12584,0,0,0
08/04/2021,58.09,20211100,CLX21,20326,0,0,0
09/04/2021,57.97,20211100,CLX21,14551,0,0,0
12/04/2021,58.46,20211100,CLX21,14718,0,0,0
13/04/2021,59.03,20211100,CLX21,16718,0,0,0
14/04/2021,61.58,20211100,CLX21,22143,0,0,0
15/04/2021,61.65,20211100,CLX21,9412,0,0,0
16/04/2021,61.37,20211100,CLX21,10934,0,0,0
19/04/2021,61.47,20211100,CLX21,9862,0,0,0
20/04/2021,60.8,20211100,CLX21,15997,0,0,0
21/04/2021,59.71,20211100,CLX21,14274,0,0,0
22/04/2021,59.87,20211100,CLX21,9360,0,0,0
23/04/2021,60.5,20211100,CLX21,11888,0,0,0
26/04/2021,60.28,20211100,CLX21,8957,0,0,0
27/04/2021,61.13,20211100,CLX21,11485,0,0,0
28/04/2021,61.96,20211100,CLX21,9979,0,0,0
29/04/2021,62.9,20211100,CLX21,12028,0,0,0
30/04/2021,61.55,20211100,CLX21,23220,0,0,0
03/05/2021,62.53,20211100,CLX21,8525,0,0,0
04/05/2021,63.78,20211100,CLX21,15005,0,0,0
05/05/2021,63.83,20211100,CLX21,18636,0,0,0
06/05/2021,63.19,20211100,CLX21,18374,0,0,0
07/05/2021,63.53,20211100,CLX21,28002,0,0,0
10/05/2021,63.66,20211100,CLX21,16522,0,0,0
11/05/2021,64.08,20211100,CLX21,17206,0,0,0
12/05/2021,64.87,20211100,CLX21,16819,0,0,0
13/05/2021,62.65,20211100,CLX21,19601,0,0,0
14/05/2021,63.89,20211100,CLX21,13435,0,0,0
17/05/2021,64.66,20211100,CLX21,13805,0,0,0
18/05/2021,63.99,20211100,CLX21,18403,0,0,0
19/05/2021,61.96,20211100,CLX21,29990,0,0,0
20/05/2021,60.7,20211100,CLX21,21176,0,0,0
21/05/2021,62.09,20211100,CLX21,24468,0,0,0
24/05/2021,64.25,20211100,CLX21,19365,0,0,0
25/05/2021,64.25,20211100,CLX21,25343,0,0,0
26/05/2021,64.46,20211100,CLX21,32538,0,0,0
27/05/2021,65.0,20211100,CLX21,12870,0,0,0
28/05/2021,64.45,20211100,CLX21,27904,0,0,0
01/06/2021,65.87,20211100,CLX21,24779,0,0,0
02/06/2021,66.92,20211100,CLX21,16616,0,0,0
03/06/2021,66.9,20211100,CLX21,18139,0,0,0
04/06/2021,67.57,20211100,CLX21,20849,0,0,0
07/06/2021,67.36,20211100,CLX21,18709,0,0,0
08/06/2021,68.11,20211100,CLX21,24463,0,0,0
09/06/2021,68.05,20211100,CLX21,28302,0,0,0
10/06/2021,68.24,20211100,CLX21,28925,0,0,0
11/06/2021,68.48,20211100,CLX21,73803,0,0,0
14/06/2021,68.63,20211100,CLX21,25030,0,0,0
15/06/2021,69.58,20211100,CLX21,28787,0,0,0
16/06/2021,69.71,20211100,CLX21,32887,0,0,0
17/06/2021,68.41,20211100,CLX21,27535,0,0,0
18/06/2021,68.77,20211100,CLX21,26606,0,0,0
21/06/2021,70.07,20211100,CLX21,56179,0,0,0
22/06/2021,70.18,20211100,CLX21,48176,0,0,0
23/06/2021,70.6,20211100,CLX21,37192,0,0,0
24/06/2021,70.96,20211100,CLX21,28383,0,0,0
25/06/2021,71.52,20211100,CLX21,25106,0,0,0
28/06/2021,70.51,20211100,CLX21,23832,0,0,0
29/06/2021,70.62,20211100,CLX21,19339,0,0,0
30/06/2021,70.89,20211100,CLX21,32349,0,0,0
01/07/2021,72.05,20211100,CLX21,75611,0,0,0
02/07/2021,72.27,20211100,CLX21,47914,0,0,0
06/07/2021,70.43,20211100,CLX21,69499,0,0,0
07/07/2021,69.45,20211100,CLX21,47838,0,0,0
08/07/2021,70.19,20211100,CLX21,39357,0,0,0
09/07/2021,71.64,20211100,CLX21,28031,0,0,0
12/07/2021,71.39,20211100,CLX21,31956,0,0,0
13/07/2021,72.74,20211100,CLX21,45821,0,0,0
14/07/2021,70.96,20211100,CLX21,52773,0,0,0
15/07/2021,69.86,20211100,CLX21,43096,0,0,0
16/07/2021,70.07,20211100,CLX21,36217,0,0,0
19/07/2021,65.12,20211100,CLX21,64512,0,0,0
20/07/2021,65.95,20211100,CLX21,95939,0,0,0
21/07/2021,68.78,20211100,CLX21,77018,0,0,0
22/07/2021,70.26,20211100,CLX21,64748,0,0,0
23/07/2021,70.52,20211100,CLX21,31537,0,0,0
26/07/2021,70.57,20211100,CLX21,45602,0,0,0
27/07/2021,70.42,20211100,CLX21,51309,0,0,0
28/07/2021,71.02,20211100,CLX21,42116,0,0,0
29/07/2021,72.21,20211100,CLX21,53129,0,0,0
30/07/2021,72.43,20211100,CLX21,44636,0,0,0
02/08/2021,69.91,20211100,CLX21,56375,0,0,0
03/08/2021,69.44,20211100,CLX21,77858,0,0,0
04/08/2021,67.35,20211100,CLX21,114429,0,0,0
05/08/2021,68.32,20211100,CLX21,68154,0,0,0
06/08/2021,67.76,20211100,CLX21,112788,0,0,0
09/08/2021,65.99,20211100,CLX21,113981,0,0,0
10/08/2021,67.69,20211100,CLX21,89796,0,0,0
11/08/2021,68.65,20211100,CLX21,93681,0,0,0
12/08/2021,68.55,20211100,CLX21,79283,0,0,0
13/08/2021,67.84,20211100,CLX21,62436,0,0,0
16/08/2021,66.7,20211100,CLX21,65014,0,0,0
17/08/2021,65.99,20211100,CLX21,71199,0,0,0
18/08/2021,64.87,20211100,CLX21,85449,0,0,0
19/08/2021,63.15,20211100,CLX21,107549,0,0,0
20/08/2021,61.84,20211100,CLX21,82527,0,0,0
23/08/2021,65.34,20211100,CLX21,106604,0,0,0
24/08/2021,67.25,20211100,CLX21,91594,0,0,0
25/08/2021,68.06,20211100,CLX21,107202,0,0,0
26/08/2021,67.1,20211100,CLX21,101995,0,0,0
27/08/2021,68.48,20211100,CLX21,107406,0,0,0
30/08/2021,68.93,20211100,CLX21,129085,0,0,0
31/08/2021,68.26,20211100,CLX21,90702,0,0,0
01/09/2021,68.32,20211100,CLX21,124268,0,0,0
02/09/2021,69.73,20211100,CLX21,137711,0,0,0
03/09/2021,69.07,20211100,CLX21,101343,0,0,0
07/09/2021,68.13,20211100,CLX21,139432,0,0,0
08/09/2021,69.05,20211100,CLX21,186533,0,0,0
09/09/2021,67.92,20211100,CLX21,238497,0,0,0
10/09/2021,69.47,20211100,CLX21,199522,0,0,0
13/09/2021,70.19,20211100,CLX21,194027,0,0,0
14/09/2021,70.23,20211100,CLX21,242418,0,0,0
15/09/2021,72.33,20211100,CLX21,268425,0,0,0
16/09/2021,72.37,20211100,CLX21,232723,0,0,0
17/09/2021,71.82,20211100,CLX21,288461,0,0,0
20/09/2021,70.14,20211100,CLX21,377947,0,0,0
21/09/2021,70.49,20211100,CLX21,393403,0,0,0
22/09/2021,72.23,20211100,CLX21,381061,0,0,0
23/09/2021,73.3,20211100,CLX21,403405,0,0,0
24/09/2021,73.98,20211100,CLX21,350382,0,0,0
27/09/2021,75.45,20211100,CLX21,417829,0,0,0
28/09/2021,75.29,20211100,CLX21,476143,0,0,0
29/09/2021,74.83,20211100,CLX21,424193,0,0,0
30/09/2021,75.03,20211100,CLX21,583189,0,0,0
01/10/2021,75.88,20211100,CLX21,388996,0,0,0
04/10/2021,77.62,20211100,CLX21,458006,0,0,0
05/10/2021,78.93,20211100,CLX21,449617,0,0,0
06/10/2021,77.43,20211100,CLX21,459055,0,0,0
07/10/2021,78.3,20211100,CLX21,545008,0,0,0
08/10/2021,79.35,20211100,CLX21,662010,0,0,0
11/10/2021,80.52,20211100,CLX21,653756,0,0,0
12/10/2021,80.64,20211100,CLX21,598181,0,0,0
13/10/2021,80.44,20211100,CLX21,487220,0,0,0
14/10/2021,81.31,20211100,CLX21,399813,0,0,0
15/10/2021,82.28,20211100,CLX21,277953,0,0,0
18/10/2021,82.44,20211100,CLX21,134098,0,0,0
19/10/2021,82.96,20211100,CLX21,82607,0,0,0
20/10/2021,83.87,20211100,CLX21,20021,0,0,0
