tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
21/12/2020,155.84375,20210900,TNU21,0,0,0,0
22/12/2020,156.203125,20210900,TNU21,0,0,0,0
23/12/2020,155.6875,20210900,TNU21,0,0,0,0
24/12/2020,156.015625,20210900,TNU21,0,0,0,0
28/12/2020,156.03125,20210900,TNU21,0,0,0,0
29/12/2020,155.71875,20210900,TNU21,0,0,0,0
30/12/2020,155.859375,20210900,TNU21,0,0,0,0
31/12/2020,156.078125,20210900,TNU21,0,0,0,0
04/01/2021,156.046875,20210900,TNU21,0,0,0,0
05/01/2021,154.59375,20210900,TNU21,0,0,0,0
06/01/2021,153.34375,20210900,TNU21,0,0,0,0
07/01/2021,152.921875,20210900,TNU21,0,0,0,0
08/01/2021,152.421875,20210900,TNU21,0,0,0,0
11/01/2021,152.03125,20210900,TNU21,0,0,0,0
12/01/2021,151.984375,20210900,TNU21,0,0,0,0
13/01/2021,152.671875,20210900,TNU21,0,0,0,0
14/01/2021,152.09375,20210900,TNU21,0,0,0,0
15/01/2021,152.578125,20210900,TNU21,0,0,0,0
19/01/2021,152.65625,20210900,TNU21,0,0,0,0
20/01/2021,152.6875,20210900,TNU21,0,0,0,0
21/01/2021,152.4375,20210900,TNU21,0,0,0,0
22/01/2021,152.71875,20210900,TNU21,0,0,0,0
25/01/2021,153.421875,20210900,TNU21,0,0,0,0
26/01/2021,153.40625,20210900,TNU21,0,0,0,0
27/01/2021,153.59375,20210900,TNU21,0,0,0,0
28/01/2021,152.984375,20210900,TNU21,0,0,0,0
29/01/2021,152.453125,20210900,TNU21,0,0,0,0
01/02/2021,152.609375,20210900,TNU21,0,0,0,0
02/02/2021,152.15625,20210900,TNU21,0,0,0,0
03/02/2021,151.84375,20210900,TNU21,0,0,0,0
04/02/2021,151.703125,20210900,TNU21,0,0,0,0
05/02/2021,151.296875,20210900,TNU21,0,0,0,0
08/02/2021,151.453125,20210900,TNU21,0,0,0,0
09/02/2021,151.515625,20210900,TNU21,0,0,0,0
10/02/2021,151.8125,20210900,TNU21,0,0,0,0
11/02/2021,151.75,20210900,TNU21,0,0,0,0
12/02/2021,151.15625,20210900,TNU21,0,0,0,0
16/02/2021,149.734375,20210900,TNU21,0,0,0,0
17/02/2021,149.734375,20210900,TNU21,0,0,0,0
18/02/2021,149.90625,20210900,TNU21,0,0,0,0
19/02/2021,149.046875,20210900,TNU21,0,0,0,0
22/02/2021,148.765625,20210900,TNU21,0,0,0,0
23/02/2021,148.84375,20210900,TNU21,0,0,0,0
24/02/2021,148.515625,20210900,TNU21,0,0,0,0
25/02/2021,146.71875,20210900,TNU21,0,0,0,0
26/02/2021,147.34375,20210900,TNU21,0,0,0,0
01/03/2021,147.546875,20210900,TNU21,0,0,0,0
02/03/2021,147.984375,20210900,TNU21,0,0,0,0
03/03/2021,147.234375,20210900,TNU21,0,0,0,0
04/03/2021,146.109375,20210900,TNU21,0,0,0,0
