tradeTime,PRICE,Contract,Code,VOLUME,OPEN,HIGH,LOW
07/04/2020,38.98,20220900,CLU22,10,0,0,0
08/04/2020,38.71,20220900,CLU22,307,0,0,0
09/04/2020,38.77,20220900,CLU22,1,0,0,0
13/04/2020,39.5,20220900,CLU22,18,0,0,0
14/04/2020,40.24,20220900,CLU22,82,0,0,0
15/04/2020,38.54,20220900,CLU22,0,0,0,0
16/04/2020,38.59,20220900,CLU22,0,0,0,0
17/04/2020,38.71,20220900,CLU22,2,0,0,0
20/04/2020,38.33,20220900,CLU22,2,0,0,0
21/04/2020,35.0,20220900,CLU22,4,0,0,0
22/04/2020,36.63,20220900,CLU22,0,0,0,0
23/04/2020,36.03,20220900,CLU22,17,0,0,0
24/04/2020,35.86,20220900,CLU22,0,0,0,0
27/04/2020,35.61,20220900,CLU22,4,0,0,0
28/04/2020,35.83,20220900,CLU22,0,0,0,0
29/04/2020,35.98,20220900,CLU22,0,0,0,0
30/04/2020,37.15,20220900,CLU22,97,0,0,0
01/05/2020,36.07,20220900,CLU22,94,0,0,0
04/05/2020,36.03,20220900,CLU22,4,0,0,0
05/05/2020,37.03,20220900,CLU22,46,0,0,0
06/05/2020,36.29,20220900,CLU22,0,0,0,0
07/05/2020,36.43,20220900,CLU22,5,0,0,0
08/05/2020,37.96,20220900,CLU22,0,0,0,0
11/05/2020,36.82,20220900,CLU22,0,0,0,0
12/05/2020,36.57,20220900,CLU22,0,0,0,0
13/05/2020,36.75,20220900,CLU22,0,0,0,0
14/05/2020,37.32,20220900,CLU22,0,0,0,0
15/05/2020,37.53,20220900,CLU22,0,0,0,0
18/05/2020,39.08,20220900,CLU22,0,0,0,0
19/05/2020,38.91,20220900,CLU22,0,0,0,0
20/05/2020,39.63,20220900,CLU22,31,0,0,0
21/05/2020,39.55,20220900,CLU22,0,0,0,0
22/05/2020,39.33,20220900,CLU22,2,0,0,0
26/05/2020,40.44,20220900,CLU22,0,0,0,0
27/05/2020,40.01,20220900,CLU22,2,0,0,0
28/05/2020,40.6,20220900,CLU22,0,0,0,0
29/05/2020,41.29,20220900,CLU22,70,0,0,0
01/06/2020,41.26,20220900,CLU22,65,0,0,0
02/06/2020,41.57,20220900,CLU22,0,0,0,0
03/06/2020,42.0,20220900,CLU22,0,0,0,0
04/06/2020,42.28,20220900,CLU22,13,0,0,0
05/06/2020,42.96,20220900,CLU22,0,0,0,0
08/06/2020,41.88,20220900,CLU22,0,0,0,0
09/06/2020,42.58,20220900,CLU22,200,0,0,0
10/06/2020,42.79,20220900,CLU22,0,0,0,0
11/06/2020,40.91,20220900,CLU22,47,0,0,0
12/06/2020,40.81,20220900,CLU22,0,0,0,0
15/06/2020,41.8,20220900,CLU22,0,0,0,0
16/06/2020,42.35,20220900,CLU22,0,0,0,0
17/06/2020,41.59,20220900,CLU22,200,0,0,0
18/06/2020,41.73,20220900,CLU22,100,0,0,0
19/06/2020,41.93,20220900,CLU22,229,0,0,0
22/06/2020,42.5,20220900,CLU22,324,0,0,0
23/06/2020,42.22,20220900,CLU22,69,0,0,0
24/06/2020,41.06,20220900,CLU22,376,0,0,0
25/06/2020,41.54,20220900,CLU22,22,0,0,0
26/06/2020,41.41,20220900,CLU22,29,0,0,0
29/06/2020,42.28,20220900,CLU22,0,0,0,0
30/06/2020,41.59,20220900,CLU22,0,0,0,0
01/07/2020,42.03,20220900,CLU22,258,0,0,0
02/07/2020,42.66,20220900,CLU22,3,0,0,0
06/07/2020,42.79,20220900,CLU22,0,0,0,0
