DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,0.72795,20220300,0.7276,21211200,0.72795,20220300
2021-11-19,0.7239,20220300,0.72355,21211200,0.7239,20220300
2021-11-22,0.723,20220300,0.72265,21211200,0.723,20220300
2021-11-23,0.72265,20220300,0.72225,21211200,0.72265,20220300
2021-11-24,0.71955,20220300,0.7192,21211200,0.71955,20220300
2021-11-26,0.7132,20220300,0.7128,21211200,0.7132,20220300
2021-11-29,0.71325,20220300,0.71285,21211200,0.71325,20220300
2021-11-30,0.71255,20220300,0.71205,21211200,0.71255,20220300
2021-12-01,0.71165,20220300,0.71115,21211200,0.71165,20220300
2021-12-02,0.7094,20220300,0.7089,21211200,0.7094,20220300
2021-12-03,0.7003,20220300,0.6998,21211200,0.7003,20220300
2021-12-06,0.7046,20220300,0.70415,21211200,0.7046,20220300
2021-12-07,0.712,20220300,0.71155,21211200,0.712,20220300
2021-12-08,0.71815,20220300,0.71775,21211200,0.71815,20220300
2021-12-09,0.71475,20220300,0.71445,21211200,0.71475,20220300
2021-12-10,0.71725,20220600,0.71715,20220300,0.71725,20220600
2021-12-13,0.71415,20220600,0.71405,20220300,0.71415,20220600
2021-12-14,0.71095,20220600,0.71085,20220300,0.71095,20220600
2021-12-15,0.71475,20220600,0.7146,20220300,0.71475,20220600
2021-12-16,0.7175,20220600,0.7174,20220300,0.7175,20220600
2021-12-17,0.71395,20220600,0.7138,20220300,0.71395,20220600
2021-12-20,0.7113,20220600,0.71115,20220300,0.7113,20220600
2021-12-21,0.71565,20220600,0.7155,20220300,0.71565,20220600
2021-12-22,0.7218,20220600,0.7216,20220300,0.7218,20220600
2021-12-23,0.7253,20220600,0.7251,20220300,0.7253,20220600
2021-12-27,0.72435,20220600,0.72415,20220300,0.72435,20220600
2021-12-28,0.72325,20220600,0.72305,20220300,0.72325,20220600
2021-12-29,0.7256,20220600,0.72535,20220300,0.7256,20220600
2021-12-30,0.726,20220600,0.72575,20220300,0.726,20220600
2021-12-31,0.72805,20220600,0.7278,20220300,0.72805,20220600
2022-01-03,0.7195,20220600,0.7192,20220300,0.7195,20220600
2022-01-04,0.72465,20220600,0.72435,20220300,0.72465,20220600
2022-01-05,0.7227,20220600,0.7224,20220300,0.7227,20220600
2022-01-06,0.717,20220600,0.71665,20220300,0.717,20220600
2022-01-07,0.7189,20220600,0.71855,20220300,0.7189,20220600
2022-01-10,0.7174,20220600,0.71705,20220300,0.7174,20220600
2022-01-11,0.7214,20220600,0.72095,20220300,0.7214,20220600
2022-01-12,0.72975,20220600,0.7293,20220300,0.72975,20220600
2022-01-13,0.72955,20220600,0.72915,20220300,0.72955,20220600
2022-01-14,0.7213,20220600,0.7209,20220300,0.7213,20220600
2022-01-18,0.7191,20220600,0.71865,20220300,0.7191,20220600
2022-01-19,0.723,20220600,0.7226,20220300,0.723,20220600
2022-01-20,0.7248,20220600,0.7244,20220300,0.7248,20220600
2022-01-21,0.7182,20220600,0.71775,20220300,0.7182,20220600
2022-01-24,0.71345,20220600,0.713,20220300,0.71345,20220600
2022-01-25,0.7174,20220600,0.717,20220300,0.7174,20220600
2022-01-26,0.71285,20220600,0.71245,20220300,0.71285,20220600
2022-01-27,0.70315,20220600,0.70265,20220300,0.70315,20220600
2022-01-28,0.69885,20220600,0.6983,20220300,0.69885,20220600
2022-01-31,0.708,20220600,0.70745,20220300,0.708,20220600
2022-02-01,0.7123,20220600,0.71165,20220300,0.7123,20220600
2022-02-02,0.7153,20220600,0.7146,20220300,0.7153,20220600
2022-02-03,0.71405,20220600,0.71335,20220300,0.71405,20220600
2022-02-04,0.7084,20220600,0.70755,20220300,0.7084,20220600
2022-02-07,0.7138,20220600,0.71295,20220300,0.7138,20220600
2022-02-08,0.71445,20220600,0.7136,20220300,0.71445,20220600
2022-02-09,0.71945,20220600,0.71865,20220300,0.71945,20220600
2022-02-10,0.71815,20220600,0.7171,20220300,0.71815,20220600
2022-02-11,0.71365,20220600,0.71265,20220300,0.71365,20220600
2022-02-14,0.71325,20220600,0.71225,20220300,0.71325,20220600
2022-02-15,0.7162,20220600,0.7153,20220300,0.7162,20220600
2022-02-16,0.72125,20220600,0.7203,20220300,0.72125,20220600
2022-02-17,0.72025,20220600,0.71935,20220300,0.72025,20220600
2022-02-18,0.7195,20220600,0.71865,20220300,0.7195,20220600
2022-02-22,0.72305,20220600,0.7221,20220300,0.72305,20220600
