DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,172.77,20220300,171.24,20211200,172.77,20220300
2021-11-19,173.9,20220300,172.32,20211200,173.9,20220300
2021-11-22,173.33,20220300,171.77,20211200,173.33,20220300
2021-11-23,172.27,20220300,170.81,20211200,172.27,20220300
2021-11-24,172.0,20220300,170.54,20211200,172.0,20220300
2021-11-25,172.53,20220300,170.98,20211200,172.53,20220300
2021-11-26,173.97,20220300,172.34,20211200,173.97,20220300
2021-11-29,173.63,20220300,172.02,20211200,173.63,20220300
2021-11-30,174.09,20220300,172.37,20211200,174.09,20220300
2021-12-01,173.78,20220300,172.07,20211200,173.78,20220300
2021-12-02,174.48,20220300,172.75,20211200,174.48,20220300
2021-12-03,174.49,20220300,172.77,20211200,174.49,20220300
2021-12-06,171.78,20220600,174.73,20220300,171.78,20220600
2021-12-07,171.4,20220600,174.46,20220300,171.4,20220600
2021-12-08,170.59,20220600,173.49,20220300,170.59,20220600
2021-12-09,171.21,20220600,174.19,20220300,171.21,20220600
2021-12-10,171.24,20220600,174.24,20220300,171.24,20220600
2021-12-13,171.68,20220600,174.68,20220300,171.68,20220600
2021-12-14,171.46,20220600,174.46,20220300,171.46,20220600
2021-12-15,171.32,20220600,174.32,20220300,171.32,20220600
2021-12-16,171.05,20220600,174.05,20220300,171.05,20220600
2021-12-17,171.51,20220600,174.43,20220300,171.51,20220600
2021-12-20,171.49,20220600,174.42,20220300,171.49,20220600
2021-12-21,170.39,20220600,173.31,20220300,170.39,20220600
2021-12-22,170.23,20220600,173.14,20220300,170.23,20220600
2021-12-23,169.52,20220600,172.43,20220300,169.52,20220600
2021-12-27,169.52,20220600,172.41,20220300,169.52,20220600
2021-12-28,169.47,20220600,172.36,20220300,169.47,20220600
2021-12-29,168.62,20220600,171.51,20220300,168.62,20220600
2021-12-30,168.48,20220600,171.37,20220300,168.48,20220600
2021-12-31,168.48,20220600,171.37,20220300,168.48,20220600
2022-01-03,167.85,20220600,170.74,20220300,167.85,20220600
2022-01-04,167.94,20220600,170.81,20220300,167.94,20220600
2022-01-05,167.88,20220600,170.75,20220300,167.88,20220600
2022-01-06,167.47,20220600,170.34,20220300,167.47,20220600
2022-01-07,167.13,20220600,170.0,20220300,167.13,20220600
2022-01-10,167.09,20220600,169.96,20220300,167.09,20220600
2022-01-11,166.93,20220600,169.79,20220300,166.93,20220600
2022-01-12,167.36,20220600,170.22,20220300,167.36,20220600
2022-01-13,167.84,20220600,170.71,20220300,167.84,20220600
2022-01-14,167.21,20220600,170.08,20220300,167.21,20220600
2022-01-17,166.78,20220600,169.65,20220300,166.78,20220600
2022-01-18,166.69,20220600,169.57,20220300,166.69,20220600
2022-01-19,166.5,20220600,169.38,20220300,166.5,20220600
2022-01-20,166.86,20220600,169.74,20220300,166.86,20220600
2022-01-21,167.39,20220600,170.29,20220300,167.39,20220600
2022-01-24,167.97,20220600,170.87,20220300,167.97,20220600
2022-01-25,167.75,20220600,170.66,20220300,167.75,20220600
2022-01-26,167.44,20220600,170.35,20220300,167.44,20220600
2022-01-27,167.25,20220600,170.16,20220300,167.25,20220600
2022-01-28,167.11,20220600,170.02,20220300,167.11,20220600
2022-01-31,166.19,20220600,169.11,20220300,166.19,20220600
2022-02-01,165.84,20220600,168.76,20220300,165.84,20220600
2022-02-02,165.75,20220600,168.66,20220300,165.75,20220600
2022-02-03,163.99,20220600,166.9,20220300,163.99,20220600
2022-02-04,163.13,20220600,166.02,20220300,163.13,20220600
2022-02-07,162.68,20220600,165.6,20220300,162.68,20220600
2022-02-08,162.27,20220600,165.18,20220300,162.27,20220600
2022-02-09,162.95,20220600,165.86,20220300,162.95,20220600
2022-02-10,162.01,20220600,164.94,20220300,162.01,20220600
2022-02-11,162.02,20220600,164.95,20220300,162.02,20220600
2022-02-14,162.3,20220600,165.23,20220300,162.3,20220600
2022-02-15,161.62,20220600,164.54,20220300,161.62,20220600
2022-02-16,162.31,20220600,165.23,20220300,162.31,20220600
2022-02-17,162.93,20220600,165.84,20220300,162.93,20220600
2022-02-18,163.43,20220600,166.34,20220300,163.43,20220600
2022-02-21,163.35,20220600,166.26,20220300,163.35,20220600
2022-02-22,162.8,20220600,165.7,20220300,162.8,20220600
2022-02-23,163.08,20220600,165.99,20220300,163.08,20220600
2022-02-24,164.02,20220600,166.93,20220300,164.02,20220600
2022-02-25,163.26,20220600,166.15,20220300,163.26,20220600
2022-02-28,164.11,20220600,167.04,20220300,164.11,20220600
2022-03-01,167.33,20220600,170.3,20220300,167.33,20220600
2022-03-02,166.41,20220600,169.38,20220300,166.41,20220600
2022-03-03,166.23,20220600,169.2,20220300,166.23,20220600
2022-03-04,168.54,20220900,167.94,20220600,168.54,20220900
2022-03-07,167.48,20220900,166.92,20220600,167.48,20220900
2022-03-08,165.58,20220900,165.02,20220600,165.58,20220900
2022-03-09,164.14,20220900,163.58,20220600,164.14,20220900
2022-03-10,163.34,20220900,162.78,20220600,163.34,20220900
2022-03-11,163.0,20220900,162.44,20220600,163.0,20220900
2022-03-14,162.06,20220900,161.21,20220600,162.06,20220900
2022-03-15,162.82,20220900,161.97,20220600,162.82,20220900
2022-03-16,162.02,20220900,161.07,20220600,162.02,20220900
2022-03-17,161.84,20220900,161.01,20220600,161.84,20220900
2022-03-18,162.19,20220900,161.37,20220600,162.19,20220900
2022-03-21,161.07,20220900,160.3,20220600,161.07,20220900
2022-03-22,160.14,20220900,159.43,20220600,160.14,20220900
2022-03-23,160.55,20220900,159.8,20220600,160.55,20220900
2022-03-24,159.98,20220900,159.26,20220600,159.98,20220900
2022-03-25,159.34,20220900,158.65,20220600,159.34,20220900
2022-03-28,159.05,20220900,158.32,20220600,159.05,20220900
2022-03-29,158.04,20220900,157.37,20220600,158.04,20220900
2022-03-30,157.9,20220900,157.16,20220600,157.9,20220900
2022-03-31,159.5,20220900,158.66,20220600,159.5,20220900
2022-04-01,159.18,20220900,158.35,20220600,159.18,20220900
2022-04-04,159.98,20220900,159.1,20220600,159.98,20220900
2022-04-05,158.52,20220900,157.73,20220600,158.52,20220900
2022-04-06,158.0,20220900,157.24,20220600,158.0,20220900
2022-04-07,157.57,20220900,156.83,20220600,157.57,20220900
2022-04-08,157.31,20220900,156.57,20220600,157.31,20220900
2022-04-11,155.67,20220900,155.03,20220600,155.67,20220900
2022-04-12,155.98,20220900,155.36,20220600,155.98,20220900
2022-04-13,156.5,20220900,155.86,20220600,156.5,20220900
2022-04-14,155.45,20220900,154.95,20220600,155.45,20220900
2022-04-19,154.13,20220900,153.7,20220600,154.13,20220900
2022-04-20,155.12,20220900,154.61,20220600,155.12,20220900
2022-04-21,154.3,20220900,153.8,20220600,154.3,20220900
2022-04-22,153.75,20220900,153.25,20220600,153.75,20220900
2022-04-25,155.49,20220900,154.89,20220600,155.49,20220900
2022-04-26,156.12,20220900,155.48,20220600,156.12,20220900
2022-04-27,156.12,20220900,155.46,20220600,156.12,20220900
2022-04-28,154.75,20220900,154.15,20220600,154.75,20220900
2022-04-29,154.15,20220900,153.59,20220600,154.15,20220900
2022-05-02,154.05,20220900,153.49,20220600,154.05,20220900
2022-05-03,154.21,20220900,153.67,20220600,154.21,20220900
2022-05-04,153.72,20220900,153.18,20220600,153.72,20220900
2022-05-05,153.0,20220900,152.55,20220600,153.0,20220900
2022-05-06,151.28,20220900,150.94,20220600,151.28,20220900
2022-05-09,152.12,20220900,151.74,20220600,152.12,20220900
2022-05-10,153.43,20220900,152.95,20220600,153.43,20220900
2022-05-11,153.39,20220900,152.91,20220600,153.39,20220900
2022-05-12,155.34,20220900,154.76,20220600,155.34,20220900
2022-05-13,154.24,20220900,153.76,20220600,154.24,20220900
2022-05-16,154.55,20220900,154.03,20220600,154.55,20220900
2022-05-17,152.97,20220900,152.54,20220600,152.97,20220900
2022-05-18,153.41,20220900,152.94,20220600,153.41,20220900
2022-05-19,154.43,20220900,153.88,20220600,154.43,20220900
2022-05-20,154.47,20220900,153.93,20220600,154.47,20220900
2022-05-23,153.61,20220900,153.11,20220600,153.61,20220900
2022-05-24,154.46,20220900,153.94,20220600,154.46,20220900
2022-05-25,154.44,20220900,153.92,20220600,154.44,20220900
2022-05-26,153.74,20220900,153.26,20220600,153.74,20220900
2022-05-27,154.23,20220900,153.74,20220600,154.23,20220900
2022-05-30,153.09,20220900,152.65,20220600,153.09,20220900
2022-05-31,151.93,20220900,151.57,20220600,151.93,20220900
