DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,4.305,20220100,4.3045,20211200,4.305,20220300
2021-11-19,4.3935,20220400,4.396,20220300,4.384,20220700
2021-11-22,4.395,20220400,4.3965,20220300,4.388,20220700
2021-11-23,4.422,20220400,4.424,20220300,4.411,20220700
2021-11-24,4.47,20220400,4.4705,20220300,4.459,20220700
2021-11-26,4.289,20220400,4.291,20220300,4.2795,20220700
2021-11-29,4.3385,20220400,4.341,20220300,4.329,20220700
2021-11-30,4.275,20220400,4.28,20220300,4.268,20220700
2021-12-01,4.2435,20220400,4.2475,20220300,4.236,20220700
2021-12-02,4.2945,20220400,4.299,20220300,4.284,20220700
2021-12-03,4.263,20220400,4.267,20220300,4.2535,20220700
2021-12-06,4.3305,20220400,4.3375,20220300,4.3155,20220700
2021-12-07,4.335,20220400,4.3395,20220300,4.324,20220700
2021-12-08,4.3865,20220400,4.3935,20220300,4.375,20220700
2021-12-09,4.327,20220400,4.333,20220300,4.315,20220700
2021-12-10,4.282,20220400,4.2865,20220300,4.273,20220700
2021-12-13,4.282,20220400,4.284,20220300,4.275,20220700
2021-12-14,4.2545,20220400,4.2575,20220300,4.244,20220700
2021-12-15,4.181,20220400,4.1825,20220300,4.171,20220700
2021-12-16,4.3,20220400,4.3045,20220300,4.2885,20220700
2021-12-17,4.292,20220400,4.295,20220300,4.2805,20220700
2021-12-20,4.291,20220400,4.2935,20220300,4.2775,20220700
2021-12-21,4.3415,20220400,4.346,20220300,4.3265,20220700
2021-12-22,4.385,20220400,4.3915,20220300,4.369,20220700
2021-12-23,4.3875,20220400,4.3925,20220300,4.3705,20220700
2021-12-27,4.466,20220400,4.472,20220300,4.445,20220700
2021-12-28,4.43,20220400,4.433,20220300,4.413,20220700
2021-12-29,4.409,20220400,4.413,20220300,4.39,20220700
2021-12-30,4.389,20220400,4.3925,20220300,4.377,20220700
2021-12-31,4.4575,20220400,4.4635,20220300,4.4425,20220700
2022-01-03,4.4155,20220400,4.4215,20220300,4.4075,20220700
2022-01-04,4.47,20220400,4.475,20220300,4.4595,20220700
2022-01-05,4.411,20220400,4.4135,20220300,4.404,20220700
2022-01-06,4.3525,20220400,4.3545,20220300,4.347,20220700
2022-01-07,4.4065,20220400,4.41,20220300,4.403,20220700
2022-01-10,4.351,20220400,4.352,20220300,4.348,20220700
2022-01-11,4.4265,20220400,4.429,20220300,4.423,20220700
2022-01-12,4.5715,20220400,4.5765,20220300,4.5635,20220700
2022-01-13,4.5415,20220400,4.546,20220300,4.5355,20220700
2022-01-14,4.4195,20220400,4.4205,20220300,4.417,20220700
2022-01-18,4.3825,20220400,4.3825,20220300,4.3835,20220700
2022-01-19,4.47,20220400,4.47,20220300,4.472,20220700
2022-01-20,4.5785,20220400,4.5825,20220300,4.575,20220700
2022-01-21,4.5235,20220400,4.524,20220300,4.519,20220700
2022-01-24,4.4155,20220400,4.4125,20220300,4.415,20220700
2022-01-25,4.4525,20220400,4.45,20220300,4.4485,20220700
2022-01-26,4.518,20220400,4.515,20220300,4.513,20220700
2022-01-27,4.4255,20220400,4.4235,20220300,4.4185,20220700
2022-01-28,4.3125,20220400,4.31,20220300,4.3115,20220700
2022-01-31,4.3265,20220400,4.3245,20220300,4.324,20220700
2022-02-01,4.4315,20220400,4.434,20220300,4.427,20220700
2022-02-02,4.4935,20220400,4.496,20220300,4.4875,20220700
2022-02-03,4.472,20220400,4.471,20220300,4.4665,20220700
2022-02-04,4.49,20220400,4.4875,20220300,4.485,20220700
2022-02-07,4.4675,20220400,4.4625,20220300,4.466,20220700
2022-02-08,4.4645,20220400,4.461,20220300,4.459,20220700
2022-02-09,4.602,20220400,4.6025,20220300,4.588,20220700
2022-02-10,4.658,20220400,4.6595,20220300,4.6435,20220700
2022-02-11,4.5085,20220400,4.506,20220300,4.504,20220700
2022-02-14,4.507,20220400,4.5075,20220300,4.503,20220700
2022-02-15,4.5345,20220400,4.5315,20220300,4.532,20220700
2022-02-16,4.5395,20220400,4.5365,20220300,4.537,20220700
2022-02-17,4.5265,20220400,4.523,20220300,4.524,20220700
2022-02-18,4.524,20220400,4.5195,20220300,4.5215,20220700
2022-02-22,4.5145,20220400,4.5105,20220300,4.5125,20220700
2022-02-23,4.4855,20220400,4.484,20220300,4.485,20220700
2022-02-24,4.458,20220400,4.456,20220300,4.4575,20220700
2022-02-25,4.4805,20220400,4.472,20220300,4.4835,20220700
2022-02-28,4.451,20220400,4.4445,20220300,4.454,20220700
2022-03-01,4.5915,20220400,4.5865,20220300,4.5945,20220700
2022-03-02,4.6615,20220400,4.6555,20220300,4.661,20220700
2022-03-03,4.777,20220400,4.7715,20220300,4.7685,20220700
2022-03-04,4.933,20220400,4.929,20220300,4.9125,20220700
2022-03-07,4.725,20220400,4.722,20220300,4.719,20220700
2022-03-08,4.7035,20220400,4.7005,20220300,4.701,20220700
2022-03-09,4.5605,20220900,4.564,20220700,4.5605,20220900
2022-03-10,4.6315,20220900,4.643,20220700,4.6315,20220900
2022-03-11,4.611,20220900,4.619,20220700,4.611,20220900
2022-03-14,4.518,20220900,4.5215,20220700,4.518,20220900
2022-03-15,4.511,20220900,4.513,20220700,4.511,20220900
2022-03-16,4.5925,20220900,4.598,20220700,4.5925,20220900
2022-03-17,4.6835,20220900,4.6955,20220700,4.6835,20220900
2022-03-18,4.721,20220900,4.7335,20220700,4.721,20220900
2022-03-21,4.705,20220900,4.71,20220700,4.705,20220900
2022-03-22,4.6955,20220900,4.7,20220700,4.6955,20220900
2022-03-23,4.7695,20220900,4.7745,20220700,4.7695,20220900
2022-03-24,4.74,20220900,4.743,20220700,4.74,20220900
2022-03-25,4.698,20220900,4.7,20220700,4.698,20220900
2022-03-28,4.726,20220900,4.7285,20220700,4.726,20220900
2022-03-29,4.7275,20220900,4.733,20220700,4.7275,20220900
2022-03-30,4.751,20220900,4.7545,20220700,4.751,20220900
2022-03-31,4.753,20220900,4.7555,20220700,4.753,20220900
2022-04-01,4.692,20220900,4.694,20220700,4.692,20220900
2022-04-04,4.7825,20220900,4.7865,20220700,4.7825,20220900
2022-04-05,4.7995,20220900,4.8015,20220700,4.7995,20220900
2022-04-06,4.7445,20220900,4.7455,20220700,4.7445,20220900
2022-04-07,4.71,20220900,4.709,20220700,4.71,20220900
2022-04-08,4.7405,20220900,4.7375,20220700,4.7405,20220900
2022-04-11,4.6555,20220900,4.6495,20220700,4.6555,20220900
2022-04-12,4.7345,20220900,4.7275,20220700,4.7345,20220900
2022-04-13,4.7345,20220900,4.7305,20220700,4.7345,20220900
2022-04-14,4.7425,20220900,4.741,20220700,4.7425,20220900
2022-04-18,4.825,20220900,4.8215,20220700,4.825,20220900
2022-04-19,4.745,20220900,4.7395,20220700,4.745,20220900
2022-04-20,4.6835,20220900,4.6755,20220700,4.6835,20220900
2022-04-21,4.7315,20220900,4.7225,20220700,4.7315,20220900
2022-04-22,4.615,20220900,4.602,20220700,4.615,20220900
2022-04-25,4.4845,20220900,4.472,20220700,4.4845,20220900
2022-04-26,4.4755,20220900,4.464,20220700,4.4755,20220900
2022-04-27,4.4845,20220900,4.475,20220700,4.4845,20220900
2022-04-28,4.4425,20220900,4.4335,20220700,4.4425,20220900
2022-04-29,4.4135,20220900,4.4085,20220700,4.4135,20220900
2022-05-02,4.271,20220900,4.268,20220700,4.271,20220900
2022-05-03,4.287,20220900,4.283,20220700,4.287,20220900
2022-05-04,4.3405,20220900,4.338,20220700,4.3405,20220900
2022-05-05,4.2955,20220900,4.2915,20220700,4.2955,20220900
2022-05-06,4.2745,20220900,4.267,20220700,4.2745,20220900
2022-05-09,4.2015,20220900,4.1935,20220700,4.2015,20220900
2022-05-10,4.1635,20220900,4.1545,20220700,4.1635,20220900
2022-05-11,4.214,20220900,4.209,20220700,4.214,20220900
2022-05-12,4.106,20220900,4.1005,20220700,4.106,20220900
2022-05-13,4.178,20220900,4.175,20220700,4.178,20220900
2022-05-16,4.1935,20220900,4.1915,20220700,4.1935,20220900
2022-05-17,4.241,20220900,4.239,20220700,4.241,20220900
2022-05-18,4.18,20220900,4.1785,20220700,4.18,20220900
2022-05-19,4.284,20220900,4.283,20220700,4.284,20220900
2022-05-20,4.2785,20220900,4.275,20220700,4.2785,20220900
2022-05-23,4.348,20220900,4.3455,20220700,4.348,20220900
2022-05-24,4.31,20220900,4.305,20220700,4.31,20220900
2022-05-25,4.2615,20220900,4.2545,20220700,4.2615,20220900
2022-05-26,4.2665,20220900,4.259,20220700,4.2665,20220900
2022-05-27,4.3145,20220900,4.3065,20220700,4.3145,20220900
2022-05-31,4.3045,20220900,4.296,20220700,4.3045,20220900
2022-06-01,4.337,20220900,4.3285,20220700,4.337,20220900
2022-06-02,4.562,20220900,4.5525,20220700,4.562,20220900
2022-06-03,4.4845,20220900,4.472,20220700,4.4845,20220900
2022-06-06,4.4475,20220900,4.435,20220700,4.4475,20220900
2022-06-07,4.448,20220900,4.4355,20220700,4.448,20220900
2022-06-08,4.461,20220900,4.4545,20220700,4.461,20220900
2022-06-09,4.393,20220900,4.381,20220700,4.393,20220900
2022-06-10,4.311,20220900,4.2945,20220700,4.311,20220900
2022-06-13,4.228,20220900,4.2115,20220700,4.228,20220900
2022-06-14,4.176,20220900,4.1565,20220700,4.176,20220900
2022-06-15,4.1825,20220900,4.1635,20220700,4.1825,20220900
2022-06-16,4.1265,20220900,4.108,20220700,4.1265,20220900
2022-06-17,4.0395,20221200,4.0295,20220900,4.0395,20221200
2022-06-21,4.0565,20221200,4.0485,20220900,4.0565,20221200
2022-06-22,3.959,20221200,3.95,20220900,3.959,20221200
2022-06-23,3.761,20221200,3.7465,20220900,3.761,20221200
2022-06-24,3.7565,20221200,3.7445,20220900,3.7565,20221200
2022-06-27,3.775,20221200,3.766,20220900,3.775,20221200
2022-06-28,3.7905,20221200,3.78,20220900,3.7905,20221200
2022-06-29,3.7915,20221200,3.7805,20220900,3.7915,20221200
2022-06-30,3.7215,20221200,3.71,20220900,3.7215,20221200
2022-07-01,3.615,20221200,3.604,20220900,3.615,20221200
2022-07-05,3.425,20221200,3.415,20220900,3.425,20221200
2022-07-06,3.414,20221200,3.408,20220900,3.414,20221200
2022-07-07,3.5775,20221200,3.572,20220900,3.5775,20221200
2022-07-08,3.527,20221200,3.522,20220900,3.527,20221200
2022-07-11,3.432,20221200,3.4305,20220900,3.432,20221200
2022-07-12,3.289,20221200,3.288,20220900,3.289,20221200
2022-07-13,3.3235,20221200,3.3225,20220900,3.3235,20221200
2022-07-14,3.2125,20221200,3.2115,20220900,3.2125,20221200
2022-07-15,3.2375,20221200,3.234,20220900,3.2375,20221200
2022-07-18,3.3535,20221200,3.346,20220900,3.3535,20221200
2022-07-19,3.2985,20221200,3.291,20220900,3.2985,20221200
2022-07-20,3.3325,20221200,3.325,20220900,3.3325,20221200
2022-07-21,3.3055,20221200,3.2985,20220900,3.3055,20221200
2022-07-22,3.357,20221200,3.3495,20220900,3.357,20221200
2022-07-25,3.3665,20221200,3.3545,20220900,3.3665,20221200
2022-07-26,3.3975,20221200,3.3845,20220900,3.3975,20221200
2022-07-27,3.441,20221200,3.43,20220900,3.441,20221200
2022-07-28,3.4875,20221200,3.4745,20220900,3.4875,20221200
2022-07-29,3.5805,20221200,3.5735,20220900,3.5805,20221200
2022-08-01,3.551,20221200,3.5425,20220900,3.551,20221200
2022-08-02,3.5265,20221200,3.5185,20220900,3.5265,20221200
2022-08-03,3.4765,20221200,3.467,20220900,3.4765,20221200
2022-08-04,3.4935,20221200,3.4815,20220900,3.4935,20221200
2022-08-05,3.565,20221200,3.552,20220900,3.565,20221200
2022-08-08,3.5985,20221200,3.5865,20220900,3.5985,20221200
2022-08-09,3.5985,20221200,3.5855,20220900,3.5985,20221200
2022-08-10,3.6605,20221200,3.6495,20220900,3.6605,20221200
2022-08-11,3.7165,20221200,3.7065,20220900,3.7165,20221200
2022-08-12,3.679,20221200,3.6685,20220900,3.679,20221200
2022-08-15,3.6265,20221200,3.6175,20220900,3.6265,20221200
2022-08-16,3.6305,20221200,3.6245,20220900,3.6305,20221200
2022-08-17,3.59,20221200,3.5835,20220900,3.59,20221200
2022-08-18,3.636,20221200,3.6315,20220900,3.636,20221200
2022-08-19,3.6765,20230300,3.671,20221200,3.6765,20230300
2022-08-22,3.6565,20230300,3.6535,20221200,3.6565,20230300
2022-08-23,3.692,20230300,3.6915,20221200,3.692,20230300
2022-08-24,3.651,20230300,3.648,20221200,3.651,20230300
2022-08-25,3.6965,20230300,3.698,20221200,3.6965,20230300
2022-08-26,3.6985,20230300,3.697,20221200,3.6985,20230300
2022-08-29,3.614,20230300,3.6105,20221200,3.614,20230300
2022-08-30,3.556,20230300,3.551,20221200,3.556,20230300
2022-08-31,3.517,20230300,3.5185,20221200,3.517,20230300
2022-09-01,3.405,20230300,3.4065,20221200,3.405,20230300
2022-09-02,3.409,20230300,3.4135,20221200,3.409,20230300
2022-09-06,3.459,20230300,3.462,20221200,3.459,20230300
2022-09-07,3.4265,20230300,3.4305,20221200,3.4265,20230300
2022-09-08,3.522,20230300,3.527,20221200,3.522,20230300
2022-09-09,3.5615,20230300,3.568,20221200,3.5615,20230300
2022-09-12,3.603,20230300,3.6105,20221200,3.603,20230300
2022-09-13,3.548,20230300,3.5555,20221200,3.548,20230300
2022-09-14,3.5135,20230300,3.5195,20221200,3.5135,20230300
2022-09-15,3.48,20230300,3.49,20221200,3.48,20230300
2022-09-16,3.505,20230300,3.5165,20221200,3.505,20230300
2022-09-19,3.5045,20230300,3.5125,20221200,3.5045,20230300
2022-09-20,3.4955,20230300,3.503,20221200,3.4955,20230300
2022-09-21,3.4585,20230300,3.467,20221200,3.4585,20230300
2022-09-22,3.4615,20230300,3.471,20221200,3.4615,20230300
2022-09-23,3.337,20230300,3.343,20221200,3.337,20230300
2022-09-26,3.2855,20230300,3.2945,20221200,3.2855,20230300
2022-09-27,3.2755,20230300,3.2835,20221200,3.2755,20230300
2022-09-28,3.347,20230300,3.3585,20221200,3.347,20230300
2022-09-29,3.403,20230300,3.418,20221200,3.403,20230300
2022-09-30,3.394,20230300,3.4125,20221200,3.394,20230300
