DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,115.14,20220300,117.59,20211200,115.14,20220300
2021-11-19,116.43,20220300,119.22,20211200,116.43,20220300
2021-11-22,115.97,20220300,117.71,20211200,115.97,20220300
2021-11-23,115.66,20220300,120.36,20211200,115.66,20220300
2021-11-24,115.78,20220300,120.38,20211200,115.78,20220300
2021-11-26,109.93,20220500,111.78,20220300,109.93,20220500
2021-11-29,109.61,20220500,111.41,20220300,109.61,20220500
2021-11-30,104.61,20220500,106.41,20220300,104.61,20220500
2021-12-01,102.77,20220500,104.19,20220300,102.77,20220500
2021-12-02,102.4,20220500,103.7,20220300,102.4,20220500
2021-12-03,102.91,20220500,104.2,20220300,102.91,20220500
2021-12-06,105.67,20220500,107.01,20220300,105.67,20220500
2021-12-07,105.04,20220500,106.37,20220300,105.04,20220500
2021-12-08,105.32,20220500,106.72,20220300,105.32,20220500
2021-12-09,105.24,20220500,106.59,20220300,105.24,20220500
2021-12-10,104.93,20220500,106.23,20220300,104.93,20220500
2021-12-13,105.48,20220500,106.81,20220300,105.48,20220500
2021-12-14,104.55,20220500,105.9,20220300,104.55,20220500
2021-12-15,104.37,20220500,105.79,20220300,104.37,20220500
2021-12-16,107.93,20220500,109.68,20220300,107.93,20220500
2021-12-17,105.7,20220500,107.3,20220300,105.7,20220500
2021-12-20,103.83,20220500,105.54,20220300,103.83,20220500
2021-12-21,105.23,20220500,107.27,20220300,105.23,20220500
2021-12-22,106.8,20220500,108.83,20220300,106.8,20220500
2021-12-23,107.05,20220500,109.12,20220300,107.05,20220500
2021-12-27,109.83,20220500,112.28,20220300,109.83,20220500
2021-12-28,108.04,20220500,110.05,20220300,108.04,20220500
2021-12-29,110.37,20220500,112.99,20220300,110.37,20220500
2021-12-30,111.44,20220500,114.34,20220300,111.44,20220500
2021-12-31,110.48,20220500,112.6,20220300,110.48,20220500
2022-01-03,110.91,20220500,113.23,20220300,110.91,20220500
2022-01-04,113.65,20220500,116.39,20220300,113.65,20220500
2022-01-05,113.61,20220500,116.28,20220300,113.61,20220500
2022-01-06,112.28,20220500,114.72,20220300,112.28,20220500
2022-01-07,112.88,20220500,115.12,20220300,112.88,20220500
2022-01-10,113.07,20220500,115.22,20220300,113.07,20220500
2022-01-11,113.89,20220500,116.02,20220300,113.89,20220500
2022-01-12,114.98,20220500,117.64,20220300,114.98,20220500
2022-01-13,114.47,20220500,116.84,20220300,114.47,20220500
2022-01-14,116.34,20220500,119.7,20220300,116.34,20220500
