DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,77.55,20220200,76.62,20220300,74.25,20220600
2021-11-19,75.23,20220200,74.42,20220300,72.29,20220600
2021-11-22,76.12,20220200,75.39,20220300,73.41,20220600
2021-11-23,77.94,20220200,77.27,20220300,75.41,20220600
2021-11-24,77.81,20220200,77.15,20220300,75.25,20220600
2021-11-26,67.84,20220200,67.48,20220300,66.3,20220600
2021-11-29,69.62,20220200,69.28,20220300,68.19,20220600
2021-11-30,65.85,20220200,65.49,20220300,64.47,20220600
2021-12-01,65.37,20220200,65.11,20220300,64.25,20220600
2021-12-02,66.27,20220200,66.03,20220300,65.24,20220600
2021-12-03,66.1,20220200,65.93,20220300,65.26,20220600
2021-12-06,69.3,20220200,69.07,20220300,68.21,20220600
2021-12-07,71.84,20220200,71.56,20220300,70.61,20220600
2021-12-08,72.18,20220200,71.9,20220300,71.08,20220600
2021-12-09,70.79,20220200,70.54,20220300,69.79,20220600
2021-12-10,71.48,20220200,71.22,20220300,70.37,20220600
2021-12-13,71.06,20220200,70.8,20220300,69.95,20220600
2021-12-14,70.52,20220200,70.26,20220300,69.42,20220600
2021-12-15,70.66,20220200,70.36,20220300,69.41,20220600
2021-12-16,72.15,20220200,71.75,20220300,70.55,20220600
2021-12-17,70.72,20220200,70.35,20220300,69.1,20220600
2021-12-20,68.61,20220200,68.36,20220300,67.31,20220600
2021-12-21,71.12,20220200,70.82,20220300,69.64,20220600
2021-12-22,72.76,20220200,72.33,20220300,70.79,20220600
2021-12-23,73.79,20220200,73.42,20220300,71.82,20220600
2021-12-27,75.57,20220200,75.18,20220300,73.54,20220600
2021-12-28,75.98,20220200,75.6,20220300,74.0,20220600
2021-12-29,76.56,20220200,76.18,20220300,74.61,20220600
2021-12-30,76.99,20220200,76.61,20220300,74.99,20220600
2021-12-31,75.21,20220200,74.88,20220300,73.37,20220600
2022-01-03,76.08,20220200,75.85,20220300,74.54,20220600
2022-01-04,76.99,20220200,76.74,20220300,75.47,20220600
2022-01-05,77.85,20220200,77.47,20220300,75.91,20220600
2022-01-06,79.46,20220200,78.88,20220300,76.94,20220600
2022-01-07,78.9,20220200,78.44,20220300,76.56,20220600
2022-01-10,78.23,20220200,77.7,20220300,75.85,20220600
2022-01-11,81.22,20220200,80.67,20220300,78.57,20220600
2022-01-12,82.64,20220200,82.02,20220300,79.5,20220600
2022-01-13,82.12,20220200,81.62,20220300,79.29,20220600
2022-01-14,83.82,20220200,83.3,20220300,80.69,20220600
2022-01-18,85.43,20220200,84.83,20220300,82.0,20220600
2022-01-19,86.96,20220200,85.8,20220300,82.82,20220600
2022-01-20,86.9,20220200,85.55,20220300,82.89,20220600
2022-01-21,83.2,20220500,82.28,20220600,79.7,20220900
2022-01-24,81.54,20220500,80.68,20220600,78.21,20220900
2022-01-25,83.29,20220500,82.27,20220600,79.55,20220900
2022-01-26,84.78,20220500,83.67,20220600,80.77,20220900
2022-01-27,84.13,20220500,83.03,20220600,80.13,20220900
2022-01-28,84.21,20220500,83.06,20220600,80.08,20220900
2022-01-31,85.11,20220500,83.85,20220600,80.71,20220900
2022-02-01,85.02,20220500,83.72,20220600,80.58,20220900
2022-02-02,85.32,20220500,84.07,20220600,80.99,20220900
2022-02-03,87.0,20220500,85.67,20220600,82.4,20220900
2022-02-04,88.78,20220500,87.36,20220600,83.79,20220900
2022-02-07,88.33,20220500,87.02,20220600,83.66,20220900
2022-02-08,86.55,20220500,85.29,20220600,82.08,20220900
2022-02-09,87.33,20220500,86.15,20220600,83.02,20220900
2022-02-10,87.26,20220500,86.01,20220600,82.84,20220900
2022-02-11,89.7,20220500,88.09,20220600,84.47,20220900
2022-02-14,91.52,20220500,89.6,20220600,85.45,20220900
2022-02-15,88.29,20220500,86.39,20220600,82.43,20220900
2022-02-16,89.81,20220500,87.79,20220600,83.45,20220900
2022-02-17,88.19,20220500,86.35,20220600,82.4,20220900
2022-02-18,88.6,20220500,86.92,20220600,83.14,20220900
2022-02-22,90.39,20220500,88.67,20220600,84.66,20220900
2022-02-23,90.69,20220500,89.08,20220600,85.28,20220900
2022-02-24,90.94,20220500,88.84,20220600,84.29,20220900
2022-02-25,89.89,20220500,87.93,20220600,83.6,20220900
2022-02-28,93.5,20220500,90.98,20220600,85.25,20220900
2022-03-01,100.21,20220500,96.24,20220600,87.34,20220900
2022-03-02,107.06,20220500,102.37,20220600,91.27,20220900
2022-03-03,104.61,20220500,100.74,20220600,91.23,20220900
2022-03-04,112.11,20220500,108.12,20220600,98.54,20220900
2022-03-07,115.8,20220500,111.71,20220600,101.5,20220900
2022-03-08,119.65,20220500,115.21,20220600,103.41,20220900
2022-03-09,105.05,20220500,100.95,20220600,91.22,20220900
2022-03-10,102.99,20220500,99.64,20220600,91.59,20220900
2022-03-11,106.3,20220500,103.2,20220600,95.31,20220900
2022-03-14,101.18,20220500,98.44,20220600,91.18,20220900
2022-03-15,94.79,20220500,92.83,20220600,87.35,20220900
2022-03-16,93.59,20220500,91.59,20220600,85.95,20220900
2022-03-17,101.65,20220500,99.38,20220600,92.36,20220900
2022-03-18,103.09,20220500,100.65,20220600,93.62,20220900
2022-03-21,109.97,20220500,107.06,20220600,98.37,20220900
2022-03-22,109.27,20220500,106.55,20220600,98.03,20220900
2022-03-23,114.93,20220500,111.99,20220600,102.12,20220900
2022-03-24,112.34,20220500,109.43,20220600,99.75,20220900
2022-03-25,113.9,20220500,111.06,20220600,101.31,20220900
2022-03-28,105.96,20220500,103.42,20220600,95.09,20220900
2022-03-29,104.24,20220500,102.05,20220600,94.64,20220900
2022-03-30,107.82,20220500,105.68,20220600,98.24,20220900
2022-03-31,100.28,20220500,98.52,20220600,93.32,20220900
2022-04-01,99.27,20220500,97.9,20220600,94.29,20220900
2022-04-04,103.28,20220500,101.84,20220600,97.95,20220900
2022-04-05,101.96,20220500,100.68,20220600,97.07,20220900
2022-04-06,96.23,20220500,95.41,20220600,92.86,20220900
2022-04-07,96.03,20220500,95.51,20220600,93.42,20220900
2022-04-08,96.29,20220800,95.51,20220900,93.82,20221100
2022-04-11,92.97,20220800,92.46,20220900,91.23,20221100
2022-04-12,98.52,20220800,97.58,20220900,95.59,20221100
2022-04-13,101.76,20220800,100.52,20220900,98.17,20221100
2022-04-14,104.03,20220800,102.47,20220900,99.59,20221100
2022-04-18,104.74,20220800,103.01,20220900,99.86,20221100
2022-04-19,99.84,20220800,98.34,20220900,95.33,20221100
2022-04-20,100.17,20220800,98.76,20220900,95.85,20221100
2022-04-21,101.74,20220800,100.23,20220900,97.26,20221100
2022-04-22,99.72,20220800,98.16,20220900,95.09,20221100
2022-04-25,96.53,20220800,95.18,20220900,92.41,20221100
2022-04-26,98.95,20220800,97.39,20220900,94.34,20221100
2022-04-27,99.21,20220800,97.66,20220900,94.56,20221100
2022-04-28,101.52,20220800,99.47,20220900,95.77,20221100
2022-04-29,100.88,20220800,98.69,20220900,94.94,20221100
2022-05-02,101.38,20220800,99.29,20220900,95.57,20221100
2022-05-03,99.22,20220800,97.52,20220900,94.22,20221100
2022-05-04,104.42,20220800,102.49,20220900,98.76,20221100
2022-05-05,104.86,20220800,102.84,20220900,99.04,20221100
2022-05-06,106.48,20220800,104.45,20220900,100.57,20221100
2022-05-09,100.1,20220800,98.35,20220900,95.07,20221100
2022-05-10,96.87,20220800,95.26,20220900,92.33,20221100
2022-05-11,102.2,20220800,100.34,20220900,96.95,20221100
2022-05-12,102.42,20220800,100.42,20220900,96.81,20221100
2022-05-13,106.27,20220800,103.86,20220900,99.66,20221100
2022-05-16,108.91,20220800,105.93,20220900,100.99,20221100
2022-05-17,106.76,20220800,103.86,20220900,99.11,20221100
2022-05-18,104.07,20220800,101.08,20220900,96.31,20221100
2022-05-19,106.82,20220800,103.67,20220900,98.61,20221100
2022-05-20,107.17,20220800,103.94,20220900,98.7,20221100
2022-05-23,107.54,20220800,104.61,20220900,99.66,20221100
2022-05-24,107.2,20220800,104.45,20220900,99.76,20221100
2022-05-25,107.75,20220800,105.03,20220900,100.42,20221100
2022-05-26,111.25,20220800,108.28,20220900,103.26,20221100
2022-05-27,112.23,20220800,109.23,20220900,104.13,20221100
2022-05-31,111.91,20220800,108.9,20220900,103.59,20221100
2022-06-01,112.72,20220800,109.96,20220900,104.93,20221100
2022-06-02,114.3,20220800,111.58,20220900,106.42,20221100
2022-06-03,116.23,20220800,113.47,20220900,108.21,20221100
2022-06-06,116.06,20220800,113.35,20220900,108.24,20221100
2022-06-07,117.1,20220800,114.54,20220900,109.74,20221100
2022-06-08,119.78,20220800,117.15,20220900,112.18,20221100
2022-06-09,119.09,20220800,116.49,20220900,111.69,20221100
2022-06-10,118.12,20220800,115.34,20220900,110.38,20221100
2022-06-13,118.25,20220800,115.31,20220900,110.25,20221100
2022-06-14,116.26,20220800,113.48,20220900,108.5,20221100
2022-06-15,113.09,20220800,110.75,20220900,106.27,20221100
2022-06-16,115.25,20220800,112.7,20220900,108.05,20221100
2022-06-17,107.99,20220800,105.78,20220900,101.56,20221100
2022-06-21,109.52,20220800,107.34,20220900,102.97,20221100
2022-06-22,106.19,20220800,103.99,20220900,99.9,20221100
2022-06-23,104.27,20220800,101.58,20220900,96.88,20221100
2022-06-24,107.62,20220800,104.45,20220900,98.97,20221100
2022-06-27,109.57,20220800,106.38,20220900,100.68,20221100
2022-06-28,111.76,20220800,108.89,20220900,103.43,20221100
2022-06-29,109.78,20220800,107.01,20220900,101.56,20221100
2022-06-30,105.76,20220800,103.1,20220900,97.75,20221100
2022-07-01,108.43,20220800,105.39,20220900,99.62,20221100
2022-07-05,99.5,20220800,96.52,20220900,90.73,20221100
2022-07-06,98.53,20220800,94.98,20220900,89.24,20221100
2022-07-07,102.73,20220800,99.25,20220900,93.24,20221100
2022-07-08,104.79,20220800,101.53,20220900,95.59,20221100
2022-07-11,104.09,20220800,101.21,20220900,95.58,20221100
2022-07-12,95.84,20220800,93.31,20220900,88.48,20221100
2022-07-13,96.3,20220800,93.83,20220900,89.27,20221100
2022-07-14,95.78,20220800,92.83,20220900,87.96,20221100
2022-07-15,97.59,20220800,94.57,20220900,89.37,20221100
2022-07-18,102.6,20220800,99.42,20220900,93.79,20221100
2022-07-19,104.22,20220800,100.74,20220900,94.71,20221100
2022-07-20,96.88,20221000,94.45,20221100,92.42,20221200
2022-07-21,93.78,20221000,91.72,20221100,89.95,20221200
2022-07-22,92.43,20221000,90.6,20221100,88.93,20221200
2022-07-25,94.42,20221000,92.58,20221100,90.89,20221200
2022-07-26,92.88,20221000,91.32,20221100,89.84,20221200
2022-07-27,95.29,20221000,93.79,20221100,92.34,20221200
2022-07-28,94.65,20221000,93.28,20221100,91.91,20221200
2022-07-29,96.75,20221000,95.3,20221100,93.87,20221200
2022-08-01,92.39,20221000,91.34,20221100,90.29,20221200
2022-08-02,93.22,20221000,92.29,20221100,91.33,20221200
2022-08-03,89.74,20221000,89.07,20221100,88.32,20221200
2022-08-04,87.56,20221000,86.81,20221100,85.99,20221200
2022-08-05,88.08,20221000,87.26,20221100,86.39,20221200
2022-08-08,89.93,20221000,89.16,20221100,88.36,20221200
2022-08-09,89.67,20221000,88.9,20221100,88.08,20221200
2022-08-10,91.2,20221000,90.47,20221100,89.68,20221200
2022-08-11,93.53,20221000,92.69,20221100,91.79,20221200
2022-08-12,91.46,20221000,90.87,20221100,90.16,20221200
2022-08-15,88.85,20221000,88.41,20221100,87.9,20221200
2022-08-16,86.16,20221000,85.86,20221100,85.48,20221200
2022-08-17,87.69,20221000,87.3,20221100,86.84,20221200
2022-08-18,90.11,20221000,89.67,20221100,89.08,20221200
2022-08-19,90.44,20221000,90.11,20221100,89.61,20221200
2022-08-22,90.36,20221000,89.97,20221100,89.45,20221200
2022-08-23,93.74,20221000,93.25,20221100,92.53,20221200
2022-08-24,94.89,20221000,94.4,20221100,93.65,20221200
2022-08-25,92.52,20221000,92.19,20221100,91.58,20221200
2022-08-26,93.06,20221000,92.39,20221100,91.55,20221200
2022-08-29,97.01,20221000,96.19,20221100,95.03,20221200
2022-08-30,91.64,20221000,91.17,20221100,90.46,20221200
2022-08-31,89.55,20221000,89.03,20221100,88.31,20221200
2022-09-01,86.61,20221000,86.22,20221100,85.66,20221200
2022-09-02,86.87,20221000,86.48,20221100,85.9,20221200
2022-09-06,86.88,20221000,86.51,20221100,86.03,20221200
2022-09-07,81.94,20221000,81.63,20221100,81.25,20221200
2022-09-08,83.07,20221100,82.46,20221200,81.8,20230100
2022-09-09,86.36,20221100,85.75,20221200,85.05,20230100
2022-09-12,87.41,20221100,86.86,20221200,86.21,20230100
2022-09-13,86.89,20221100,86.25,20221200,85.5,20230100
2022-09-14,88.05,20221100,87.36,20221200,86.5,20230100
2022-09-15,84.65,20221100,83.9,20221200,82.96,20230100
2022-09-16,84.76,20221100,84.07,20221200,83.16,20230100
2022-09-19,85.36,20221100,84.61,20221200,83.68,20230100
2022-09-20,83.94,20221100,83.28,20221200,82.37,20230100
2022-09-21,82.94,20221100,82.43,20221200,81.62,20230100
2022-09-22,83.49,20221100,83.03,20221200,82.27,20230100
2022-09-23,78.74,20221100,78.25,20221200,77.53,20230100
2022-09-26,76.71,20221100,76.18,20221200,75.45,20230100
2022-09-27,78.5,20221100,77.81,20221200,76.93,20230100
2022-09-28,82.15,20221100,81.24,20221200,80.2,20230100
2022-09-29,81.23,20221100,80.42,20221200,79.42,20230100
2022-09-30,79.49,20221100,78.72,20221200,77.75,20230100
2022-10-03,83.63,20221100,82.7,20221200,81.38,20230100
2022-10-04,86.52,20221100,85.5,20221200,84.17,20230100
2022-10-05,87.76,20221100,86.84,20221200,85.7,20230100
2022-10-06,88.45,20221100,87.59,20221200,86.51,20230100
2022-10-07,92.64,20221100,91.35,20221200,89.85,20230100
2022-10-10,89.84,20221200,88.4,20230100,85.43,20230300
2022-10-11,87.97,20221200,86.56,20230100,83.68,20230300
2022-10-12,86.06,20221200,84.74,20230100,82.04,20230300
2022-10-13,87.95,20221200,86.65,20230100,83.9,20230300
2022-10-14,84.65,20221200,83.55,20230100,81.08,20230300
2022-10-17,84.53,20221200,83.51,20230100,81.14,20230300
