DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,26.37,20191000,26.37,20190900,26.37,20191000
2019-09-16,27.02,20191000,27.02,20190900,27.02,20191000
2019-09-17,26.2,20191000,26.2,20190900,26.2,20191000
2019-09-18,25.44,20191000,25.44,20190900,25.44,20191000
2019-09-19,25.94,20191000,25.94,20190900,25.94,20191000
2019-09-20,26.52,20191100,26.51,20191000,26.52,20191100
2019-09-23,25.79,20191100,25.78,20191000,25.79,20191100
2019-09-24,25.53,20191100,25.52,20191000,25.53,20191100
2019-09-25,25.2,20191100,25.19,20191000,25.2,20191100
2019-09-26,25.63,20191100,25.62,20191000,25.63,20191100
2019-09-27,25.29,20191100,25.29,20191000,25.29,20191100
2019-09-30,24.72,20191100,24.72,20191000,24.72,20191100
2019-10-01,25.04,20191100,25.04,20191000,25.04,20191100
2019-10-02,24.2,20191100,24.2,20191000,24.2,20191100
2019-10-03,23.25,20191100,23.24,20191000,23.25,20191100
2019-10-04,22.94,20191100,22.94,20191000,22.94,20191100
2019-10-07,23.41,20191100,23.41,20191000,23.41,20191100
2019-10-08,22.53,20191100,22.53,20191000,22.53,20191100
2019-10-09,22.65,20191100,22.65,20191000,22.65,20191100
2019-10-10,23.26,20191100,23.26,20191000,23.26,20191100
2019-10-11,24.44,20191100,24.44,20191000,24.44,20191100
2019-10-14,24.15,20191100,24.15,20191000,24.15,20191100
2019-10-15,25.71,20191100,25.71,20191000,25.71,20191100
2019-10-16,26.3,20191100,26.3,20191000,26.3,20191100
2019-10-17,26.06,20191100,26.06,20191000,26.06,20191100
2019-10-18,25.88,20191200,25.88,20191100,25.88,20191200
2019-10-21,25.93,20191200,25.93,20191100,25.93,20191200
2019-10-22,25.66,20191200,25.66,20191100,25.66,20191200
2019-10-23,24.75,20191200,24.75,20191100,24.75,20191200
2019-10-24,25.44,20191200,25.44,20191100,25.44,20191200
2019-10-25,24.97,20191200,24.96,20191100,24.97,20191200
2019-10-28,25.12,20191200,25.11,20191100,25.12,20191200
2019-10-29,25.45,20191200,25.44,20191100,25.45,20191200
2019-10-30,26.0,20191200,25.99,20191100,26.0,20191200
2019-10-31,25.61,20191200,25.6,20191100,25.61,20191200
2019-11-01,25.29,20191200,25.28,20191100,25.29,20191200
2019-11-04,25.63,20191200,25.62,20191100,25.63,20191200
2019-11-05,25.51,20191200,25.5,20191100,25.51,20191200
2019-11-06,24.79,20191200,24.78,20191100,24.79,20191200
2019-11-07,24.94,20191200,24.93,20191100,24.94,20191200
2019-11-08,24.84,20191200,24.83,20191100,24.84,20191200
2019-11-11,24.93,20191200,24.92,20191100,24.93,20191200
2019-11-12,24.12,20191200,24.11,20191100,24.12,20191200
2019-11-13,24.39,20191200,24.38,20191100,24.39,20191200
2019-11-14,23.96,20191200,23.95,20191100,23.96,20191200
2019-11-15,23.88,20200100,23.85,20191200,23.88,20200100
2019-11-18,23.41,20200100,23.39,20191200,23.41,20200100
2019-11-19,23.46,20200100,23.44,20191200,23.46,20200100
2019-11-20,24.05,20200100,24.03,20191200,24.05,20200100
2019-11-21,23.96,20200100,23.94,20191200,23.96,20200100
2019-11-22,24.6,20200100,24.58,20191200,24.6,20200100
2019-11-25,24.46,20200100,24.44,20191200,24.46,20200100
