DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,4361.5,20220300,4378.0,20211200,4361.5,20220300
2021-11-19,4338.5,20220300,4355.0,20211200,4338.5,20220300
2021-11-22,4325.0,20220300,4341.5,20211200,4325.0,20220300
2021-11-23,4271.5,20220300,4288.5,20211200,4271.5,20220300
2021-11-24,4260.0,20220300,4277.0,20211200,4260.0,20220300
2021-11-25,4272.0,20220300,4289.0,20211200,4272.0,20220300
2021-11-26,4066.5,20220300,4084.0,20211200,4066.5,20220300
2021-11-29,4089.0,20220300,4106.0,20211200,4089.0,20220300
2021-11-30,4060.0,20220300,4077.0,20211200,4060.0,20220300
2021-12-01,4160.0,20220300,4177.0,20211200,4160.0,20220300
2021-12-02,4095.0,20220300,4112.0,20211200,4095.0,20220300
2021-12-03,4050.0,20220300,4068.0,20211200,4050.0,20220300
2021-12-06,4125.0,20220300,4143.5,20211200,4125.0,20220300
2021-12-07,4255.0,20220300,4273.0,20211200,4255.0,20220300
2021-12-08,4215.5,20220300,4234.0,20211200,4215.5,20220300
2021-12-09,4188.5,20220300,4207.0,20211200,4188.5,20220300
2021-12-10,4181.5,20220300,4200.0,20211200,4181.5,20220300
2021-12-13,4087.0,20220600,4162.0,20220300,4087.0,20220600
2021-12-14,4058.5,20220600,4133.0,20220300,4058.5,20220600
2021-12-15,4068.5,20220600,4143.5,20220300,4068.5,20220600
2021-12-16,4117.0,20220600,4191.5,20220300,4117.0,20220600
2021-12-17,4071.5,20220600,4145.5,20220300,4071.5,20220600
2021-12-20,4015.5,20220600,4090.0,20220300,4015.5,20220600
2021-12-21,4079.0,20220600,4154.5,20220300,4079.0,20220600
2021-12-22,4116.0,20220600,4191.5,20220300,4116.0,20220600
2021-12-23,4173.5,20220600,4248.5,20220300,4173.5,20220600
2021-12-27,4203.0,20220600,4278.0,20220300,4203.0,20220600
2021-12-28,4225.5,20220600,4301.0,20220300,4225.5,20220600
2021-12-29,4190.5,20220600,4266.0,20220300,4190.5,20220600
2021-12-30,4212.5,20220600,4287.5,20220300,4212.5,20220600
2021-12-31,4212.5,20220600,4287.5,20220300,4212.5,20220600
2022-01-03,4248.5,20220600,4324.5,20220300,4248.5,20220600
2022-01-04,4270.0,20220600,4346.5,20220300,4270.0,20220600
2022-01-05,4302.0,20220600,4379.5,20220300,4302.0,20220600
2022-01-06,4232.0,20220600,4309.5,20220300,4232.0,20220600
2022-01-07,4210.0,20220600,4287.5,20220300,4210.0,20220600
2022-01-10,4162.5,20220600,4240.0,20220300,4162.5,20220600
2022-01-11,4192.5,20220600,4270.0,20220300,4192.5,20220600
2022-01-12,4225.5,20220600,4303.0,20220300,4225.5,20220600
2022-01-13,4225.0,20220600,4303.0,20220300,4225.0,20220600
2022-01-14,4179.0,20220600,4257.0,20220300,4179.0,20220600
2022-01-17,4215.0,20220600,4293.0,20220300,4215.0,20220600
2022-01-18,4174.5,20220600,4252.5,20220300,4174.5,20220600
2022-01-19,4170.5,20220600,4249.0,20220300,4170.5,20220600
2022-01-20,4208.0,20220600,4286.5,20220300,4208.0,20220600
2022-01-21,4135.5,20220600,4214.0,20220300,4135.5,20220600
2022-01-24,3978.5,20220600,4057.0,20220300,3978.5,20220600
2022-01-25,3995.0,20220600,4073.5,20220300,3995.0,20220600
2022-01-26,4075.5,20220600,4154.0,20220300,4075.5,20220600
2022-01-27,4084.0,20220600,4163.0,20220300,4084.0,20220600
2022-01-28,4048.5,20220600,4127.0,20220300,4048.5,20220600
2022-01-31,4064.0,20220600,4143.0,20220300,4064.0,20220600
2022-02-01,4125.5,20220600,4204.5,20220300,4125.5,20220600
2022-02-02,4138.5,20220600,4217.5,20220300,4138.5,20220600
2022-02-03,4052.5,20220600,4131.5,20220300,4052.5,20220600
