DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,4.902,20211200,4.995,20220100,4.904,20220200
2021-11-19,5.065,20211200,5.145,20220100,5.052,20220200
2021-11-22,4.789,20211200,4.861,20220100,4.769,20220200
2021-11-23,4.967,20211200,5.035,20220100,4.941,20220200
2021-11-24,5.068,20211200,5.114,20220100,5.017,20220200
2021-11-26,5.477,20220100,5.364,20220200,5.044,20220300
2021-11-29,4.854,20220100,4.768,20220200,4.521,20220300
2021-11-30,4.567,20220100,4.506,20220200,4.28,20220300
2021-12-01,4.258,20220100,4.188,20220200,4.014,20220300
2021-12-02,4.056,20220100,3.997,20220200,3.846,20220300
2021-12-03,4.132,20220100,4.073,20220200,3.921,20220300
2021-12-06,3.657,20220100,3.625,20220200,3.525,20220300
2021-12-07,3.708,20220100,3.674,20220200,3.585,20220300
2021-12-08,3.815,20220100,3.774,20220200,3.658,20220300
2021-12-09,3.814,20220100,3.784,20220200,3.686,20220300
2021-12-10,3.925,20220100,3.889,20220200,3.788,20220300
2021-12-13,3.794,20220100,3.761,20220200,3.673,20220300
2021-12-14,3.747,20220100,3.713,20220200,3.619,20220300
2021-12-15,3.802,20220100,3.761,20220200,3.668,20220300
2021-12-16,3.766,20220100,3.715,20220200,3.618,20220300
2021-12-17,3.69,20220100,3.639,20220200,3.534,20220300
2021-12-20,3.834,20220100,3.758,20220200,3.642,20220300
2021-12-21,3.869,20220100,3.774,20220200,3.644,20220300
2021-12-22,3.976,20220100,3.86,20220200,3.713,20220300
2021-12-23,3.63,20220200,3.514,20220300,3.469,20220400
2021-12-27,3.942,20220200,3.782,20220300,3.708,20220400
2021-12-28,3.885,20220200,3.742,20220300,3.682,20220400
2021-12-29,3.85,20220200,3.696,20220300,3.645,20220400
2021-12-30,3.561,20220200,3.435,20220300,3.4,20220400
2021-12-31,3.73,20220200,3.557,20220300,3.507,20220400
2022-01-03,3.815,20220200,3.678,20220300,3.635,20220400
2022-01-04,3.717,20220200,3.582,20220300,3.549,20220400
2022-01-05,3.882,20220200,3.71,20220300,3.666,20220400
2022-01-06,3.812,20220200,3.67,20220300,3.627,20220400
2022-01-07,3.916,20220200,3.726,20220300,3.667,20220400
2022-01-10,4.079,20220200,3.834,20220300,3.767,20220400
2022-01-11,4.249,20220200,3.968,20220300,3.881,20220400
2022-01-12,4.857,20220200,4.327,20220300,4.134,20220400
2022-01-13,4.27,20220200,4.005,20220300,3.938,20220400
2022-01-14,4.262,20220200,4.081,20220300,4.007,20220400
2022-01-18,4.283,20220200,4.048,20220300,3.983,20220400
2022-01-19,4.031,20220200,3.845,20220300,3.826,20220400
2022-01-20,3.802,20220200,3.649,20220300,3.648,20220400
2022-01-21,3.999,20220200,3.782,20220300,3.746,20220400
2022-01-24,4.027,20220200,3.875,20220300,3.842,20220400
2022-01-25,3.894,20220300,3.883,20220400,3.92,20220500
2022-01-26,4.036,20220300,4.011,20220400,4.044,20220500
2022-01-27,4.283,20220300,4.207,20220400,4.233,20220500
2022-01-28,4.639,20220300,4.473,20220400,4.485,20220500
2022-01-31,4.874,20220300,4.675,20220400,4.66,20220500
2022-02-01,4.751,20220300,4.573,20220400,4.578,20220500
2022-02-02,5.501,20220300,5.044,20220400,5.038,20220500
2022-02-03,4.888,20220300,4.72,20220400,4.725,20220500
2022-02-04,4.572,20220300,4.492,20220400,4.511,20220500
2022-02-07,4.232,20220300,4.198,20220400,4.221,20220500
2022-02-08,4.248,20220300,4.218,20220400,4.245,20220500
2022-02-09,4.009,20220300,3.98,20220400,4.009,20220500
2022-02-10,3.959,20220300,3.943,20220400,3.977,20220500
2022-02-11,3.941,20220300,3.935,20220400,3.97,20220500
2022-02-14,4.195,20220300,4.16,20220400,4.189,20220500
2022-02-15,4.306,20220300,4.241,20220400,4.267,20220500
2022-02-16,4.717,20220300,4.572,20220400,4.582,20220500
2022-02-17,4.486,20220300,4.43,20220400,4.455,20220500
2022-02-18,4.431,20220300,4.377,20220400,4.398,20220500
2022-02-22,4.498,20220300,4.461,20220400,4.483,20220500
2022-02-23,4.623,20220300,4.593,20220400,4.605,20220500
2022-02-24,4.568,20220300,4.641,20220400,4.656,20220500
2022-02-25,4.47,20220400,4.485,20220500,4.528,20220600
2022-02-28,4.402,20220400,4.42,20220500,4.461,20220600
2022-03-01,4.573,20220400,4.598,20220500,4.64,20220600
2022-03-02,4.762,20220400,4.787,20220500,4.826,20220600
2022-03-03,4.722,20220400,4.736,20220500,4.771,20220600
2022-03-04,5.016,20220400,5.036,20220500,5.071,20220600
2022-03-07,4.833,20220400,4.858,20220500,4.901,20220600
2022-03-08,4.527,20220400,4.563,20220500,4.611,20220600
2022-03-09,4.526,20220400,4.561,20220500,4.61,20220600
2022-03-10,4.631,20220400,4.669,20220500,4.72,20220600
2022-03-11,4.725,20220400,4.766,20220500,4.819,20220600
2022-03-14,4.658,20220400,4.702,20220500,4.752,20220600
2022-03-15,4.568,20220400,4.617,20220500,4.67,20220600
2022-03-16,4.748,20220400,4.784,20220500,4.829,20220600
2022-03-17,4.99,20220400,5.021,20220500,5.063,20220600
2022-03-18,4.863,20220400,4.902,20220500,4.946,20220600
2022-03-21,4.9,20220400,4.934,20220500,4.975,20220600
2022-03-22,5.187,20220400,5.227,20220500,5.268,20220600
2022-03-23,5.232,20220400,5.274,20220500,5.316,20220600
2022-03-24,5.401,20220400,5.446,20220500,5.487,20220600
2022-03-25,5.611,20220500,5.651,20220600,5.701,20220700
2022-03-28,5.538,20220500,5.582,20220600,5.636,20220700
2022-03-29,5.33,20220500,5.381,20220600,5.438,20220700
2022-03-30,5.605,20220500,5.658,20220600,5.714,20220700
2022-03-31,5.642,20220500,5.701,20220600,5.756,20220700
2022-04-01,5.72,20220500,5.795,20220600,5.857,20220700
2022-04-04,5.712,20220500,5.793,20220600,5.858,20220700
2022-04-05,6.032,20220500,6.108,20220600,6.17,20220700
2022-04-06,6.029,20220500,6.107,20220600,6.172,20220700
2022-04-07,6.359,20220500,6.436,20220600,6.499,20220700
2022-04-08,6.278,20220500,6.356,20220600,6.42,20220700
2022-04-11,6.643,20220500,6.723,20220600,6.787,20220700
2022-04-12,6.68,20220500,6.763,20220600,6.829,20220700
2022-04-13,6.997,20220500,7.096,20220600,7.173,20220700
2022-04-14,7.3,20220500,7.423,20220600,7.501,20220700
2022-04-18,7.82,20220500,7.958,20220600,8.042,20220700
2022-04-19,7.176,20220500,7.277,20220600,7.352,20220700
2022-04-20,6.937,20220500,7.065,20220600,7.158,20220700
2022-04-21,6.957,20220500,7.096,20220600,7.189,20220700
2022-04-22,6.534,20220500,6.663,20220600,6.753,20220700
2022-04-25,6.805,20220600,6.891,20220700,6.892,20220800
2022-04-26,6.978,20220600,7.068,20220700,7.068,20220800
2022-04-27,7.339,20220600,7.436,20220700,7.435,20220800
2022-04-28,6.888,20220600,6.994,20220700,6.997,20220800
2022-04-29,7.244,20220600,7.355,20220700,7.354,20220800
2022-05-02,7.475,20220600,7.566,20220700,7.566,20220800
2022-05-03,7.954,20220600,8.025,20220700,8.015,20220800
2022-05-04,8.415,20220600,8.472,20220700,8.461,20220800
2022-05-05,8.783,20220600,8.841,20220700,8.823,20220800
2022-05-06,8.043,20220600,8.128,20220700,8.11,20220800
2022-05-09,7.026,20220600,7.106,20220700,7.091,20220800
2022-05-10,7.385,20220600,7.467,20220700,7.446,20220800
2022-05-11,7.64,20220600,7.727,20220700,7.708,20220800
2022-05-12,7.739,20220600,7.835,20220700,7.822,20220800
2022-05-13,7.663,20220600,7.765,20220700,7.754,20220800
2022-05-16,7.956,20220600,8.053,20220700,8.04,20220800
2022-05-17,8.304,20220600,8.394,20220700,8.38,20220800
2022-05-18,8.368,20220600,8.455,20220700,8.444,20220800
2022-05-19,8.308,20220600,8.4,20220700,8.39,20220800
2022-05-20,8.083,20220600,8.178,20220700,8.171,20220800
2022-05-23,8.744,20220600,8.827,20220700,8.813,20220800
2022-05-24,8.796,20220600,8.836,20220700,8.822,20220800
2022-05-25,8.993,20220700,8.972,20220800,8.929,20220900
2022-05-26,8.895,20220700,8.88,20220800,8.837,20220900
2022-05-27,8.727,20220700,8.712,20220800,8.673,20220900
2022-05-31,8.145,20220700,8.138,20220800,8.097,20220900
2022-06-01,8.696,20220700,8.686,20220800,8.643,20220900
2022-06-02,8.485,20220700,8.474,20220800,8.437,20220900
2022-06-03,8.523,20220700,8.51,20220800,8.473,20220900
2022-06-06,9.322,20220700,9.306,20220800,9.26,20220900
2022-06-07,9.293,20220700,9.278,20220800,9.234,20220900
2022-06-08,8.699,20220700,8.679,20220800,8.649,20220900
2022-06-09,8.963,20220700,8.978,20220800,8.958,20220900
2022-06-10,8.85,20220700,8.867,20220800,8.847,20220900
2022-06-13,8.609,20220700,8.619,20220800,8.592,20220900
2022-06-14,7.189,20220700,7.18,20220800,7.164,20220900
2022-06-15,7.42,20220700,7.406,20220800,7.37,20220900
2022-06-16,7.464,20220700,7.438,20220800,7.393,20220900
2022-06-17,6.944,20220700,6.906,20220800,6.861,20220900
2022-06-21,6.808,20220700,6.783,20220800,6.743,20220900
2022-06-22,6.858,20220700,6.872,20220800,6.835,20220900
2022-06-23,6.239,20220700,6.283,20220800,6.28,20220900
2022-06-24,6.281,20220800,6.258,20220900,6.268,20221000
2022-06-27,6.546,20220800,6.54,20220900,6.557,20221000
2022-06-28,6.57,20220800,6.557,20220900,6.573,20221000
2022-06-29,6.498,20220800,6.493,20220900,6.519,20221000
2022-06-30,5.424,20220800,5.392,20220900,5.409,20221000
2022-07-01,5.73,20220800,5.712,20220900,5.729,20221000
2022-07-05,5.523,20220800,5.487,20220900,5.495,20221000
2022-07-06,5.51,20220800,5.482,20220900,5.493,20221000
2022-07-07,6.297,20220800,6.262,20220900,6.253,20221000
2022-07-08,6.034,20220800,5.967,20220900,5.963,20221000
2022-07-11,6.426,20220800,6.319,20220900,6.301,20221000
2022-07-12,6.163,20220800,6.021,20220900,6.003,20221000
2022-07-13,6.689,20220800,6.589,20220900,6.574,20221000
2022-07-14,6.6,20220800,6.511,20220900,6.504,20221000
2022-07-15,7.016,20220800,6.926,20220900,6.917,20221000
2022-07-18,7.479,20220800,7.382,20220900,7.367,20221000
2022-07-19,7.264,20220800,7.15,20220900,7.13,20221000
2022-07-20,8.007,20220800,7.899,20220900,7.87,20221000
2022-07-21,7.932,20220800,7.815,20220900,7.784,20221000
2022-07-22,8.299,20220800,8.195,20220900,8.167,20221000
2022-07-25,8.571,20220900,8.552,20221000,8.626,20221100
2022-07-26,8.825,20220900,8.794,20221000,8.866,20221100
2022-07-27,8.554,20220900,8.526,20221000,8.603,20221100
2022-07-28,8.134,20220900,8.118,20221000,8.199,20221100
2022-07-29,8.229,20220900,8.208,20221000,8.283,20221100
2022-08-01,8.283,20220900,8.26,20221000,8.33,20221100
2022-08-02,7.706,20220900,7.698,20221000,7.775,20221100
2022-08-03,8.266,20220900,8.262,20221000,8.331,20221100
2022-08-04,8.122,20220900,8.114,20221000,8.184,20221100
2022-08-05,8.064,20220900,8.051,20221000,8.12,20221100
2022-08-08,7.589,20220900,7.578,20221000,7.653,20221100
2022-08-09,7.833,20220900,7.825,20221000,7.902,20221100
2022-08-10,8.202,20220900,8.193,20221000,8.272,20221100
2022-08-11,8.874,20220900,8.863,20221000,8.939,20221100
2022-08-12,8.768,20220900,8.744,20221000,8.816,20221100
2022-08-15,8.728,20220900,8.712,20221000,8.788,20221100
2022-08-16,9.329,20220900,9.311,20221000,9.37,20221100
2022-08-17,9.244,20220900,9.228,20221000,9.297,20221100
2022-08-18,9.188,20220900,9.17,20221000,9.242,20221100
2022-08-19,9.336,20220900,9.315,20221000,9.385,20221100
2022-08-22,9.68,20220900,9.647,20221000,9.71,20221100
2022-08-23,9.193,20220900,9.155,20221000,9.225,20221100
