DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,1.2497,B6Y00,1.252,20191200,1.2559,20200300
2019-09-16,1.2427,B6Y00,1.2468,20191200,1.2509,20200300
2019-09-17,1.2498,B6Y00,1.2546,20191200,1.2587,20200300
2019-09-18,1.2469,B6Y00,1.2506,20191200,1.2544,20200300
2019-09-19,1.252,B6Y00,1.2577,20191200,1.2616,20200300
2019-09-20,1.2469,B6Y00,1.2514,20191200,1.2553,20200300
2019-09-23,1.2431,B6Y00,1.2474,20191200,1.2511,20200300
2019-09-24,1.2492,B6Y00,1.2535,20191200,1.2573,20200300
2019-09-25,1.2347,B6Y00,1.239,20191200,1.2428,20200300
2019-09-26,1.2314,B6Y00,1.2365,20191200,1.2403,20200300
2019-09-27,1.2287,B6Y00,1.2325,20191200,1.2365,20200300
2019-09-30,1.2293,B6Y00,1.2332,20191200,1.2372,20200300
2019-10-01,1.2299,B6Y00,1.2335,20191200,1.2374,20200300
2019-10-02,1.2296,B6Y00,1.2339,20191200,1.2377,20200300
2019-10-03,1.2327,B6Y00,1.2383,20191200,1.2419,20200300
2019-10-04,1.233,B6Y00,1.2363,20191200,1.24,20200300
2019-10-07,1.2288,B6Y00,1.2329,20191200,1.2365,20200300
2019-10-08,1.2217,B6Y00,1.2246,20191200,1.2282,20200300
2019-10-09,1.2203,B6Y00,1.2238,20191200,1.2274,20200300
2019-10-10,1.2439,B6Y00,1.2472,20191200,1.2508,20200300
2019-10-11,1.2646,B6Y00,1.2687,20191200,1.2723,20200300
2019-10-14,1.2604,B6Y00,1.2602,20191200,1.2637,20200300
2019-10-15,1.278,B6Y00,1.2808,20191200,1.2844,20200300
2019-10-16,1.2827,B6Y00,1.2865,20191200,1.29,20200300
2019-10-17,1.2889,B6Y00,1.2901,20191200,1.2937,20200300
2019-10-18,1.2972,B6Y00,1.297,20191200,1.3005,20200300
2019-10-21,1.2958,B6Y00,1.2993,20191200,1.3029,20200300
2019-10-22,1.287,B6Y00,1.2906,20191200,1.2943,20200300
2019-10-23,1.2908,B6Y00,1.2929,20191200,1.2966,20200300
2019-10-24,1.2849,B6Y00,1.2887,20191200,1.2924,20200300
2019-10-25,1.2824,B6Y00,1.285,20191200,1.2887,20200300
2019-10-28,1.2853,B6Y00,1.2876,20191200,1.2913,20200300
2019-10-29,1.2862,B6Y00,1.2879,20191200,1.2916,20200300
2019-10-30,1.2897,B6Y00,1.2908,20191200,1.2944,20200300
