DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,1488.27,GCY00,1492.9,20191000,1499.5,20191200
2019-09-16,1498.11,GCY00,1504.8,20191000,1511.5,20191200
2019-09-17,1501.2,GCY00,1506.9,20191000,1513.4,20191200
2019-09-18,1493.59,GCY00,1509.1,20191000,1515.8,20191200
2019-09-19,1498.55,GCY00,1499.5,20191000,1506.2,20191200
2019-09-20,1516.44,GCY00,1508.0,20191000,1515.1,20191200
2019-09-23,1522.05,GCY00,1524.0,20191000,1531.5,20191200
2019-09-24,1531.36,GCY00,1532.6,20191000,1540.2,20191200
2019-09-25,1503.37,GCY00,1505.1,20191000,1512.3,20191200
2019-09-26,1504.29,GCY00,1507.9,20191000,1515.2,20191200
2019-09-27,1496.81,GCY00,1506.4,20191200,1513.1,20200200
2019-09-30,1472.74,GCY00,1472.9,20191200,1479.6,20200200
2019-10-01,1479.23,GCY00,1489.0,20191200,1495.7,20200200
2019-10-02,1499.84,GCY00,1507.9,20191200,1514.5,20200200
2019-10-03,1504.82,GCY00,1513.8,20191200,1520.5,20200200
2019-10-04,1504.42,GCY00,1512.9,20191200,1519.7,20200200
2019-10-07,1493.23,GCY00,1504.4,20191200,1511.2,20200200
2019-10-08,1505.3,GCY00,1503.9,20191200,1510.7,20200200
2019-10-09,1505.23,GCY00,1512.8,20191200,1519.6,20200200
2019-10-10,1493.29,GCY00,1500.9,20191200,1507.7,20200200
2019-10-11,1488.34,GCY00,1488.7,20191200,1495.5,20200200
2019-10-14,1492.85,GCY00,1497.6,20191200,1504.4,20200200
2019-10-15,1481.01,GCY00,1483.5,20191200,1490.3,20200200
2019-10-16,1489.27,GCY00,1494.0,20191200,1500.8,20200200
2019-10-17,1491.84,GCY00,1498.3,20191200,1505.2,20200200
2019-10-18,1490.02,GCY00,1494.1,20191200,1501.0,20200200
2019-10-21,1484.05,GCY00,1488.1,20191200,1495.0,20200200
2019-10-22,1487.62,GCY00,1487.5,20191200,1494.5,20200200
2019-10-23,1491.77,GCY00,1495.7,20191200,1502.7,20200200
2019-10-24,1502.92,GCY00,1504.7,20191200,1511.7,20200200
2019-10-25,1504.16,GCY00,1505.3,20191200,1512.3,20200200
2019-10-28,1492.45,GCY00,1495.8,20191200,1502.9,20200200
2019-10-29,1487.75,GCY00,1490.7,20191200,1497.7,20200200
2019-10-30,1495.52,GCY00,1496.7,20191200,1503.8,20200200
2019-10-31,1512.4,GCY00,1514.8,20191200,1521.8,20200200
2019-11-01,1513.8,GCY00,1511.4,20191200,1518.5,20200200
2019-11-04,1509.43,GCY00,1511.1,20191200,1518.3,20200200
2019-11-05,1483.4,GCY00,1483.7,20191200,1490.8,20200200
2019-11-06,1490.28,GCY00,1493.1,20191200,1500.3,20200200
2019-11-07,1468.32,GCY00,1466.4,20191200,1473.3,20200200
2019-11-08,1458.71,GCY00,1462.9,20191200,1469.8,20200200
2019-11-11,1455.72,GCY00,1457.1,20191200,1464.1,20200200
2019-11-12,1456.34,GCY00,1453.7,20191200,1460.6,20200200
2019-11-13,1463.13,GCY00,1463.3,20191200,1470.2,20200200
2019-11-14,1470.89,GCY00,1473.4,20191200,1480.2,20200200
2019-11-15,1467.46,GCY00,1468.5,20191200,1475.4,20200200
2019-11-18,1470.91,GCY00,1471.9,20191200,1478.8,20200200
2019-11-19,1472.33,GCY00,1474.3,20191200,1481.2,20200200
2019-11-20,1471.04,GCY00,1474.2,20191200,1481.0,20200200
2019-11-21,1464.26,GCY00,1463.6,20191200,1470.5,20200200
2019-11-22,1461.96,GCY00,1463.6,20191200,1470.5,20200200
2019-11-25,1454.76,GCY00,1456.9,20191200,1463.8,20200200
2019-11-26,1461.15,GCY00,1460.3,20191200,1467.4,20200200
2019-11-27,1454.1,GCY00,1460.8,20200200,1466.0,20200400
2019-11-29,1463.01,GCY00,1472.7,20200200,1478.1,20200400
2019-12-02,1462.29,GCY00,1469.2,20200200,1474.6,20200400
2019-12-03,1477.09,GCY00,1484.4,20200200,1489.9,20200400
2019-12-04,1474.1,GCY00,1480.2,20200200,1485.6,20200400
2019-12-05,1475.64,GCY00,1483.1,20200200,1488.6,20200400
2019-12-06,1459.66,GCY00,1465.1,20200200,1470.7,20200400
2019-12-09,1461.46,GCY00,1464.9,20200200,1470.5,20200400
2019-12-10,1464.19,GCY00,1468.1,20200200,1473.7,20200400
2019-12-11,1474.61,GCY00,1475.0,20200200,1480.6,20200400
2019-12-12,1469.5,GCY00,1472.3,20200200,1477.9,20200400
2019-12-13,1475.43,GCY00,1481.2,20200200,1486.9,20200400
2019-12-16,1475.97,GCY00,1480.5,20200200,1486.1,20200400
2019-12-17,1475.93,GCY00,1480.6,20200200,1486.4,20200400
2019-12-18,1475.36,GCY00,1478.7,20200200,1484.4,20200400
2019-12-19,1478.68,GCY00,1484.4,20200200,1490.0,20200400
2019-12-20,1477.8,GCY00,1480.9,20200200,1486.6,20200400
2019-12-23,1485.36,GCY00,1488.7,20200200,1494.4,20200400
2019-12-24,1498.47,GCY00,1504.8,20200200,1510.6,20200400
2019-12-26,1510.82,GCY00,1514.4,20200200,1520.3,20200400
2019-12-27,1510.84,GCY00,1518.1,20200200,1524.1,20200400
2019-12-30,1514.87,GCY00,1518.6,20200200,1524.6,20200400
2019-12-31,1516.97,GCY00,1523.1,20200200,1529.3,20200400
2020-01-02,1528.77,GCY00,1528.1,20200200,1534.3,20200400
2020-01-03,1551.7,GCY00,1552.4,20200200,1558.7,20200400
2020-01-06,1565.61,GCY00,1568.8,20200200,1575.1,20200400
2020-01-07,1573.48,GCY00,1574.3,20200200,1580.5,20200400
2020-01-08,1556.03,GCY00,1560.2,20200200,1566.5,20200400
2020-01-09,1552.14,GCY00,1554.3,20200200,1560.6,20200400
2020-01-10,1561.94,GCY00,1560.1,20200200,1566.4,20200400
2020-01-13,1547.8,GCY00,1550.6,20200200,1557.0,20200400
2020-01-14,1546.17,GCY00,1544.6,20200200,1550.9,20200400
2020-01-15,1556.09,GCY00,1554.0,20200200,1560.1,20200400
2020-01-16,1552.31,GCY00,1550.5,20200200,1556.5,20200400
2020-01-17,1556.97,GCY00,1560.3,20200200,1566.5,20200400
2020-01-21,1558.09,GCY00,1557.9,20200200,1564.1,20200400
2020-01-22,1558.63,GCY00,1556.7,20200200,1562.9,20200400
2020-01-23,1562.61,GCY00,1565.4,20200200,1571.6,20200400
2020-01-24,1571.08,GCY00,1571.9,20200200,1578.2,20200400
2020-01-27,1581.72,GCY00,1577.4,20200200,1583.7,20200400
2020-01-28,1567.52,GCY00,1575.8,20200400,1581.7,20200600
2020-01-29,1576.65,GCY00,1576.0,20200400,1582.0,20200600
2020-01-30,1573.87,GCY00,1589.2,20200400,1595.1,20200600
2020-01-31,1588.65,GCY00,1587.9,20200400,1593.8,20200600
2020-02-03,1576.51,GCY00,1582.4,20200400,1588.3,20200600
2020-02-04,1552.5,GCY00,1555.5,20200400,1561.4,20200600
2020-02-05,1556.24,GCY00,1562.8,20200400,1568.7,20200600
2020-02-06,1566.36,GCY00,1570.0,20200400,1575.8,20200600
2020-02-07,1570.09,GCY00,1573.4,20200400,1579.2,20200600
2020-02-10,1571.94,GCY00,1579.5,20200400,1585.4,20200600
2020-02-11,1567.66,GCY00,1570.1,20200400,1575.9,20200600
2020-02-12,1565.69,GCY00,1571.6,20200400,1577.3,20200600
2020-02-13,1575.92,GCY00,1578.8,20200400,1584.5,20200600
2020-02-14,1583.87,GCY00,1586.4,20200400,1591.9,20200600
2020-02-18,1601.22,GCY00,1603.6,20200400,1609.3,20200600
2020-02-19,1611.45,GCY00,1611.8,20200400,1617.5,20200600
2020-02-20,1619.33,GCY00,1620.5,20200400,1626.2,20200600
2020-02-21,1643.3,GCY00,1648.8,20200400,1654.6,20200600
2020-02-24,1658.6,GCY00,1676.6,20200400,1682.4,20200600
2020-02-25,1634.93,GCY00,1650.0,20200400,1655.8,20200600
2020-02-26,1640.59,GCY00,1643.1,20200400,1648.9,20200600
2020-02-27,1643.99,GCY00,1642.5,20200400,1648.2,20200600
2020-02-28,1585.69,GCY00,1566.7,20200400,1571.8,20200600
2020-03-02,1589.36,GCY00,1594.8,20200400,1599.5,20200600
2020-03-03,1640.39,GCY00,1644.4,20200400,1648.9,20200600
2020-03-04,1636.34,GCY00,1643.0,20200400,1647.2,20200600
2020-03-05,1671.95,GCY00,1668.0,20200400,1672.0,20200600
2020-03-06,1674.18,GCY00,1672.4,20200400,1676.1,20200600
2020-03-09,1678.56,GCY00,1675.7,20200400,1678.6,20200600
2020-03-10,1649.04,GCY00,1660.3,20200400,1663.3,20200600
2020-03-11,1635.65,GCY00,1642.3,20200400,1645.4,20200600
2020-03-12,1577.59,GCY00,1590.3,20200400,1593.2,20200600
2020-03-13,1529.04,GCY00,1516.7,20200400,1519.5,20200600
2020-03-16,1511.55,GCY00,1486.5,20200400,1488.6,20200600
2020-03-17,1527.89,GCY00,1525.8,20200400,1528.1,20200600
2020-03-18,1485.2,GCY00,1477.9,20200400,1480.6,20200600
2020-03-19,1472.46,GCY00,1479.3,20200400,1482.3,20200600
2020-03-20,1496.33,GCY00,1484.6,20200400,1488.1,20200600
2020-03-23,1550.79,GCY00,1567.6,20200400,1572.7,20200600
2020-03-24,1619.95,GCY00,1660.8,20200400,1663.3,20200600
2020-03-25,1615.45,GCY00,1633.4,20200400,1634.3,20200600
2020-03-26,1627.82,GCY00,1651.2,20200400,1660.3,20200600
2020-03-27,1620.51,GCY00,1654.1,20200600,1654.6,20200800
2020-03-30,1620.75,GCY00,1643.2,20200600,1643.5,20200800
2020-03-31,1575.28,GCY00,1596.6,20200600,1596.6,20200800
2020-04-01,1590.02,GCY00,1591.4,20200600,1591.7,20200800
2020-04-02,1610.34,GCY00,1637.7,20200600,1637.7,20200800
2020-04-03,1614.83,GCY00,1645.7,20200600,1645.5,20200800
2020-04-06,1657.37,GCY00,1693.9,20200600,1692.2,20200800
2020-04-07,1647.03,GCY00,1683.7,20200600,1682.8,20200800
2020-04-08,1644.76,GCY00,1684.3,20200600,1683.8,20200800
2020-04-09,1681.43,GCY00,1752.8,20200600,1752.1,20200800
2020-04-13,1711.03,GCY00,1761.4,20200600,1760.9,20200800
2020-04-14,1726.16,GCY00,1768.9,20200600,1769.4,20200800
2020-04-15,1716.01,GCY00,1740.2,20200600,1741.2,20200800
2020-04-16,1717.22,GCY00,1731.7,20200600,1733.2,20200800
2020-04-17,1680.42,GCY00,1698.8,20200600,1700.1,20200800
2020-04-20,1694.1,GCY00,1711.2,20200600,1712.6,20200800
2020-04-21,1683.33,GCY00,1687.8,20200600,1689.8,20200800
2020-04-22,1713.95,GCY00,1738.3,20200600,1741.4,20200800
2020-04-23,1729.47,GCY00,1745.4,20200600,1748.8,20200800
2020-04-24,1726.35,GCY00,1735.6,20200600,1739.7,20200800
2020-04-27,1714.41,GCY00,1723.8,20200600,1728.7,20200800
2020-04-28,1707.18,GCY00,1722.2,20200600,1727.8,20200800
2020-04-29,1712.04,GCY00,1713.4,20200600,1719.2,20200800
2020-04-30,1685.82,GCY00,1694.2,20200600,1701.0,20200800
2020-05-01,1698.62,GCY00,1700.9,20200600,1707.2,20200800
2020-05-04,1700.74,GCY00,1713.3,20200600,1720.3,20200800
2020-05-05,1704.87,GCY00,1710.6,20200600,1718.9,20200800
2020-05-06,1684.94,GCY00,1688.5,20200600,1696.5,20200800
2020-05-07,1715.39,GCY00,1725.8,20200600,1735.7,20200800
2020-05-08,1700.98,GCY00,1713.9,20200600,1726.6,20200800
2020-05-11,1697.03,GCY00,1698.0,20200600,1711.3,20200800
