DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,27315.0,20191000,27309.0,20190900,27315.0,20191000
2019-09-16,27060.0,20191000,27054.0,20190900,27060.0,20191000
2019-09-17,26754.0,20191000,26747.0,20190900,26754.0,20191000
2019-09-18,26737.0,20191000,26732.0,20190900,26737.0,20191000
2019-09-19,26499.0,20191000,26483.0,20190900,26499.0,20191000
2019-09-20,26425.0,20191000,26425.0,20190900,26425.0,20191000
2019-09-23,26131.0,20191000,26133.0,20190900,26131.0,20191000
2019-09-24,26299.0,20191000,26294.0,20190900,26299.0,20191000
2019-09-25,25904.0,20191000,25905.0,20190900,25904.0,20191000
2019-09-26,26024.0,20191000,26022.0,20190900,26024.0,20191000
2019-09-27,25988.0,20191000,25949.0,20190900,25988.0,20191000
2019-10-02,25962.0,20191100,25950.0,20191000,25962.0,20191100
2019-10-03,26155.0,20191100,26143.0,20191000,26155.0,20191100
2019-10-04,25794.0,20191100,25787.0,20191000,25794.0,20191100
2019-10-08,25880.0,20191100,25867.0,20191000,25880.0,20191100
2019-10-09,25664.0,20191100,25662.0,20191000,25664.0,20191100
2019-10-10,25820.0,20191100,25809.0,20191000,25820.0,20191100
2019-10-11,26416.0,20191100,26410.0,20191000,26416.0,20191100
2019-10-14,26539.0,20191100,26532.0,20191000,26539.0,20191100
2019-10-15,26495.0,20191100,26485.0,20191000,26495.0,20191100
2019-10-16,26645.0,20191100,26641.0,20191000,26645.0,20191100
2019-10-17,26892.0,20191100,26885.0,20191000,26892.0,20191100
2019-10-18,26682.0,20191100,26675.0,20191000,26682.0,20191100
2019-10-21,26702.0,20191100,26693.0,20191000,26702.0,20191100
2019-10-22,26787.0,20191100,26781.0,20191000,26787.0,20191100
2019-10-23,26544.0,20191100,26526.0,20191000,26544.0,20191100
2019-10-24,26760.0,20191100,26759.0,20191000,26760.0,20191100
2019-10-25,26693.0,20191100,26686.0,20191000,26693.0,20191100
2019-10-28,26926.0,20191100,26914.0,20191000,26926.0,20191100
2019-10-29,26783.0,20191200,26754.0,20191100,26783.0,20191200
2019-10-30,26670.0,20191200,26631.0,20191100,26670.0,20191200
2019-10-31,27024.0,20191200,26984.0,20191100,27024.0,20191200
2019-11-01,27175.0,20191200,27148.0,20191100,27175.0,20191200
2019-11-04,27645.0,20191200,27607.0,20191100,27645.0,20191200
2019-11-05,27725.0,20191200,27679.0,20191100,27725.0,20191200
2019-11-06,27782.0,20191200,27741.0,20191100,27782.0,20191200
