DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,66.475,20191000,68.7,20191200,75.1,20200200
2019-09-16,63.625,20191000,70.675,20191200,75.85,20200200
2019-09-17,62.1,20191000,67.675,20191200,73.55,20200200
2019-09-18,62.925,20191000,67.8,20191200,74.825,20200200
2019-09-19,61.4,20191000,67.95,20191200,75.05,20200200
2019-09-20,60.35,20191000,66.25,20191200,73.9,20200200
2019-09-23,60.95,20191000,68.375,20191200,75.125,20200200
2019-09-24,62.0,20191000,69.1,20191200,75.925,20200200
2019-09-25,64.575,20191000,71.4,20191200,78.025,20200200
2019-09-26,64.225,20191000,70.375,20191200,76.8,20200200
2019-09-27,65.275,20191000,69.85,20191200,75.8,20200200
2019-09-30,65.45,20191000,72.6,20191200,78.0,20200200
2019-10-01,62.55,20191000,69.925,20191200,76.1,20200200
2019-10-02,62.2,20191000,69.1,20191200,75.825,20200200
2019-10-03,62.425,20191000,68.1,20191200,75.3,20200200
2019-10-04,62.4,20191000,67.25,20191200,74.475,20200200
2019-10-07,60.5,20191000,64.25,20191200,71.475,20200200
2019-10-08,61.7,20191000,67.4,20191200,73.6,20200200
2019-10-09,62.8,20191000,69.475,20191200,75.95,20200200
2019-10-10,62.4,20191000,68.475,20191200,75.875,20200200
2019-10-11,62.925,20191000,69.6,20191200,77.05,20200200
2019-10-14,69.125,20191200,77.25,20200200,83.575,20200400
2019-10-15,72.125,20191200,79.15,20200200,84.9,20200400
2019-10-16,70.625,20191200,78.85,20200200,84.875,20200400
2019-10-17,68.15,20191200,77.65,20200200,83.8,20200400
2019-10-18,67.95,20191200,77.475,20200200,83.45,20200400
2019-10-21,67.825,20191200,78.175,20200200,84.4,20200400
2019-10-22,65.5,20191200,76.275,20200200,83.125,20200400
2019-10-23,65.825,20191200,75.1,20200200,81.625,20200400
2019-10-24,64.55,20191200,73.475,20200200,79.625,20200400
2019-10-25,64.925,20191200,73.35,20200200,79.55,20200400
2019-10-28,65.65,20191200,73.975,20200200,79.9,20200400
2019-10-29,64.325,20191200,72.625,20200200,79.15,20200400
2019-10-30,65.775,20191200,73.275,20200200,79.575,20200400
2019-10-31,66.0,20191200,73.325,20200200,79.85,20200400
2019-11-01,64.45,20191200,72.575,20200200,79.475,20200400
2019-11-04,64.525,20191200,71.9,20200200,78.625,20200400
2019-11-05,67.275,20191200,73.75,20200200,79.975,20200400
2019-11-06,64.775,20191200,72.775,20200200,79.375,20200400
2019-11-07,64.3,20191200,73.775,20200200,80.15,20200400
2019-11-08,64.125,20191200,73.9,20200200,80.325,20200400
2019-11-11,63.3,20191200,73.725,20200200,80.65,20200400
2019-11-12,64.725,20191200,75.55,20200200,82.025,20200400
2019-11-13,63.125,20191200,74.55,20200200,81.75,20200400
2019-11-14,62.75,20191200,73.375,20200200,80.3,20200400
2019-11-15,63.2,20191200,72.0,20200200,78.975,20200400
2019-11-18,62.75,20191200,70.225,20200200,76.35,20200400
2019-11-19,62.15,20191200,69.625,20200200,75.75,20200400
2019-11-20,60.45,20191200,66.775,20200200,72.925,20200400
2019-11-21,60.65,20191200,67.45,20200200,74.1,20200400
2019-11-22,61.225,20191200,67.65,20200200,73.7,20200400
2019-11-25,61.025,20191200,67.75,20200200,73.875,20200400
2019-11-26,60.825,20191200,67.825,20200200,74.35,20200400
2019-11-27,60.675,20191200,67.15,20200200,73.625,20200400
2019-11-29,62.025,20191200,68.175,20200200,73.925,20200400
2019-12-02,60.35,20191200,66.15,20200200,72.575,20200400
2019-12-03,62.5,20191200,68.375,20200200,74.275,20200400
2019-12-04,61.875,20191200,68.425,20200200,74.75,20200400
2019-12-05,61.575,20191200,67.575,20200200,73.5,20200400
2019-12-06,61.125,20191200,67.55,20200200,73.7,20200400
2019-12-09,60.0,20191200,66.7,20200200,72.975,20200400
2019-12-10,60.475,20191200,67.975,20200200,74.2,20200400
2019-12-11,60.7,20191200,67.725,20200200,74.25,20200400
2019-12-12,61.0,20191200,68.65,20200200,74.625,20200400
2019-12-13,69.5,20200200,76.225,20200400,87.85,20200600
2019-12-16,70.5,20200200,77.45,20200400,89.075,20200600
2019-12-17,69.85,20200200,77.4,20200400,89.35,20200600
2019-12-18,69.9,20200200,77.225,20200400,89.05,20200600
2019-12-19,70.975,20200200,77.5,20200400,89.275,20200600
2019-12-20,70.675,20200200,77.5,20200400,89.275,20200600
2019-12-23,70.25,20200200,77.55,20200400,89.5,20200600
2019-12-24,70.7,20200200,78.0,20200400,89.875,20200600
2019-12-26,70.9,20200200,78.275,20200400,89.875,20200600
2019-12-27,70.575,20200200,77.875,20200400,89.725,20200600
2019-12-30,71.8,20200200,78.625,20200400,90.05,20200600
2019-12-31,71.425,20200200,77.925,20200400,89.425,20200600
2020-01-02,71.55,20200200,78.0,20200400,89.55,20200600
2020-01-03,68.55,20200200,75.15,20200400,87.1,20200600
2020-01-06,68.625,20200200,74.95,20200400,86.925,20200600
2020-01-07,69.225,20200200,75.75,20200400,87.6,20200600
2020-01-08,69.025,20200200,75.75,20200400,87.45,20200600
2020-01-09,67.025,20200200,74.475,20200400,86.225,20200600
2020-01-10,67.25,20200200,74.125,20200400,86.175,20200600
2020-01-13,65.9,20200200,73.375,20200400,85.475,20200600
2020-01-14,67.675,20200200,75.0,20200400,86.825,20200600
2020-01-15,67.875,20200200,74.975,20200400,87.5,20200600
2020-01-16,66.875,20200200,73.775,20200400,86.55,20200600
2020-01-17,67.675,20200200,74.1,20200400,87.35,20200600
2020-01-21,67.35,20200200,73.825,20200400,86.65,20200600
2020-01-22,67.55,20200200,74.525,20200400,87.1,20200600
2020-01-23,68.5,20200200,75.35,20200400,87.825,20200600
2020-01-24,67.225,20200200,73.45,20200400,86.4,20200600
2020-01-27,65.95,20200200,70.45,20200400,83.5,20200600
2020-01-28,66.225,20200200,71.3,20200400,83.975,20200600
2020-01-29,64.3,20200200,68.825,20200400,81.775,20200600
2020-01-30,61.3,20200200,65.825,20200400,78.775,20200600
2020-01-31,57.125,20200200,61.6,20200400,76.85,20200600
2020-02-03,56.3,20200200,62.725,20200400,78.275,20200600
2020-02-04,56.75,20200200,62.325,20200400,77.9,20200600
2020-02-05,57.1,20200200,61.875,20200400,77.4,20200600
2020-02-06,57.7,20200200,64.875,20200400,80.4,20200600
2020-02-07,57.1,20200200,66.25,20200400,81.55,20200600
2020-02-10,56.2,20200200,65.075,20200400,81.25,20200600
2020-02-11,56.125,20200200,64.225,20200400,80.975,20200600
2020-02-12,55.675,20200200,63.775,20200400,80.85,20200600
2020-02-13,56.0,20200200,64.075,20200400,81.025,20200600
2020-02-14,73.0,20200500,80.9,20200600,82.425,20200700
2020-02-18,73.55,20200500,81.375,20200600,82.525,20200700
2020-02-19,75.3,20200500,83.175,20200600,84.0,20200700
2020-02-20,74.475,20200500,81.95,20200600,83.075,20200700
2020-02-21,74.025,20200500,81.85,20200600,82.725,20200700
2020-02-24,71.875,20200500,79.95,20200600,81.275,20200700
2020-02-25,71.975,20200500,79.7,20200600,80.8,20200700
2020-02-26,72.175,20200500,80.4,20200600,81.6,20200700
2020-02-27,69.75,20200500,78.05,20200600,79.4,20200700
2020-02-28,69.025,20200500,77.225,20200600,78.3,20200700
2020-03-02,68.975,20200500,77.025,20200600,77.975,20200700
2020-03-03,69.625,20200500,78.075,20200600,79.475,20200700
2020-03-04,70.6,20200500,78.825,20200600,80.15,20200700
2020-03-05,71.225,20200500,79.375,20200600,80.65,20200700
2020-03-06,71.375,20200500,79.75,20200600,80.95,20200700
2020-03-09,68.7,20200500,77.35,20200600,78.3,20200700
2020-03-10,71.0,20200500,79.3,20200600,80.0,20200700
2020-03-11,70.2,20200500,78.8,20200600,80.0,20200700
2020-03-12,67.2,20200500,75.8,20200600,77.0,20200700
2020-03-13,62.7,20200500,71.3,20200600,72.5,20200700
2020-03-16,58.2,20200500,66.8,20200600,68.025,20200700
2020-03-17,62.675,20200500,70.425,20200600,72.275,20200700
2020-03-18,58.7,20200500,67.3,20200600,70.35,20200700
2020-03-19,60.0,20200500,69.15,20200600,72.45,20200700
2020-03-20,60.875,20200500,67.95,20200600,70.375,20200700
2020-03-23,63.875,20200500,70.95,20200600,73.025,20200700
2020-03-24,65.875,20200500,73.0,20200600,74.7,20200700
2020-03-25,65.125,20200500,71.75,20200600,73.6,20200700
2020-03-26,62.125,20200500,68.75,20200600,70.6,20200700
2020-03-27,57.625,20200500,64.25,20200600,66.8,20200700
2020-03-30,53.125,20200500,59.775,20200600,63.075,20200700
2020-03-31,52.975,20200500,60.325,20200600,64.725,20200700
2020-04-01,49.975,20200500,57.325,20200600,61.725,20200700
2020-04-02,45.475,20200500,52.825,20200600,57.225,20200700
2020-04-03,41.225,20200500,48.325,20200600,52.725,20200700
2020-04-06,45.375,20200500,49.65,20200600,54.775,20200700
2020-04-07,48.375,20200500,52.65,20200600,57.775,20200700
2020-04-08,45.9,20200500,51.45,20200600,56.85,20200700
2020-04-09,43.425,20200500,48.675,20200600,54.75,20200700
2020-04-13,39.675,20200500,44.925,20200600,51.025,20200700
2020-04-14,38.0,20200500,43.95,20200600,50.975,20200700
2020-04-15,44.625,20200600,51.725,20200700,56.05,20200800
2020-04-16,43.175,20200600,51.075,20200700,55.425,20200800
2020-04-17,43.725,20200600,51.925,20200700,56.4,20200800
2020-04-20,46.25,20200600,53.775,20200700,58.65,20200800
2020-04-21,48.1,20200600,52.925,20200700,57.175,20200800
2020-04-22,47.9,20200600,51.2,20200700,55.15,20200800
2020-04-23,51.625,20200600,54.375,20200700,57.875,20200800
2020-04-24,51.525,20200600,54.675,20200700,58.325,20200800
2020-04-27,55.275,20200600,58.425,20200700,62.075,20200800
2020-04-28,56.2,20200600,60.25,20200700,63.725,20200800
2020-04-29,55.525,20200600,58.475,20200700,61.1,20200800
2020-04-30,58.95,20200600,60.5,20200700,62.8,20200800
2020-05-01,62.7,20200600,64.125,20200700,64.675,20200800
2020-05-04,65.5,20200600,65.425,20200700,65.85,20200800
2020-05-05,64.275,20200600,62.925,20200700,62.675,20200800
2020-05-06,65.575,20200600,63.8,20200700,63.175,20200800
2020-05-07,63.9,20200600,63.5,20200700,62.65,20200800
2020-05-08,61.7,20200600,61.725,20200700,60.425,20200800
2020-05-11,60.275,20200600,60.475,20200700,59.25,20200800
2020-05-12,61.325,20200600,61.475,20200700,60.125,20200800
2020-05-13,57.875,20200600,59.125,20200700,58.25,20200800
2020-05-14,58.75,20200600,58.8,20200700,57.725,20200800
2020-05-15,57.75,20200700,56.4,20200800,51.4,20201000
2020-05-18,57.65,20200700,56.8,20200800,52.225,20201000
2020-05-19,56.275,20200700,55.475,20200800,51.275,20201000
2020-05-20,55.8,20200700,54.55,20200800,51.25,20201000
2020-05-21,57.175,20200700,55.275,20200800,51.1,20201000
2020-05-22,55.9,20200700,54.275,20200800,50.025,20201000
2020-05-26,59.575,20200700,57.15,20200800,52.25,20201000
2020-05-27,57.6,20200800,53.1,20201000,53.3,20201200
2020-05-28,55.025,20200800,50.925,20201000,51.775,20201200
2020-05-29,56.725,20200800,52.325,20201000,52.875,20201200
2020-06-01,55.1,20200800,50.35,20201000,50.9,20201200
2020-06-02,55.55,20200800,50.7,20201000,51.375,20201200
2020-06-03,51.05,20201000,51.925,20201200,58.85,20210200
2020-06-04,52.125,20201000,52.825,20201200,59.725,20210200
2020-06-05,53.7,20201000,54.4,20201200,61.4,20210200
2020-06-08,54.525,20201000,55.275,20201200,61.65,20210200
2020-06-09,54.9,20201000,55.95,20201200,62.6,20210200
2020-06-10,53.5,20201000,54.05,20201200,60.225,20210200
2020-06-11,53.4,20201000,53.725,20201200,59.75,20210200
2020-06-12,53.15,20201000,54.0,20201200,60.45,20210200
2020-06-15,53.225,20201000,53.95,20201200,60.625,20210200
2020-06-16,51.725,20201000,52.575,20201200,59.325,20210200
2020-06-17,51.225,20201000,52.15,20201200,58.95,20210200
2020-06-18,51.175,20201000,52.4,20201200,59.125,20210200
2020-06-19,50.85,20201000,52.15,20201200,59.0,20210200
2020-06-22,49.9,20201000,51.225,20201200,58.3,20210200
2020-06-23,50.925,20201000,52.3,20201200,59.35,20210200
2020-06-24,50.225,20201000,52.0,20201200,59.55,20210200
2020-06-25,50.525,20201000,52.85,20201200,60.6,20210200
2020-06-26,47.0,20201000,49.8,20201200,58.425,20210200
2020-06-29,47.425,20201000,49.9,20201200,58.5,20210200
2020-06-30,49.35,20201000,51.725,20201200,59.9,20210200
2020-07-01,48.275,20201000,51.175,20201200,59.65,20210200
2020-07-02,48.35,20201000,51.45,20201200,60.1,20210200
2020-07-06,49.05,20201000,52.025,20201200,60.8,20210200
2020-07-07,48.625,20201000,51.2,20201200,60.2,20210200
2020-07-08,48.8,20201000,51.3,20201200,59.9,20210200
2020-07-09,50.55,20201000,52.6,20201200,60.375,20210200
2020-07-10,49.85,20201000,51.775,20201200,59.625,20210200
2020-07-13,50.35,20201000,51.875,20201200,60.025,20210200
2020-07-14,49.675,20201000,51.225,20201200,59.6,20210200
2020-07-15,49.425,20201000,51.0,20201200,59.2,20210200
2020-07-16,51.825,20201000,52.85,20201200,60.675,20210200
2020-07-17,51.075,20201000,52.275,20201200,60.375,20210200
2020-07-20,49.2,20201000,51.2,20201200,59.85,20210200
2020-07-21,50.025,20201000,51.55,20201200,60.3,20210200
2020-07-22,50.075,20201000,51.45,20201200,60.35,20210200
2020-07-23,51.025,20201000,52.2,20201200,60.775,20210200
2020-07-24,50.15,20201000,51.925,20201200,60.9,20210200
2020-07-27,50.75,20201000,51.55,20201200,60.2,20210200
2020-07-28,50.725,20201000,51.8,20201200,60.65,20210200
2020-07-29,49.825,20201000,51.025,20201200,59.975,20210200
