DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,29.29,20191000,29.43,20191200,29.64,20200100
2019-09-16,30.14,20191000,30.28,20191200,30.49,20200100
2019-09-17,29.85,20191000,29.99,20191200,30.21,20200100
2019-09-18,29.87,20191000,30.0,20191200,30.22,20200100
2019-09-19,29.81,20191000,29.97,20191200,30.2,20200100
2019-09-20,29.28,20191000,29.4,20191200,29.64,20200100
2019-09-23,29.19,20191000,29.31,20191200,29.56,20200100
2019-09-24,29.2,20191000,29.33,20191200,29.58,20200100
2019-09-25,29.04,20191000,29.2,20191200,29.44,20200100
2019-09-26,29.01,20191000,29.17,20191200,29.42,20200100
2019-09-27,28.62,20191000,28.84,20191200,29.09,20200100
2019-09-30,28.99,20191000,29.08,20191200,29.31,20200100
2019-10-01,28.83,20191000,28.88,20191200,29.11,20200100
2019-10-02,29.06,20191000,29.21,20191200,29.44,20200100
2019-10-03,29.89,20191200,30.11,20200100,30.37,20200300
2019-10-04,29.86,20191200,30.09,20200100,30.36,20200300
2019-10-07,30.06,20191200,30.29,20200100,30.57,20200300
2019-10-08,29.82,20191200,30.06,20200100,30.33,20200300
2019-10-09,29.71,20191200,29.94,20200100,30.2,20200300
2019-10-10,29.78,20191200,30.01,20200100,30.27,20200300
2019-10-11,29.97,20191200,30.21,20200100,30.46,20200300
2019-10-14,30.0,20191200,30.24,20200100,30.51,20200300
2019-10-15,30.39,20191200,30.63,20200100,30.88,20200300
2019-10-16,30.4,20191200,30.65,20200100,30.91,20200300
2019-10-17,30.39,20191200,30.63,20200100,30.89,20200300
2019-10-18,30.36,20191200,30.6,20200100,30.84,20200300
2019-10-21,30.48,20191200,30.71,20200100,30.96,20200300
2019-10-22,30.85,20191200,31.08,20200100,31.31,20200300
2019-10-23,30.58,20191200,30.8,20200100,31.05,20200300
2019-10-24,31.34,20191200,31.56,20200100,31.81,20200300
2019-10-25,30.96,20191200,31.18,20200100,31.42,20200300
2019-10-28,30.78,20191200,31.0,20200100,31.25,20200300
2019-10-29,31.0,20191200,31.22,20200100,31.48,20200300
2019-10-30,30.98,20191200,31.2,20200100,31.48,20200300
2019-10-31,30.75,20191200,30.97,20200100,31.25,20200300
2019-11-01,31.03,20191200,31.25,20200100,31.53,20200300
2019-11-04,31.87,20191200,32.09,20200100,32.35,20200300
2019-11-05,31.57,20191200,31.79,20200100,32.05,20200300
2019-11-06,31.75,20191200,31.96,20200100,32.22,20200300
2019-11-07,31.43,20191200,31.65,20200100,31.91,20200300
2019-11-08,31.5,20191200,31.71,20200100,31.98,20200300
2019-11-11,31.42,20191200,31.62,20200100,31.89,20200300
2019-11-12,31.03,20191200,31.23,20200100,31.51,20200300
2019-11-13,30.53,20191200,30.73,20200100,31.01,20200300
2019-11-14,30.78,20191200,30.97,20200100,31.24,20200300
2019-11-15,30.43,20191200,30.6,20200100,30.87,20200300
2019-11-18,30.64,20191200,30.82,20200100,31.09,20200300
2019-11-19,30.96,20191200,31.16,20200100,31.42,20200300
2019-11-20,31.2,20191200,31.41,20200100,31.69,20200300
2019-11-21,30.69,20191200,30.88,20200100,31.16,20200300
2019-11-22,30.88,20191200,31.06,20200100,31.35,20200300
2019-11-25,30.44,20191200,30.59,20200100,30.88,20200300
2019-11-26,30.22,20191200,30.4,20200100,30.69,20200300
2019-11-27,30.37,20191200,30.5,20200100,30.79,20200300
