DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,4704.54,$INX,4701.5,20211200,4695.25,20220300
2021-11-19,4697.96,$INX,4694.5,20211200,4688.5,20220300
2021-11-22,4682.94,$INX,4679.75,20211200,4673.75,20220300
2021-11-23,4690.7,$INX,4688.5,20211200,4682.75,20220300
2021-11-24,4701.46,$INX,4699.0,20211200,4693.25,20220300
2021-11-26,4594.62,$INX,4595.75,20211200,4589.5,20220300
2021-11-29,4655.27,$INX,4651.0,20211200,4645.0,20220300
2021-11-30,4567.0,$INX,4566.25,20211200,4560.25,20220300
2021-12-01,4513.04,$INX,4508.5,20211200,4502.5,20220300
2021-12-02,4577.1,$INX,4575.75,20211200,4569.75,20220300
2021-12-03,4538.43,$INX,4537.5,20211200,4531.25,20220300
2021-12-06,4591.67,$INX,4590.0,20211200,4583.25,20220300
2021-12-07,4686.75,$INX,4685.0,20211200,4678.5,20220300
2021-12-08,4701.21,$INX,4699.0,20211200,4692.25,20220300
2021-12-09,4667.45,$INX,4667.0,20211200,4659.75,20220300
2021-12-10,4712.02,$INX,4711.0,20211200,4703.5,20220300
2021-12-13,4668.97,$INX,4668.75,20211200,4659.5,20220300
2021-12-14,4634.09,$INX,4637.0,20211200,4628.0,20220300
2021-12-15,4709.85,$INX,4700.5,20220300,4692.75,20220600
2021-12-16,4668.67,$INX,4659.25,20220300,4651.75,20220600
2021-12-17,4620.64,$INX,4610.0,20220300,4602.5,20220600
2021-12-20,4568.02,$INX,4558.5,20220300,4551.0,20220600
2021-12-21,4649.23,$INX,4640.75,20220300,4633.0,20220600
2021-12-22,4696.56,$INX,4686.0,20220300,4678.25,20220600
2021-12-23,4725.79,$INX,4715.75,20220300,4708.0,20220600
2021-12-27,4791.19,$INX,4782.25,20220300,4774.5,20220600
2021-12-28,4786.35,$INX,4778.5,20220300,4770.75,20220600
2021-12-29,4793.06,$INX,4784.5,20220300,4776.75,20220600
2021-12-30,4778.73,$INX,4772.25,20220300,4764.25,20220600
2021-12-31,4766.18,$INX,4758.5,20220300,4750.5,20220600
2022-01-03,4796.56,$INX,4786.0,20220300,4778.0,20220600
2022-01-04,4793.54,$INX,4784.25,20220300,4776.25,20220600
2022-01-05,4700.58,$INX,4692.5,20220300,4684.5,20220600
2022-01-06,4696.05,$INX,4687.5,20220300,4680.0,20220600
2022-01-07,4677.03,$INX,4667.75,20220300,4660.25,20220600
2022-01-10,4670.29,$INX,4662.25,20220300,4654.5,20220600
2022-01-11,4713.07,$INX,4705.0,20220300,4697.25,20220600
2022-01-12,4726.35,$INX,4716.25,20220300,4708.5,20220600
