DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,139.625,20200300,139.625,20191200,139.625,20200300
2019-09-16,140.390625,20200300,140.390625,20191200,140.390625,20200300
2019-09-17,140.75,20200300,140.75,20191200,140.75,20200300
2019-09-18,141.046875,20200300,141.046875,20191200,141.046875,20200300
2019-09-19,141.234375,20200300,141.234375,20191200,141.234375,20200300
2019-09-20,141.4375,20200300,141.4375,20191200,141.4375,20200300
2019-09-23,142.0,20200300,142.0,20191200,142.0,20200300
2019-09-24,144.015625,20200300,142.921875,20191200,144.015625,20200300
2019-09-25,142.828125,20200300,141.734375,20191200,142.828125,20200300
2019-09-26,143.390625,20200300,142.296875,20191200,143.390625,20200300
2019-09-27,143.53125,20200300,142.4375,20191200,143.53125,20200300
2019-09-30,143.53125,20200300,142.40625,20191200,143.53125,20200300
2019-10-01,143.9375,20200300,142.78125,20191200,143.9375,20200300
2019-10-02,144.53125,20200300,143.375,20191200,144.53125,20200300
2019-10-03,145.265625,20200300,144.109375,20191200,145.265625,20200300
2019-10-04,145.578125,20200300,144.40625,20191200,145.578125,20200300
2019-10-07,145.125,20200300,143.9375,20191200,145.125,20200300
2019-10-08,145.296875,20200300,144.109375,20191200,145.296875,20200300
2019-10-09,144.671875,20200300,143.484375,20191200,144.671875,20200300
2019-10-10,143.875,20200300,142.625,20191200,143.875,20200300
2019-10-11,142.703125,20200300,141.453125,20191200,142.703125,20200300
2019-10-14,143.234375,20200300,141.984375,20191200,143.234375,20200300
2019-10-15,142.484375,20200300,141.234375,20191200,142.484375,20200300
2019-10-16,142.765625,20200300,141.515625,20191200,142.765625,20200300
2019-10-17,142.671875,20200300,141.390625,20191200,142.671875,20200300
2019-10-18,142.765625,20200300,141.484375,20191200,142.765625,20200300
2019-10-21,142.234375,20200300,140.953125,20191200,142.234375,20200300
2019-10-22,142.5625,20200300,141.28125,20191200,142.5625,20200300
2019-10-23,142.640625,20200300,141.359375,20191200,142.640625,20200300
2019-10-24,142.578125,20200300,141.296875,20191200,142.578125,20200300
2019-10-25,142.140625,20200300,140.859375,20191200,142.140625,20200300
2019-10-28,141.5,20200300,140.21875,20191200,141.5,20200300
2019-10-29,141.703125,20200300,140.421875,20191200,141.703125,20200300
2019-10-30,142.15625,20200300,140.875,20191200,142.15625,20200300
2019-10-31,143.421875,20200300,142.109375,20191200,143.421875,20200300
2019-11-01,142.984375,20200300,141.671875,20191200,142.984375,20200300
2019-11-04,142.265625,20200300,140.953125,20191200,142.265625,20200300
2019-11-05,141.3125,20200300,140.0,20191200,141.3125,20200300
2019-11-06,141.921875,20200300,140.578125,20191200,141.921875,20200300
2019-11-07,140.546875,20200300,139.203125,20191200,140.546875,20200300
2019-11-08,140.4375,20200300,139.09375,20191200,140.4375,20200300
2019-11-11,140.46875,20200300,139.125,20191200,140.46875,20200300
2019-11-12,140.640625,20200300,139.34375,20191200,140.640625,20200300
2019-11-13,141.140625,20200300,139.828125,20191200,141.140625,20200300
2019-11-14,141.859375,20200300,140.484375,20191200,141.859375,20200300
2019-11-15,141.640625,20200300,140.265625,20191200,141.640625,20200300
2019-11-18,141.953125,20200300,140.578125,20191200,141.953125,20200300
2019-11-19,142.21875,20200300,140.828125,20191200,142.21875,20200300
2019-11-20,142.828125,20200300,141.40625,20191200,142.828125,20200300
2019-11-21,142.390625,20200300,140.984375,20191200,142.390625,20200300
2019-11-22,142.390625,20200300,140.984375,20191200,142.390625,20200300
2019-11-25,142.46875,20200300,141.078125,20191200,142.46875,20200300
2019-11-26,142.75,20200300,141.390625,20191200,142.75,20200300
2019-11-27,142.40625,20200300,141.015625,20191200,142.40625,20200300
2019-11-29,142.21875,20200300,140.875,20191200,142.21875,20200300
2019-12-02,141.421875,20200600,141.421875,20200300,141.421875,20200600
2019-12-03,143.109375,20200600,143.109375,20200300,143.109375,20200600
2019-12-04,142.21875,20200600,142.21875,20200300,142.21875,20200600
2019-12-05,142.0625,20200600,142.0625,20200300,142.0625,20200600
2019-12-06,141.484375,20200600,141.484375,20200300,141.484375,20200600
2019-12-09,141.65625,20200600,141.65625,20200300,141.65625,20200600
2019-12-10,141.671875,20200600,141.671875,20200300,141.671875,20200600
2019-12-11,142.25,20200600,142.25,20200300,142.25,20200600
2019-12-12,140.890625,20200600,140.890625,20200300,140.890625,20200600
2019-12-13,141.8125,20200600,141.8125,20200300,141.8125,20200600
2019-12-16,140.921875,20200600,140.921875,20200300,140.921875,20200600
2019-12-17,140.9375,20200600,140.9375,20200300,140.9375,20200600
2019-12-18,140.5,20200600,140.5,20200300,140.5,20200600
2019-12-19,140.71875,20200600,140.71875,20200300,140.71875,20200600
2019-12-20,140.625,20200600,140.625,20200300,140.625,20200600
2019-12-23,140.375,20200600,140.375,20200300,140.375,20200600
2019-12-24,140.71875,20200600,140.71875,20200300,140.71875,20200600
2019-12-26,140.78125,20200600,140.78125,20200300,140.78125,20200600
2019-12-27,141.15625,20200600,141.15625,20200300,141.15625,20200600
2019-12-30,140.875,20200600,140.875,20200300,140.875,20200600
