DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2019-09-13,183.4688,20200300,183.4688,20191200,183.4688,20200300
2019-09-16,185.8438,20200300,185.8438,20191200,185.8438,20200300
2019-09-17,186.5625,20200300,186.5625,20191200,186.5625,20200300
2019-09-18,187.9375,20200300,187.9375,20191200,187.9375,20200300
2019-09-19,189.0313,20200300,189.0313,20191200,189.0313,20200300
2019-09-20,189.25,20200300,189.25,20191200,189.25,20200300
2019-09-23,190.7813,20200300,190.7813,20191200,190.7813,20200300
2019-09-24,192.1875,20200300,192.9063,20191200,192.1875,20200300
2019-09-25,188.9375,20200300,189.6563,20191200,188.9375,20200300
2019-09-26,191.0313,20200300,191.75,20191200,191.0313,20200300
2019-09-27,191.125,20200300,191.8438,20191200,191.125,20200300
2019-09-30,191.1875,20200300,191.9063,20191200,191.1875,20200300
2019-10-01,191.8438,20200300,192.625,20191200,191.8438,20200300
2019-10-02,192.5313,20200300,193.3438,20191200,192.5313,20200300
2019-10-03,194.25,20200300,195.0625,20191200,194.25,20200300
2019-10-04,195.1875,20200300,196.0,20191200,195.1875,20200300
2019-10-07,194.0938,20200300,194.9063,20191200,194.0938,20200300
2019-10-08,194.2813,20200300,195.0938,20191200,194.2813,20200300
2019-10-09,192.625,20200300,193.4375,20191200,192.625,20200300
2019-10-10,190.3438,20200300,191.0625,20191200,190.3438,20200300
2019-10-11,187.9688,20200300,188.6875,20191200,187.9688,20200300
2019-10-14,189.2813,20200300,190.0,20191200,189.2813,20200300
2019-10-15,187.125,20200300,187.8438,20191200,187.125,20200300
2019-10-16,187.125,20200300,187.875,20191200,187.125,20200300
2019-10-17,186.7813,20200300,187.5313,20191200,186.7813,20200300
2019-10-18,186.6875,20200300,187.4375,20191200,186.6875,20200300
2019-10-21,185.3438,20200300,186.0938,20191200,185.3438,20200300
2019-10-22,186.5,20200300,187.25,20191200,186.5,20200300
2019-10-23,186.4688,20200300,187.2188,20191200,186.4688,20200300
2019-10-24,186.1875,20200300,186.9375,20191200,186.1875,20200300
2019-10-25,185.0313,20200300,185.7813,20191200,185.0313,20200300
2019-10-28,183.1875,20200300,183.9375,20191200,183.1875,20200300
2019-10-29,183.75,20200300,184.5,20191200,183.75,20200300
2019-10-30,185.6563,20200300,186.4063,20191200,185.6563,20200300
2019-10-31,189.0,20200300,189.75,20191200,189.0,20200300
