DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2021-11-18,830.75,20220300,820.0,20211200,830.75,20220300
2021-11-19,834.25,20220300,823.0,20211200,834.25,20220300
2021-11-22,857.5,20220300,845.75,20211200,857.5,20220300
2021-11-23,867.5,20220300,856.0,20211200,867.5,20220300
2021-11-24,850.25,20220300,836.75,20211200,850.25,20220300
2021-11-26,840.25,20220300,825.5,20211200,840.25,20220300
2021-11-29,822.25,20220300,807.5,20211200,822.25,20220300
2021-11-30,787.25,20220300,773.75,20211200,787.25,20220300
2021-12-01,796.25,20220500,790.5,20220300,796.25,20220500
2021-12-02,819.5,20220500,815.0,20220300,819.5,20220500
2021-12-03,809.5,20220500,803.75,20220300,809.5,20220500
2021-12-06,811.25,20220500,806.25,20220300,811.25,20220500
2021-12-07,813.25,20220500,808.5,20220300,813.25,20220500
2021-12-08,799.25,20220500,794.5,20220300,799.25,20220500
2021-12-09,782.5,20220500,776.75,20220300,782.5,20220500
2021-12-10,790.75,20220500,785.25,20220300,790.75,20220500
2021-12-13,794.25,20220500,788.75,20220300,794.25,20220500
2021-12-14,792.5,20220500,787.0,20220300,792.5,20220500
2021-12-15,762.0,20220500,756.0,20220300,762.0,20220500
2021-12-16,775.0,20220500,770.5,20220300,775.0,20220500
2021-12-17,778.5,20220500,775.0,20220300,778.5,20220500
2021-12-20,780.5,20220500,777.75,20220300,780.5,20220500
2021-12-21,801.75,20220500,799.0,20220300,801.75,20220500
2021-12-22,817.75,20220500,814.0,20220300,817.75,20220500
2021-12-23,818.5,20220500,814.75,20220300,818.5,20220500
2021-12-27,808.25,20220500,804.0,20220300,808.25,20220500
2021-12-28,788.75,20220500,783.5,20220300,788.75,20220500
2021-12-29,791.75,20220500,787.75,20220300,791.75,20220500
2021-12-30,783.0,20220500,779.75,20220300,783.0,20220500
2021-12-31,774.25,20220500,770.75,20220300,774.25,20220500
2022-01-03,761.5,20220500,758.0,20220300,761.5,20220500
2022-01-04,773.5,20220500,770.0,20220300,773.5,20220500
2022-01-05,764.75,20220500,760.75,20220300,764.75,20220500
2022-01-06,749.75,20220500,746.0,20220300,749.75,20220500
2022-01-07,760.5,20220500,758.5,20220300,760.5,20220500
2022-01-10,763.5,20220500,762.0,20220300,763.5,20220500
2022-01-11,773.25,20220500,770.25,20220300,773.25,20220500
2022-01-12,760.25,20220500,757.75,20220300,760.25,20220500
