DATE_TIME,current_contract,next_contract,carry_contract
12/09/1988 23:00,19881100,19881200,19871200
01/11/1988 23:00,19881200,19891100,19881100
11/09/1989 23:00,19891100,19891200,19881200
11/10/1989 23:00,19891200,19901100,19891100
11/09/1990 23:00,19901100,19901200,19891200
11/10/1990 23:00,19901200,19911100,19901100
11/09/1991 23:00,19911100,19911200,19901200
11/10/1991 23:00,19911200,19921100,19911100
11/09/1992 23:00,19921100,19921200,19911200
12/10/1992 23:00,19921200,19931100,19921100
10/09/1993 23:00,19931100,19931200,19921200
11/10/1993 23:00,19931200,19941100,19931100
12/09/1994 23:00,19941100,19941200,19931200
11/10/1994 23:00,19941200,19951100,19941100
11/09/1995 23:00,19951100,19951200,19941200
11/10/1995 23:00,19951200,19961100,19951100
11/09/1996 23:00,19961100,19961200,19951200
11/10/1996 23:00,19961200,19971100,19961100
11/09/1997 23:00,19971100,19971200,19961200
10/10/1997 23:00,19971200,19981100,19971100
11/09/1998 23:00,19981100,19981200,19971200
12/10/1998 23:00,19981200,19991100,19981100
10/09/1999 23:00,19991100,19991200,19981200
11/10/1999 23:00,19991200,20001100,19991100
11/09/2000 23:00,20001100,20001200,19991200
11/10/2000 23:00,20001200,20011100,20001100
10/09/2001 23:00,20011100,20011200,20001200
11/10/2001 23:00,20011200,20021100,20011100
11/09/2002 23:00,20021100,20021200,20011200
11/10/2002 23:00,20021200,20031100,20021100
11/09/2003 23:00,20031100,20031200,20021200
10/10/2003 23:00,20031200,20041100,20031100
10/09/2004 23:00,20041100,20041200,20031200
11/10/2004 23:00,20041200,20051100,20041100
12/09/2005 23:00,20051100,20051200,20041200
11/10/2005 23:00,20051200,20061100,20051100
11/09/2006 23:00,20061100,20061200,20051200
11/10/2006 23:00,20061200,20071100,20061100
11/09/2007 23:00,20071100,20071200,20061200
11/10/2007 23:00,20071200,20081100,20071100
11/09/2008 23:00,20081100,20081200,20071200
10/10/2008 23:00,20081200,20091100,20081100
11/09/2009 23:00,20091100,20091200,20081200
12/10/2009 23:00,20091200,20101100,20091100
10/09/2010 23:00,20101100,20101200,20091200
11/10/2010 23:00,20101200,20111100,20101100
12/09/2011 23:00,20111100,20111200,20101200
11/10/2011 23:00,20111200,20121100,20111100
11/09/2012 23:00,20121100,20121200,20111200
11/10/2012 23:00,20121200,20131100,20121100
11/09/2013 23:00,20131100,20131200,20121200
10/10/2013 23:00,20131200,20141100,20131100
11/09/2014 23:00,20141100,20141200,20131200
08/10/2014 23:00,20141200,20151100,20141100
11/09/2015 23:00,20151100,20151200,20141200
12/10/2015 23:00,20151200,20160100,20151100
11/11/2015 23:00,20160100,20160200,20151200
11/12/2015 23:00,20160200,20160300,20160100
11/01/2016 23:00,20160300,20160400,20160200
10/02/2016 23:00,20160400,20160500,20160300
11/03/2016 23:00,20160500,20160600,20160400
11/04/2016 23:00,20160600,20160700,20160500
11/05/2016 23:00,20160700,20160800,20160600
10/06/2016 23:00,20160800,20160900,20160700
12/07/2016 23:00,20160900,20161000,20160800
11/08/2016 23:00,20161000,20161100,20160900
12/09/2016 23:00,20161100,20161200,20161000
11/10/2016 23:00,20161200,20170100,20161100
11/11/2016 23:00,20170100,20170200,20161200
12/12/2016 23:00,20170200,20170300,20170100
09/01/2017 23:00,20170300,20170400,20170200
09/02/2017 23:00,20170400,20170500,20170300
10/03/2017 23:00,20170500,20170600,20170400
11/04/2017 23:00,20170600,20170700,20170500
11/05/2017 23:00,20170700,20170800,20170600
12/06/2017 23:00,20170800,20170900,20170700
12/07/2017 23:00,20170900,20171000,20170800
11/08/2017 23:00,20171000,20171100,20170900
11/09/2017 23:00,20171100,20171200,20171000
11/10/2017 23:00,20171200,20180100,20171100
10/11/2017 23:00,20180100,20180200,20171200
12/12/2017 23:00,20180200,20180300,20180100
09/01/2018 23:00,20180300,20180400,20180200
09/02/2018 23:00,20180400,20180500,20180300
12/03/2018 23:00,20180500,20180600,20180400
11/04/2018 23:00,20180600,20180700,20180500
11/05/2018 23:00,20180700,20180800,20180600
11/06/2018 23:00,20180800,20180900,20180700
12/07/2018 23:00,20180900,20181000,20180800
10/08/2018 23:00,20181000,20181100,20180900
13/09/2018 23:00,20181100,20181200,20181000
11/10/2018 23:00,20181200,20190100,20181100
11/11/2018 23:00,20190100,20190200,20181200
12/12/2018 00:00,20190200,20190300,20190100
09/01/2019 00:00,20190300,20190400,20190200
08/02/2019 00:00,20190400,20190500,20190300
11/03/2019 00:00,20190500,20190600,20190400
11/04/2019 23:00,20190600,20190700,20190500
10/05/2019 23:00,20190700,20190800,20190600
11/06/2019 00:00,20190800,20190900,20190700
12/07/2019 00:00,20190900,20191000,20190800
09/08/2019,20191000,20191200,20190900
11/10/2019,20191200,20200200,20191100
12/12/2019,20200200,20200400,20200100
07/02/2020,20200400,20200600,20200300
09/04/2020,20200600,20200800,20200500
11/06/2020,20200800,20200900,20200700
10/07/2020,20200900,20201200,20200800
09/10/2020,20201200,20210300,20201100
13/01/2021,20210300,20210600,20210200
09/04/2021,20210600,20210900,20210500
09/07/2021,20210900,20211200,20210800
08/10/2021,20211200,20220300,20211100
21/01/2022,20220300,20220600,20220200
08/04/2022,20220600,20220900,20220500
22/07/2022,20220900,20221200,20220800
21/10/2022,20221200,20230300,20221100
20/01/2023,20230300,20230600,20230200
21/04/2023,20230600,20230900,20230500
21/07/2023,20230900,20231200,20230800
20/10/2023,20231200,20240300,20231100
