DATE_TIME,current_contract,next_contract,carry_contract
16/03/1976 23:00,19760300,19760600,19760600
15/06/1976 23:00,19760600,19760900,19760900
14/09/1976 23:00,19760900,19761200,19761200
14/12/1976 23:00,19761200,19770300,19770300
15/03/1977 23:00,19770300,19770600,19770600
14/06/1977 23:00,19770600,19770900,19770900
15/09/1977 23:00,19770900,19771200,19771200
15/12/1977 23:00,19771200,19780300,19780300
14/03/1978 23:00,19780300,19780600,19780600
15/06/1978 23:00,19780600,19780900,19780900
15/09/1978 23:00,19780900,19781200,19781200
15/12/1978 23:00,19781200,19790300,19790300
15/03/1979 23:00,19790300,19790600,19790600
15/06/1979 23:00,19790600,19790900,19790900
17/09/1979 23:00,19790900,19791200,19791200
17/12/1979 23:00,19791200,19800300,19800300
17/03/1980 23:00,19800300,19800600,19800600
17/06/1980 23:00,19800600,19800900,19800900
16/09/1980 23:00,19800900,19801200,19801200
16/12/1980 23:00,19801200,19810300,19810300
17/03/1981 23:00,19810300,19810600,19810600
16/06/1981 23:00,19810600,19810900,19810900
15/09/1981 23:00,19810900,19811200,19811200
15/12/1981 23:00,19811200,19820300,19820300
16/03/1982 23:00,19820300,19820600,19820600
15/06/1982 23:00,19820600,19820900,19820900
14/09/1982 23:00,19820900,19821200,19821200
14/12/1982 23:00,19821200,19830300,19830300
15/03/1983 23:00,19830300,19830600,19830600
14/06/1983 23:00,19830600,19830900,19830900
15/09/1983 23:00,19830900,19831200,19831200
15/12/1983 23:00,19831200,19840300,19840300
15/03/1984 23:00,19840300,19840600,19840600
15/06/1984 23:00,19840600,19840900,19840900
17/09/1984 23:00,19840900,19841200,19841200
17/12/1984 23:00,19841200,19850300,19850300
15/03/1985 23:00,19850300,19850600,19850600
17/06/1985 23:00,19850600,19850900,19850900
17/09/1985 23:00,19850900,19851200,19851200
17/12/1985 23:00,19851200,19860300,19860300
17/03/1986 23:00,19860300,19860600,19860600
17/06/1986 23:00,19860600,19860900,19860900
16/09/1986 23:00,19860900,19861200,19861200
16/12/1986 23:00,19861200,19870300,19870300
17/03/1987 23:00,19870300,19870600,19870600
16/06/1987 23:00,19870600,19870900,19870900
15/09/1987 23:00,19870900,19871200,19871200
15/12/1987 23:00,19871200,19880300,19880300
15/03/1988 23:00,19880300,19880600,19880600
14/06/1988 23:00,19880600,19880900,19880900
15/09/1988 23:00,19880900,19881200,19881200
15/12/1988 23:00,19881200,19890300,19890300
14/03/1989 23:00,19890300,19890600,19890600
15/06/1989 23:00,19890600,19890900,19890900
15/09/1989 23:00,19890900,19891200,19891200
15/12/1989 23:00,19891200,19900300,19900300
15/03/1990 23:00,19900300,19900600,19900600
15/06/1990 23:00,19900600,19900900,19900900
17/09/1990 23:00,19900900,19901200,19901200
17/12/1990 23:00,19901200,19910300,19910300
15/03/1991 23:00,19910300,19910600,19910600
17/06/1991 23:00,19910600,19910900,19910900
17/09/1991 23:00,19910900,19911200,19911200
17/12/1991 23:00,19911200,19920300,19920300
17/03/1992 23:00,19920300,19920600,19920600
16/06/1992 23:00,19920600,19920900,19920900
15/09/1992 23:00,19920900,19921200,19921200
15/12/1992 23:00,19921200,19930300,19930300
16/03/1993 23:00,19930300,19930600,19930600
15/06/1993 23:00,19930600,19930900,19930900
14/09/1993 23:00,19930900,19931200,19931200
14/12/1993 23:00,19931200,19940300,19940300
15/03/1994 23:00,19940300,19940600,19940600
14/06/1994 23:00,19940600,19940900,19940900
15/09/1994 23:00,19940900,19941200,19941200
15/12/1994 23:00,19941200,19950300,19950300
14/03/1995 23:00,19950300,19950600,19950600
15/06/1995 23:00,19950600,19950900,19950900
15/09/1995 23:00,19950900,19951200,19951200
