DATE_TIME,current_contract,next_contract,carry_contract
30/05/1975 23:00,19750600,19750800,19750800
30/07/1975 23:00,19750800,19751000,19751000
30/09/1975 23:00,19751000,19751200,19751200
01/12/1975 23:00,19751200,19760200,19760200
30/01/1976 23:00,19760200,19760400,19760400
31/03/1976 23:00,19760400,19760600,19760600
02/06/1976 23:00,19760600,19760800,19760800
30/07/1976 23:00,19760800,19761000,19761000
29/09/1976 23:00,19761000,19761200,19761200
30/11/1976 23:00,19761200,19770200,19770200
01/02/1977 23:00,19770200,19770400,19770400
30/03/1977 23:00,19770400,19770600,19770600
01/06/1977 23:00,19770600,19770800,19770800
01/08/1977 23:00,19770800,19771000,19771000
29/09/1977 23:00,19771000,19771200,19771200
30/11/1977 23:00,19771200,19780200,19780200
31/01/1978 23:00,19780200,19780400,19780400
30/03/1978 23:00,19780400,19780600,19780600
31/05/1978 23:00,19780600,19780800,19780800
01/08/1978 23:00,19780800,19781000,19781000
29/09/1978 23:00,19781000,19781200,19781200
29/11/1978 23:00,19781200,19790200,19790200
31/01/1979 23:00,19790200,19790400,19790400
30/03/1979 23:00,19790400,19790600,19790600
31/05/1979 23:00,19790600,19790800,19790800
31/07/1979 23:00,19790800,19791000,19791000
01/10/1979 23:00,19791000,19791200,19791200
29/11/1979 23:00,19791200,19800200,19800200
30/01/1980 23:00,19800200,19800400,19800400
01/04/1980 23:00,19800400,19800600,19800600
30/05/1980 23:00,19800600,19800800,19800800
30/07/1980 23:00,19800800,19801000,19801000
30/09/1980 23:00,19801000,19801200,19801200
01/12/1980 23:00,19801200,19810200,19810200
30/01/1981 23:00,19810200,19810400,19810400
31/03/1981 23:00,19810400,19810600,19810600
01/06/1981 23:00,19810600,19810800,19810800
30/07/1981 23:00,19810800,19811000,19811000
30/09/1981 23:00,19811000,19811200,19811200
01/12/1981 23:00,19811200,19820200,19820200
01/02/1982 23:00,19820200,19820400,19820400
31/03/1982 23:00,19820400,19820600,19820600
02/06/1982 23:00,19820600,19820800,19820800
30/07/1982 23:00,19820800,19821000,19821000
29/09/1982 23:00,19821000,19821200,19821200
30/11/1982 23:00,19821200,19830200,19830200
01/02/1983 23:00,19830200,19830400,19830400
30/03/1983 23:00,19830400,19830600,19830600
01/06/1983 23:00,19830600,19830800,19830800
01/08/1983 23:00,19830800,19831000,19831000
29/09/1983 23:00,19831000,19831200,19831200
30/11/1983 23:00,19831200,19840200,19840200
31/01/1984 23:00,19840200,19840400,19840400
30/03/1984 23:00,19840400,19840600,19840600
31/05/1984 23:00,19840600,19840800,19840800
31/07/1984 23:00,19840800,19841000,19841000
01/10/1984 23:00,19841000,19841200,19841200
29/11/1984 23:00,19841200,19850200,19850200
30/01/1985 23:00,19850200,19850400,19850400
01/04/1985 23:00,19850400,19850600,19850600
30/05/1985 23:00,19850600,19850800,19850800
31/07/1985 23:00,19850800,19851000,19851000
01/10/1985 23:00,19851000,19851200,19851200
02/12/1985 23:00,19851200,19860200,19860200
30/01/1986 23:00,19860200,19860400,19860400
01/04/1986 23:00,19860400,19860600,19860600
30/05/1986 23:00,19860600,19860800,19860800
30/07/1986 23:00,19860800,19861000,19861000
30/09/1986 23:00,19861000,19861200,19861200
01/12/1986 23:00,19861200,19870200,19870200
30/01/1987 23:00,19870200,19870400,19870400
31/03/1987 23:00,19870400,19870600,19870600
