DATE_TIME,current_contract,next_contract,carry_contract
12/03/1998 23:00,19980300,19980600,19980600
12/06/1998 23:00,19980600,19980900,19980900
14/09/1998 23:00,19980900,19981200,19981200
14/12/1998 23:00,19981200,19990300,19990300
12/03/1999 23:00,19990300,19990600,19990600
14/06/1999 23:00,19990600,19990900,19990900
14/09/1999 23:00,19990900,19991200,19991200
14/12/1999 23:00,19991200,20000300,20000300
14/03/2000 23:00,20000300,20000600,20000600
13/06/2000 23:00,20000600,20000900,20000900
13/09/2000 23:00,20000900,20001200,20001200
13/12/2000 23:00,20001200,20010300,20010300
13/03/2001 23:00,20010300,20010600,20010600
13/06/2001 23:00,20010600,20010900,20010900
17/09/2001 23:00,20010900,20011200,20011200
12/12/2001 23:00,20011200,20020300,20020300
13/03/2002 23:00,20020300,20020600,20020600
12/06/2002 23:00,20020600,20020900,20020900
12/09/2002 23:00,20020900,20021200,20021200
12/12/2002 23:00,20021200,20030300,20030300
12/03/2003 23:00,20030300,20030600,20030600
12/06/2003 23:00,20030600,20030900,20030900
12/09/2003 23:00,20030900,20031200,20031200
12/12/2003 23:00,20031200,20040300,20040300
12/03/2004 23:00,20040300,20040600,20040600
14/06/2004 23:00,20040600,20040900,20040900
14/09/2004 23:00,20040900,20041200,20041200
14/12/2004 23:00,20041200,20050300,20050300
14/03/2005 23:00,20050300,20050600,20050600
14/06/2005 23:00,20050600,20050900,20050900
13/09/2005 23:00,20050900,20051200,20051200
13/12/2005 23:00,20051200,20060300,20060300
14/03/2006 23:00,20060300,20060600,20060600
13/06/2006 23:00,20060600,20060900,20060900
13/09/2006 23:00,20060900,20061200,20061200
13/12/2006 23:00,20061200,20070300,20070300
13/03/2007 23:00,20070300,20070600,20070600
13/06/2007 23:00,20070600,20070900,20070900
12/09/2007 23:00,20070900,20071200,20071200
12/12/2007 23:00,20071200,20080300,20080300
12/03/2008 23:00,20080300,20080600,20080600
12/06/2008 23:00,20080600,20080900,20080900
12/09/2008 23:00,20080900,20081200,20081200
12/12/2008 23:00,20081200,20090300,20090300
12/03/2009 23:00,20090300,20090600,20090600
12/06/2009 23:00,20090600,20090900,20090900
14/09/2009 23:00,20090900,20091200,20091200
14/12/2009 23:00,20091200,20100300,20100300
12/03/2010 23:00,20100300,20100600,20100600
14/06/2010 23:00,20100600,20100900,20100900
14/09/2010 23:00,20100900,20101200,20101200
14/12/2010 23:00,20101200,20110300,20110300
14/03/2011 23:00,20110300,20110600,20110600
14/06/2011 23:00,20110600,20110900,20110900
13/09/2011 23:00,20110900,20111200,20111200
13/12/2011 23:00,20111200,20120300,20120300
13/03/2012 23:00,20120300,20120600,20120600
13/06/2012 23:00,20120600,20120900,20120900
12/09/2012 23:00,20120900,20121200,20121200
12/12/2012 23:00,20121200,20130300,20130300
13/03/2013 23:00,20130300,20130600,20130600
12/06/2013 23:00,20130600,20130900,20130900
12/09/2013 23:00,20130900,20131200,20131200
12/12/2013 15:31,20131200,20140300,20140300
12/03/2014 23:00,20140300,20140600,20140600
12/06/2014 23:00,20140600,20140900,20140900
12/09/2014 23:00,20140900,20141200,20141200
12/12/2014 23:00,20141200,20150300,20150300
12/03/2015 23:00,20150300,20150600,20150600
12/06/2015 23:00,20150600,20150900,20150900
14/09/2015 14:14,20150900,20151200,20151200
14/12/2015 14:18,20151200,20160300,20160300
14/03/2016 14:19,20160300,20160600,20160600
14/06/2016 23:00,20160600,20160900,20160900
13/09/2016 15:05,20160900,20161200,20161200
13/12/2016 23:00,20161200,20170300,20170300
14/03/2017 14:13,20170300,20170600,20170600
13/06/2017 14:32,20170600,20170900,20170900
13/09/2017 17:02,20170900,20171200,20171200
13/12/2017 14:15,20171200,20180300,20180300
13/03/2018 23:00,20180300,20180600,20180600
13/06/2018 23:00,20180600,20180900,20180900
10/09/2018 23:00,20180900,20181200,20181200
14/12/2018 23:00,20181200,20190300,20190300
13/03/2019 23:00,20190300,20190600,20190600
12/06/2019 00:00,20190600,20190900,20190900
11/09/2019 15:00,20190900,20191200,20191200
10/12/2019 02:00,20191200,20200300,20200300
10/03/2020 02:00,20200300,20200600,20200600
11/06/2020 15:00,20200600,20200900,20200900
10/09/2021,20210900,20211200,20211200
15/12/2021,20211200,20220300,20220300
11/03/2022,20220300,20220600,20220600
17/06/2022,20220600,20220900,20220900
16/09/2022,20220900,20221200,20221200
16/12/2022,20221200,20230300,20230300
17/03/2023,20230300,20230600,20230600
16/06/2023,20230600,20230900,20230900
15/09/2023,20230900,20231200,20231200
15/12/2023,20231200,20240300,20240300
